protein,module_color
P28066,brown
P28070,grey
P28072,brown
P28074,brown
P28161,grey
P28289,yellow
P28331,green
P28482,brown
P28749,red
P28838,grey
P28907,brown
P29144,brown
P29218,black
P29317,grey
P29400,yellow
P29401,grey
P29692,blue
P29966,blue
P29992,yellow
P30038,turquoise
P30040,green
P30041,brown
P30043,brown
P30044,grey
P30046,grey
P30048,grey
P30049,pink
P30050,red
P30084,turquoise
P30085,grey
P30086,brown
P30101,blue
P30153,blue
P30405,turquoise
P30419,magenta
P30520,yellow
P30533,turquoise
P30536,pink
P30566,brown
P30622,blue
P30626,turquoise
P30740,grey
P30837,blue
P31040,turquoise
P31150,grey
P31153,grey
P31415,brown
P31689,blue
P31751,grey
P31930,green
P31937,turquoise
P31939,blue
P31942,grey
P31943,green
P31946,brown
P31948,grey
P31949,blue
P32119,grey
P32456,grey
P33121,turquoise
P33176,blue
P33992,grey
P34896,brown
P34897,turquoise
P34932,blue
P34949,yellow
P35052,grey
P35080,blue
P35221,pink
P35237,grey
P35241,brown
P35244,grey
P35268,magenta
P35270,grey
P35443,grey
P35555,yellow
P35573,yellow
P35579,grey
P35606,black
P35609,yellow
P35611,grey
P35613,grey
P35637,red
P35659,yellow
P35749,grey
P35754,yellow
P35813,turquoise
P35908,grey
P35914,turquoise
P35998,blue
P36405,grey
P36507,grey
P36542,pink
P36543,grey
P36578,red
P36776,turquoise
P36871,brown
P36873,grey
P36955,grey
P36957,turquoise
P36959,brown
P36969,grey
P37108,magenta
P37802,turquoise
P37837,grey
P37840,grey
P38117,turquoise
P38606,brown
P38646,turquoise
P39019,magenta
P39023,red
P39059,yellow
P39060,grey
P39656,black
P39687,blue
P40121,blue
P40123,green
P40227,blue
P40429,red
P40616,black
P40763,grey
P40925,turquoise
P40926,turquoise
P40939,turquoise
P41091,black
P41227,blue
P41236,brown
P41250,brown
P41252,black
P41567,brown
P42126,turquoise
P42167,grey
P42330,blue
P42677,blue
P42704,pink
P42765,turquoise
P42766,red
P43007,grey
P43034,black
P43155,turquoise
P43304,brown
P43490,grey
P43686,blue
P43897,turquoise
P45378,yellow
P45381,turquoise
P45877,yellow
P45880,green
P45954,turquoise
P45974,blue
P45985,yellow
P46019,yellow
P46020,grey
P46109,red
P46199,grey
P46379,grey
P46459,grey
P46734,grey
P46776,red
P46777,red
P46779,red
P46781,magenta
P46782,magenta
P46783,red
P46926,brown
P46939,grey
P46940,grey
P46976,blue
P46977,black
P47755,yellow
P47756,yellow
P47813,magenta
P47897,pink
P47914,red
P47985,green
P48047,pink
P48059,turquoise
P48147,brown
P48163,brown
P48426,grey
P48444,blue
P48449,turquoise
P48507,yellow
P48509,black
P48556,blue
P48637,grey
P48643,blue
P48681,blue
P48735,turquoise
P48788,yellow
P49023,turquoise
P49189,brown
P49207,yellow
P49257,blue
P49354,grey
P49368,blue
P49406,turquoise
P49411,turquoise
P49419,turquoise
P49427,grey
P49585,grey
P49588,grey
P49589,brown
P49591,blue
P49720,brown
P49721,grey
P49748,turquoise
P49753,turquoise
P49755,yellow
P49773,brown
P49821,green
P49840,turquoise
P49841,grey
P50213,turquoise
P50225,turquoise
P50395,blue
P50402,green
P50416,black
P50454,blue
P50461,blue
P50502,brown
P50570,grey
P50579,grey
P50583,grey
P50851,yellow
P50895,yellow
P50914,red
P50990,blue
P50991,blue
P50993,grey
P50995,grey
P51114,magenta
P51148,grey
P51149,grey
P51452,brown
P51553,turquoise
P51570,turquoise
P51571,grey
P51572,blue
P51608,grey
P51636,grey
P51648,grey
P51649,turquoise
P51659,grey
P51665,blue
P51668,grey
P51687,turquoise
P51692,brown
P51812,grey
P51858,brown
P51884,grey
P51888,yellow
P51970,green
P51991,yellow
P52179,yellow
P52209,grey
P52272,green
P52294,blue
P52564,turquoise
P52565,brown
P52566,turquoise
P52758,grey
P52815,turquoise
P52888,grey
P52895,grey
P52907,yellow
P52943,grey
P53004,grey
P53041,turquoise
P53384,grey
P53597,turquoise
P53621,black
P53701,turquoise
P53778,grey
P53804,turquoise
P53814,black
P53985,turquoise
P53990,grey
P53992,turquoise
P53999,grey
P54136,blue
P54284,yellow
P54289,brown
P54296,yellow
P54577,brown
P54578,brown
P54619,blue
P54646,blue
P54652,blue
P54725,grey
P54727,turquoise
P54819,turquoise
P54920,brown
P55010,grey
P55036,blue
P55039,grey
P55042,blue
P55060,grey
P55072,blue
P55084,turquoise
P55209,blue
P55263,grey
P55268,yellow
P55290,grey
P55327,blue
P55735,grey
P55769,grey
P55786,brown
P55795,yellow
P55809,green
P55822,brown
P55884,magenta
P56134,pink
P56181,green
P56192,blue
P56211,blue
P56381,pink
P56385,pink
P56537,yellow
P56556,green
P57105,grey
P57772,magenta
P58546,brown
P59666,turquoise
P59998,black
P60033,grey
P60174,brown
P60228,brown
P60468,grey
P60520,brown
P60602,pink
P60660,yellow
P60709,yellow
P60842,brown
P60866,magenta
P60891,brown
P60900,brown
P60903,grey
P60953,turquoise
P60981,brown
P61019,brown
P61020,brown
P61026,blue
P61077,grey
P61081,grey
P61086,turquoise
P61088,grey
P61106,brown
P61158,turquoise
P61160,turquoise
P61163,magenta
P61201,brown
P61221,blue
P61224,blue
P61247,magenta
P61254,red
P61313,red
P61353,yellow
P61457,grey
P61513,red
P61586,brown
P61604,turquoise
P61619,blue
P61758,grey
P61769,grey
P61803,grey
P61916,turquoise
P61925,brown
P61956,brown
P61960,grey
P61970,brown
P61978,grey
P61981,grey
P62070,grey
P62072,turquoise
P62081,black
P62136,grey
P62140,brown
P62191,blue
P62195,blue
P62241,magenta
P62244,red
P62249,magenta
P62253,grey
P62258,grey
P62263,magenta
P62266,red
P62269,magenta
P62277,magenta
P62280,blue
P62316,grey
P62318,red
P62328,pink
P62333,blue
P62424,red
P62495,blue
P62633,grey
P62701,magenta
P62750,red
P62753,magenta
P62807,yellow
P62820,grey
P62826,blue
P62829,red
P62834,grey
P62841,magenta
P62847,red
P62851,magenta
P62854,grey
P62857,magenta
P62873,brown
P62879,brown
P62888,red
P62899,red
P62906,red
P62910,red
P62913,red
P62917,red
P62937,grey
P62942,brown
P62979,black
P62993,grey
P63000,grey
P63010,blue
P63027,grey
P63098,brown
P63104,turquoise
P63146,grey
P63151,grey
P63167,turquoise
P63172,blue
P63173,yellow
P63208,grey
P63220,magenta
P63241,brown
P63244,magenta
P63279,turquoise
P63302,grey
P63316,yellow
P67775,grey
P67809,red
P67870,blue
P67936,turquoise
P68036,brown
P68104,black
P68133,yellow
P68363,blue
P68366,blue
P68371,blue
P68400,red
P68402,grey
P78344,blue
P78356,grey
P78371,blue
P78417,turquoise
P78527,turquoise
P81605,green
P82663,pink
P82675,pink
P82909,turquoise
P82914,pink
P82921,grey
P82979,grey
P83111,green
P83731,red
P84077,brown
P84085,grey
P84090,green
P84095,turquoise
P84098,red
P84103,grey
P84157,grey
P84243,yellow
P98095,grey
P98160,yellow
P98179,yellow
P99999,green
Q00013,green
Q00059,turquoise
Q00169,yellow
Q00325,pink
Q00341,red
Q00577,yellow
Q00610,blue
Q00688,brown
Q00765,blue
Q00796,yellow
Q00839,grey
Q00872,yellow
Q00G26,turquoise
Q01082,red
Q01085,turquoise
Q01105,brown
Q01432,brown
Q01469,turquoise
Q01484,pink
Q01518,turquoise
Q01844,grey
Q01995,grey
Q02218,pink
Q02221,green
Q02252,turquoise
Q02338,turquoise
Q02388,grey
Q02543,red
Q02641,brown
Q02750,brown
Q02790,turquoise
Q02878,red
Q02952,blue
Q02978,black
Q03135,green
Q03154,pink
Q03252,yellow
Q04323,grey
Q04446,blue
Q04637,brown
Q04759,yellow
Q04760,brown
Q04828,blue
Q04837,pink
Q04917,blue
Q04941,grey
Q05086,grey
Q05519,grey
Q05639,black
Q05682,grey
Q05707,grey
Q06124,grey
Q06323,blue
Q06432,brown
Q06730,grey
Q06830,brown
Q07020,red
Q07021,pink
Q07065,blue
Q07507,yellow
Q07866,blue
Q07955,red
Q07960,blue
Q08043,yellow
Q08209,yellow
Q08211,red
Q08257,grey
Q08357,yellow
Q08623,brown
Q08722,grey
Q08752,turquoise
Q09666,red
Q0VAK6,yellow
Q0VDF9,brown
Q0VDG4,yellow
Q0ZGT2,red
Q10567,blue
Q10589,green
Q10713,grey
Q12797,grey
Q12805,grey
Q12846,brown
Q12849,grey
Q12904,grey
Q12906,yellow
Q12931,turquoise
Q12955,magenta
Q12988,blue
Q13011,turquoise
Q13033,blue
Q13057,grey
Q13061,red
Q13085,blue
Q13098,black
Q13126,brown
Q13131,grey
Q13148,turquoise
Q13153,grey
Q13155,pink
Q13162,brown
Q13177,grey
Q13185,grey
Q13200,brown
Q13203,yellow
Q13228,turquoise
Q13263,grey
Q13283,red
Q13310,green
Q13326,brown
Q13347,magenta
Q13363,grey
Q13404,grey
Q13409,blue
Q13418,grey
Q13423,turquoise
Q13424,black
Q13425,yellow
Q13435,turquoise
Q13442,red
Q13445,blue
Q13451,grey
Q13492,grey
Q13496,grey
Q13501,grey
Q13505,pink
Q13508,brown
Q13510,turquoise
Q13526,brown
Q13554,magenta
Q13555,magenta
Q13557,magenta
Q13561,magenta
Q13564,turquoise
Q13586,magenta
Q13616,brown
Q13617,grey
Q13618,grey
Q13619,turquoise
Q13642,blue
Q13643,yellow
Q13683,yellow
Q13685,grey
Q13698,brown
Q13724,green
Q13813,blue
Q13825,pink
Q13838,grey
Q13867,grey
Q13884,brown
Q13885,blue
Q13907,turquoise
Q13976,yellow
Q14061,green
Q14103,grey
Q14108,brown
Q14112,yellow
Q14116,blue
Q14118,brown
Q14152,magenta
Q14157,red
Q14165,black
Q14195,turquoise
Q14203,blue
Q14204,blue
Q14232,blue
Q14240,brown
Q14247,red
Q14249,pink
Q14254,grey
Q14258,grey
Q14315,blue
Q14324,yellow
Q14353,grey
Q14444,red
Q14558,brown
Q14677,blue
Q14697,blue
Q14714,yellow
Q14764,red
Q14767,turquoise
Q14847,red
Q14914,pink
Q14974,blue
Q14980,grey
Q14997,blue
Q14BN4,blue
Q15006,yellow
Q15008,black
Q15018,grey
Q15019,grey
Q15046,grey
Q15056,grey
Q15075,blue
Q15084,grey
Q15102,brown
Q15111,brown
Q15118,green
Q15119,turquoise
Q15121,blue
Q15124,green
Q15149,yellow
Q15172,yellow
Q15181,turquoise
Q15185,brown
Q15208,grey
Q15223,yellow
Q15233,red
Q15257,grey
Q15276,blue
Q15286,red
Q15363,brown
Q15365,grey
Q15366,grey
Q15369,yellow
Q15370,yellow
Q15386,grey
Q15392,grey
Q15404,turquoise
Q15435,grey
Q15436,grey
Q15555,yellow
Q15582,brown
Q15631,brown
Q15637,green
Q15642,brown
Q15691,blue
Q15714,grey
Q15717,grey
Q15746,brown
Q15772,yellow
Q15813,grey
Q15819,brown
Q15843,brown
Q15847,grey
Q15848,turquoise
Q15907,grey
Q15942,grey
Q16082,blue
Q16134,turquoise
Q16181,grey
Q16186,blue
Q16531,blue
Q16543,turquoise
Q16555,turquoise
Q16563,grey
Q16576,grey
Q16585,brown
Q16586,brown
Q16595,turquoise
Q16658,pink
Q16698,turquoise
Q16718,green
Q16740,grey
Q16762,turquoise
Q16773,grey
Q16774,grey
Q16775,grey
Q16795,green
Q16816,grey
Q16821,grey
Q16836,turquoise
Q16851,blue
Q16881,brown
Q16891,green
Q2TAA2,pink
Q2TBA0,blue
Q3LXA3,turquoise
Q3ZCQ8,turquoise
Q4G0N4,turquoise
Q52LJ0,grey
Q53FT3,grey
Q53GG5,blue
Q53GQ0,turquoise
Q53H12,pink
Q53H82,turquoise
Q58WW2,grey
Q5BKX8,blue
Q5D862,green
Q5HYI8,magenta
Q5HYK3,turquoise
Q5JPE7,grey
Q5JRX3,grey
Q5JSH3,grey
Q5JTJ3,green
Q5JTV8,grey
Q5JWF2,brown
Q5R3I4,grey
Q5SQH8,pink
Q5SSJ5,red
Q5T440,turquoise
Q5T4S7,blue
Q5TAQ9,brown
Q5TDH0,yellow
Q5TGZ0,yellow
Q5U5X0,turquoise
Q5VST9,yellow
Q5VTT5,yellow
Q5VU43,brown
Q5VW32,brown
Q5VWZ2,turquoise
Q5VXT5,brown
Q5VYK3,blue
Q5XKP0,grey
Q5XPI4,black
Q66K66,grey
Q68DQ2,yellow
Q6DKJ4,turquoise
Q6GMV3,grey
Q6H8Q1,yellow
Q6IAA8,turquoise
Q6IAN0,black
Q6IBS0,red
Q6IPR1,yellow
Q6IQ22,brown
Q6IQ26,grey
Q6JBY9,brown
Q6NUK1,grey
Q6NVY1,turquoise
Q6NZI2,grey
Q6P161,turquoise
Q6P1A2,grey
Q6P1N9,grey
Q6P4A7,yellow
Q6P587,turquoise
Q6P5Q4,yellow
Q6PCB7,turquoise
Q6PK04,yellow
Q6QEF8,yellow
Q6UW68,black
Q6UWP2,turquoise
Q6UXV4,turquoise
Q6XQN6,grey
Q6YN16,turquoise
Q6YP21,grey
Q6ZMU5,blue
Q6ZU65,yellow
Q6ZVM7,grey
Q702N8,magenta
Q709C8,grey
Q712K3,grey
Q7KZF4,magenta
Q7L0Y3,turquoise
Q7L1Q6,black
Q7L2H7,yellow
Q7L5N1,grey
Q7LBR1,red
Q7LG56,black
Q7Z2K6,turquoise
Q7Z2W9,pink
Q7Z3D6,turquoise
Q7Z406,grey
Q7Z422,grey
Q7Z434,turquoise
Q7Z4G1,blue
Q7Z4H3,grey
Q7Z4V5,grey
Q7Z4W1,turquoise
Q7Z698,grey
Q7Z6Z7,grey
Q86SX6,turquoise
Q86TC9,red
Q86TD4,red
Q86TP1,grey
Q86TX2,yellow
Q86U28,turquoise
Q86UE4,blue
Q86UP2,blue
Q86UT6,green
Q86V81,grey
Q86V88,green
Q86VD7,green
Q86VF7,blue
Q86VN1,grey
Q86VP6,blue
Q86VX2,blue
Q86WU2,grey
Q86X55,black
Q86X76,grey
Q86Y39,black
Q86YB7,turquoise
Q8IUZ5,blue
Q8IVN3,blue
Q8IW45,turquoise
Q8IWA4,green
Q8IWA5,brown
Q8IWL3,turquoise
Q8IWW8,turquoise
Q8IWX7,blue
Q8IXL7,turquoise
Q8IXV7,grey
Q8IYB8,green
Q8IYQ7,green
Q8IYS1,grey
Q8IYU8,green
Q8IZ81,grey
Q8IZ83,brown
Q8N0U4,turquoise
Q8N142,brown
Q8N183,turquoise
Q8N1G4,grey
Q8N335,turquoise
Q8N3D4,blue
Q8N3K9,pink
Q8N3L3,black
Q8N3V7,yellow
Q8N4H5,green
Q8N4Q1,turquoise
Q8N4T8,turquoise
Q8N4V1,red
Q8N5G0,green
Q8N5K1,grey
Q8N5M1,turquoise
Q8N5M9,black
Q8N5N7,pink
Q8N766,brown
Q8N8N7,grey
Q8NB12,yellow
Q8NBF2,blue
Q8NBN7,turquoise
Q8NBS9,blue
Q8NBU5,green
Q8NBX0,turquoise
Q8NC51,magenta
Q8NCA5,blue
Q8NCN5,turquoise
Q8NCW5,turquoise
Q8NDH3,brown
Q8NDY3,grey
Q8NE62,turquoise
Q8NE71,magenta
Q8NE86,green
Q8NFV4,turquoise
Q8NHH9,grey
Q8NI37,turquoise
Q8NI60,turquoise
Q8TAT6,yellow
Q8TB22,yellow
Q8TB37,grey
Q8TB45,brown
Q8TC12,blue
Q8TCA0,brown
Q8TCD5,brown
Q8TCS8,green
Q8TCT8,grey
Q8TCU6,grey
Q8TD19,blue
Q8TD30,turquoise
Q8TDC0,yellow
Q8TDX7,grey
Q8TEA8,grey
Q8TED0,yellow
Q8WTS6,blue
Q8WUM0,grey
Q8WUM4,grey
Q8WUY1,grey
Q8WVI0,black
Q8WVJ2,brown
Q8WVM8,turquoise
Q8WW12,grey
Q8WW22,blue
Q8WW59,pink
Q8WWV3,turquoise
Q8WX93,magenta
Q8WXH0,grey
Q8WY91,turquoise
Q8WYA0,grey
Q8WZ42,yellow
Q92499,blue
Q92506,turquoise
Q92523,turquoise
Q92530,grey
Q92575,grey
Q92598,yellow
Q92614,red
Q92616,blue
Q92629,brown
Q92667,green
Q92696,turquoise
Q92734,brown
Q92747,grey
Q92791,grey
Q92841,grey
Q92879,yellow
Q92890,grey
Q92901,red
Q92905,black
Q92945,grey
Q92947,turquoise
Q92973,blue
Q92995,yellow
Q93008,blue
Q93034,brown
Q93052,turquoise
Q93084,brown
Q93100,grey
Q969M7,grey
Q969Q0,red
Q969T9,grey
Q969X5,grey
Q969Z3,grey
Q96A26,pink
Q96A33,yellow
Q96A57,grey
Q96AB3,turquoise
Q96AC1,black
Q96AE4,grey
Q96AG3,turquoise
Q96AN5,green
Q96AQ6,magenta
Q96BW5,grey
Q96C00,yellow
Q96C01,grey
Q96C11,turquoise
Q96C23,black
Q96C86,grey
Q96C90,turquoise
Q96CM8,turquoise
Q96CN7,green
Q96CT7,magenta
Q96CV9,turquoise
Q96CW1,black
Q96CX2,turquoise
Q96DB5,green
Q96DC8,turquoise
Q96DE0,green
Q96DG6,brown
Q96DH6,grey
Q96DV4,green
Q96E11,green
Q96EL3,grey
Q96EP5,grey
Q96EY1,green
Q96EY7,pink
Q96EY8,grey
Q96FJ2,grey
Q96FQ6,blue
Q96FV2,brown
Q96FW1,turquoise
Q96FZ7,grey
Q96GD0,grey
Q96GG9,black
Q96GK7,turquoise
Q96H20,pink
Q96HC4,yellow
Q96HD1,grey
Q96HE7,blue
Q96HN2,blue
Q96HS1,grey
Q96HY6,magenta
Q96I23,grey
Q96I99,turquoise
Q96IU4,grey
Q96IV0,grey
Q96JJ7,black
Q96K17,black
Q96K76,grey
Q96KP4,blue
Q96L96,blue
Q96MF2,brown
Q96MF6,turquoise
Q96MG2,blue
Q96PE7,turquoise
Q96PU8,green
Q96Q06,turquoise
Q96Q83,yellow
Q96QK1,grey
Q96QR8,red
Q96RK4,brown
Q96RL7,grey
Q96RP9,grey
Q96RQ3,turquoise
Q96S19,grey
Q96S66,black
Q96S96,grey
Q96S99,green
Q99417,yellow
Q99426,blue
Q99436,brown
Q99447,turquoise
Q99460,brown
Q99471,grey
Q99487,grey
Q99497,brown
Q99536,blue
Q99541,turquoise
Q99584,blue
Q99598,brown
Q99613,blue
Q99623,green
Q99627,brown
Q99643,black
Q99653,grey
Q99714,pink
Q99733,black
Q99735,black
Q99757,grey
Q99766,turquoise
Q99798,turquoise
Q99807,turquoise
Q99808,grey
Q99816,brown
Q99829,brown
Q99832,blue
Q99873,black
Q9BPW8,green
Q9BPX5,green
Q9BPX6,turquoise
Q9BQ69,yellow
Q9BQA1,grey
Q9BQE5,blue
Q9BQS8,grey
Q9BR39,yellow
Q9BR76,green
Q9BRA2,black
