pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,2.0195397040084427e-7,1.565920016646546e-5,2.7089743589743587,29,116,GO:BP,3.676706827309237,yellow,Membraneless Organelle Assembly,ACTA1/ACTN2/CHMP5/EIF6/H3-3A/LMOD2/LMOD3/MAPRE2/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PLEC/RPL38/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,29,1.565920016646546e-5,GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.395347341420445e-6,4.311625214556801e-5,3.611965811965812,16,48,Hallmark,5.268156424581005,yellow,Epithelial Mesenchymal Transition,BGN/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL6A2/COL6A3/DCN/FBN1/LAMA2/LAMC1/NID2/TPM1/TPM2/VIM,16,4.311625214556801e-5,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,2.6242799725441172e-6,7.282376923809925e-5,6.095192307692308,9,16,Reactome,13.209677419354838,yellow,Ncam Signaling For Neurite Out Growth,CACNB3/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/MAPK3,9,7.282376923809925e-5,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,3.894514648197757e-6,2.617113843588893e-4,3.8898093359631822,14,39,GO:BP,5.856795580110497,yellow,Extracellular Matrix Organization,COL15A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/DPT/LAMA2/LAMB2/LAMC1/NID1/NID2,14,2.617113843588893e-4,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
GOBP_MUSCLE_ORGAN_MORPHOGENESIS,1.6698464838564414e-5,9.901207386631135e-4,5.779145299145299,8,15,GO:BP,11.679144385026738,yellow,Muscle Organ Morphogenesis,COL3A1/MYH7/MYL3/TCAP/TNNC1/TNNI1/TPM1/TTN,8,9.901207386631135e-4,GOBP_MUSCLE_ORGAN_MORPHOGENESIS
GOBP_NEUROMUSCULAR_PROCESS,2.229723266037415e-5,0.0012486450289809525,3.611965811965812,13,39,GO:BP,5.197802197802198,yellow,Neuromuscular Process,ACTN3/MYH3/MYH7/MYH8/SYNM/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TTN,13,0.0012486450289809525,GOBP_NEUROMUSCULAR_PROCESS
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,2.7694905658174133e-5,0.0014692876264968172,4.876153846153847,9,20,GO:BP,8.388563049853373,yellow,Negative Regulation Of Protein Containing Complex Disassembly,CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4/TRIM54,9,0.0014692876264968172,GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,3.077264970458475e-5,0.0015509415451110714,5.417948717948718,8,16,GO:BP,10.213903743315509,yellow,Collagen Fibril Organization,COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/DPT,8,0.0015509415451110714,GOBP_COLLAGEN_FIBRIL_ORGANIZATION
GOBP_MUSCLE_ADAPTATION,3.562185246463689e-5,0.0017098489183025706,3.973162393162393,11,30,GO:BP,5.975114416475972,yellow,Muscle Adaptation,ACTN3/HMOX1/LMNA/MYH7/MYOZ1/MYOZ2/PPP3CA/TCAP/TNNC1/TNNI1/TNNT1,11,0.0017098489183025706,GOBP_MUSCLE_ADAPTATION
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,4.091364706554673e-5,0.0017930850540030917,3.435772357723577,13,41,GO:BP,4.821428571428571,yellow,Actin Filament Based Movement,ACTN4/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL6/MYL6B/TCAP/TNNC1/TPM1/TTN,13,0.0017930850540030917,GOBP_ACTIN_FILAMENT_BASED_MOVEMENT
REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,8.884793530120196e-5,0.0022758740350230966,4.815954415954416,8,18,Reactome,8.162566844919786,yellow,Formation Of The Dystrophin Glycoprotein Complex Dgc,ACTA1/ACTB/HSPG2/LAMA2/LAMB2/LAMC1/SNTB2/SSPN,8,0.0022758740350230966,REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC
GOBP_ACTIN_FILAMENT_ORGANIZATION,8.490844697567012e-5,0.003291835175056749,2.337154348919055,22,102,GO:BP,2.9216763005780346,yellow,Actin Filament Organization,ACTA1/ACTN1/ACTN2/CAPZA1/CAPZA2/CAPZB/CORO6/LMOD2/LMOD3/NEB/PLEC/SVIL/SYNPO/SYNPO2/SYNPO2L/TCAP/TMOD1/TMOD4/TPM1/TPM2/TPM3/TTN,22,0.003291835175056749,GOBP_ACTIN_FILAMENT_ORGANIZATION
