pathway,NES_Aging,NES_Training_Old,sig_Aging,sig_Training_Old,pattern
REACTOME_STRIATED_MUSCLE_CONTRACTION,-2.281437016863188,1.3635816160653882,TRUE,FALSE,Aging only
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,-2.377625678467639,1.557783303651486,TRUE,FALSE,Aging only
GOBP_SARCOMERE_ORGANIZATION,-2.4679758377580128,1.273946698960761,TRUE,FALSE,Aging only
GOBP_MUSCLE_CELL_DEVELOPMENT,-2.612364133686583,-1.1499151256354667,TRUE,FALSE,Aging only
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,-2.9901849776151566,2.6181411436930975,TRUE,FALSE,Aging only
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,-3.0534396935930386,2.590505091037593,TRUE,FALSE,Aging only
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,-2.4636370397182312,2.695005772438341,FALSE,TRUE,Training (Old) only
GOBP_CYTOPLASMIC_TRANSLATION,-2.8842107132275263,2.615492753108705,FALSE,TRUE,Training (Old) only
REACTOME_CILIUM_ASSEMBLY,-0.8439066867066857,2.2537616923921355,FALSE,TRUE,Training (Old) only
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.9764232505462007,2.0123714481777655,FALSE,TRUE,Training (Old) only
HALLMARK_MITOTIC_SPINDLE,-1.5577669511997096,1.958886956063709,FALSE,TRUE,Training (Old) only
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,-1.652656657129515,1.9273144415859562,FALSE,TRUE,Training (Old) only
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,-0.8873192436042413,1.8913872696994851,FALSE,TRUE,Training (Old) only
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,-0.670343421730647,1.8690163378857585,FALSE,TRUE,Training (Old) only
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,1.1578559393376542,1.8419725325585647,FALSE,TRUE,Training (Old) only
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,-1.350043091347025,1.8247188019953524,FALSE,TRUE,Training (Old) only
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,-0.7566492885258241,1.8053877445849336,FALSE,TRUE,Training (Old) only
GOBP_ACTIN_FILAMENT_ORGANIZATION,-1.6544749059705879,1.765622125198709,FALSE,TRUE,Training (Old) only
GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,-0.9605608885817616,1.7345672445249867,FALSE,TRUE,Training (Old) only
HALLMARK_MYC_TARGETS_V1,-1.2631846771877466,1.694384572711796,FALSE,TRUE,Training (Old) only
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE,1.4755497026390973,-1.7126047095961205,FALSE,TRUE,Training (Old) only
GOBP_RESPONSE_TO_CARBOHYDRATE,0.948830403540541,-1.7936531813402001,FALSE,TRUE,Training (Old) only
REACTOME_BIOLOGICAL_OXIDATIONS,1.3650781477528953,-1.8177715389047133,FALSE,TRUE,Training (Old) only
GOBP_LIPID_CATABOLIC_PROCESS,2.5154882410715866,-1.8517476632162415,FALSE,TRUE,Training (Old) only
GOBP_PROTEIN_LOCALIZATION_TO_VACUOLE,0.8977948900973997,-1.8926897703024521,FALSE,TRUE,Training (Old) only
GOBP_GLYCEROLIPID_METABOLIC_PROCESS,1.608734177395555,-1.9102572746853879,FALSE,TRUE,Training (Old) only
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,1.8752616727328333,-1.9151745672123974,FALSE,TRUE,Training (Old) only
GOBP_PROTEIN_POLYUBIQUITINATION,1.2092326949710974,-1.917448868413961,FALSE,TRUE,Training (Old) only
GOBP_LIPID_OXIDATION,2.636303090372505,-1.9196734743458066,FALSE,TRUE,Training (Old) only
GOBP_SYNAPSE_ASSEMBLY,-1.0001757404528844,-1.9469984161410765,FALSE,TRUE,Training (Old) only
GOBP_ORGAN_GROWTH,1.0606099786524754,-1.9665176408595015,FALSE,TRUE,Training (Old) only
REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,-1.6327182044111688,-2.0286596891351505,FALSE,TRUE,Training (Old) only
