gene,quadrant,sig_cat,pathway,logFC_Training_Young,logFC_Training_Old
LAMC1,Discordant,Tr.(Y),ECM & Adhesion,-0.8147,0.0144
COL1A1,Discordant,Tr.(Y),ECM & Adhesion,-1.0774,0.0285
COL3A1,Discordant,Tr.(Y),ECM & Adhesion,-1.1301,0.3477
PREX1,Discordant,Inter.,Immune & Inflammation,-0.5886,0.4452
FTH1,Discordant,Tr.(Y),Immune & Inflammation,-0.6746,0.1218
CTSG,Discordant,Tr.(Y),Immune & Inflammation,-2.0983,0.0985
DHRS11,Discordant,Inter.,Lipid Metabolism,-0.5976,0.1783
NDUFA6,Discordant,Tr.(Y),Mitochondria & Energy,-0.5061,0.1309
NDUFS7,Discordant,Tr.(Y),Mitochondria & Energy,-0.5378,0.0467
CHDH,Discordant,Inter.,Other,-0.4593,0.3918
TMEM143,Discordant,Tr.(Y),Other,-0.492,0.0537
TES,Discordant,Inter.,Other,-0.5999,0.3652
CILP,Discordant,Inter.,Other,-0.798,0.2431
SLC25A46,Discordant,Tr.(Y),Protein Homeostasis,0.8798,-0.0513
COPS7B,Discordant,Tr.(Y),Protein Homeostasis,0.8266,-0.4562
MUSTN1,Discordant,Tr.(O),Protein Homeostasis,-0.0778,0.7719
PLEKHF1,Discordant,Tr.(Y),Protein Homeostasis,-0.808,0.0458
ACP1,Discordant,Tr.(Y),Transcription & Chromatin,-0.3566,0.0366
CAPRIN1,Discordant,Inter.,Transcription & Chromatin,-0.5687,0.2797
RBM3,Discordant,Tr.(Y),Transcription & Chromatin,-0.6183,0.0321
UBN2,Discordant,Tr.(Y),Transcription & Chromatin,-0.8941,0.2353
SSU72,Discordant,Tr.(Y),Transcription & Chromatin,-0.9353,0.0159
FLT1,Discordant,Tr.(Y),Transcription & Chromatin,-1.6626,0.0424
RPL24,Discordant,Inter.,Translation & Ribosome,-0.1894,0.3749
UTP15,Discordant,Tr.(Y),Translation & Ribosome,-1.1256,0.113
TBC1D24,Discordant,Tr.(O),Transport,0.0537,-0.4748
EMD,Discordant,Tr.(Y),Transport,-0.4261,0.0453
TOMM22,Discordant,Tr.(Y),Transport,-0.7476,0.1645
ACTN2,Discordant,Inter.,Transport,-0.7875,0.4942
