pathway,pathway_label,database,NES_Aging,NES_Training_Old,padj_Aging,padj_Training_Old,independent_aging,independent_TO,significance,set_size
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,Activation Of Nmda Receptors And Postsynaptic Events,Reactome,-1.653,1.921,0.07756,0.02144,FALSE,TRUE,Sig Training only,24
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,-1.558,1.956,0.1129,0.01154,FALSE,TRUE,Sig Training only,35
GOBP_GLYCEROLIPID_METABOLIC_PROCESS,Glycerolipid Metabolic Process,GO:BP,1.609,-1.892,0.07872,0.01684,FALSE,TRUE,Sig Training only,41
GOBP_ACTIN_FILAMENT_ORGANIZATION,Actin Filament Organization,GO:BP,-1.654,1.759,0.01584,0.01154,FALSE,TRUE,Sig Training only,97
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE,Response To Toxic Substance,GO:BP,1.476,-1.711,0.128,0.03323,FALSE,TRUE,Sig Training only,61
REACTOME_BIOLOGICAL_OXIDATIONS,Biological Oxidations,Reactome,1.365,-1.808,0.2387,0.01794,FALSE,TRUE,Sig Training only,48
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,Cellular Response To Heat Stress,Reactome,-1.35,1.823,0.283,0.03669,FALSE,TRUE,Sig Training only,36
GOBP_PROTEIN_POLYUBIQUITINATION,Protein Polyubiquitination,GO:BP,1.209,-1.905,0.4507,0.01971,FALSE,TRUE,Sig Training only,35
REACTOME_CILIUM_ASSEMBLY,Cilium Assembly,Reactome,-0.844,2.251,0.9289,1.197e-4,FALSE,TRUE,Sig Training only,35
GOBP_ORGAN_GROWTH,Organ Growth,GO:BP,1.061,-1.971,0.6714,0.02144,FALSE,TRUE,Sig Training only,15
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,Chaperone Mediated Protein Folding,GO:BP,1.158,1.847,0.5127,0.02144,FALSE,TRUE,Sig Training only,40
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,-0.976,2.01,0.7796,0.01054,FALSE,TRUE,Sig Training only,32
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,-1.263,1.692,0.2587,0.01154,FALSE,TRUE,Sig Training only,128
GOBP_SYNAPSE_ASSEMBLY,Synapse Assembly,GO:BP,-1,-1.935,0.7393,0.03967,FALSE,TRUE,Sig Training only,19
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,Response To Xenobiotic Stimulus,GO:BP,1.117,-1.689,0.5377,0.04214,FALSE,TRUE,Sig Training only,66
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,Mhc Class Ii Antigen Presentation,Reactome,-0.887,1.899,0.8992,0.01583,FALSE,TRUE,Sig Training only,44
GOBP_RESPONSE_TO_CARBOHYDRATE,Response To Carbohydrate,GO:BP,0.949,-1.779,0.8058,0.03669,FALSE,TRUE,Sig Training only,46
GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Protein Localization To Plasma Membrane,GO:BP,-0.961,1.735,0.8032,0.02293,FALSE,TRUE,Sig Training only,68
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO:BP,-0.757,1.813,0.9879,0.03967,FALSE,TRUE,Sig Training only,43
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,Cooperation Of Prefoldin And Tric Cct In Actin And Tubulin Folding,Reactome,-0.67,1.873,0.9934,0.03967,FALSE,TRUE,Sig Training only,21
