gene,fcm_cluster,fcm_membership,wgcna_module,concordance_quadrant,reversal_quadrant
KPNA6,C2,0.9073344643778328,Blue,Conc. Up,Reversed (Aging Down / Training Up)
USO1,C4,0.9998081481324804,Red,Conc. Down,Reversed (Aging Up / Training Down)
PFKFB2,C3,0.9999844193783036,Pink,Conc. Up,Reversed (Aging Down / Training Up)
EDF1,C2,0.9867011847891348,Purple,Conc. Down,Exacerbated Down
DNAJA2,C2,0.9990509836207434,Blue,Conc. Up,Reversed (Aging Down / Training Up)
PFDN1,C4,0.6301420259638856,Brown,Conc. Down,Exacerbated Down
WDR1,C2,0.7302729852508147,Red,Conc. Up,Reversed (Aging Down / Training Up)
LDB3,C1,0.9999988428375276,Black,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
CLASP2,C3,0.9725632949529368,Green,Conc. Down,Reversed (Aging Up / Training Down)
CPNE3,C2,0.5464982282086532,Yellow,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
CLUH,C3,0.9994436436102404,Pink,Conc. Up,Exacerbated Up
COQ9,C3,0.9918988962630696,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
NDUFS7,C3,0.8975437705627528,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
RTN2,C2,0.9757946211649914,Yellow,Disc. YUp/ODn,Exacerbated Down
NDUFS2,C3,0.9041133458754284,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
NIPSNAP2,C3,0.9999815340026212,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
CILP,C1,0.9945568192252932,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
TBCA,C4,0.5045845735685158,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
VPS4B,C4,0.6306856722641078,Green,Disc. YDn/OUp,Exacerbated Up
FLNB,C2,0.9988475831629938,Blue,Conc. Up,Reversed (Aging Down / Training Up)
NDUFS6,C3,0.975340352268839,Green,Disc. YDn/OUp,Exacerbated Up
CS,C3,0.9999996539385752,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
SEC22B,C2,0.9954493955585948,Blue,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
MTX2,C3,0.6422728603906787,Green,Conc. Down,Reversed (Aging Up / Training Down)
VPS26A,C2,0.7717356237795329,Red,Conc. Down,Reversed (Aging Up / Training Down)
NDUFB1,C3,0.975539175875606,Green,Conc. Down,Exacerbated Down
PMPCB,C3,0.9977221536692,Green,Disc. YDn/OUp,Exacerbated Up
NDUFS3,C3,0.9970520545778256,Green,Conc. Down,Reversed (Aging Up / Training Down)
ECI2,C3,0.9998527481542838,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
BANF1,C1,0.9801211676013066,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
CSDE1,C1,0.8492011984751485,Black,Disc. YUp/ODn,Exacerbated Down
PRKRA,C1,0.9875234334019536,Black,Conc. Up,Reversed (Aging Down / Training Up)
LYPLA1,C3,0.994859698916926,Green,Disc. YDn/OUp,Exacerbated Up
TIPRL,C4,0.7088568090649967,Blue,Conc. Up,Reversed (Aging Down / Training Up)
PPM1B,C4,0.692273085917956,Red,Disc. YDn/OUp,Exacerbated Up
SLC25A12,C3,0.9999135932762832,Green,Disc. YDn/OUp,Exacerbated Up
EIF3G,C2,0.9864211926301576,Purple,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
EIF3J,C1,0.40733444199188534,Red,Conc. Up,Reversed (Aging Down / Training Up)
PSMD10,C4,0.9839505050090256,Yellow,Conc. Down,Reversed (Aging Up / Training Down)
IDH1,C4,0.9961313533251792,Yellow,Conc. Down,Reversed (Aging Up / Training Down)
SCO1,C3,0.9766589225245552,Pink,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
ARL6IP5,C2,0.9977145593867216,Blue,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
DYSF,C2,0.9999788927641864,Blue,Conc. Up,Reversed (Aging Down / Training Up)
DCTN3,C4,0.9961307252758624,Red,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
ATP5PD,C3,0.9999930650101724,Pink,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
FLOT1,C4,0.9786008726893944,Magenta,Conc. Up,Exacerbated Up
ATP5MG,C3,0.9999423096763476,Pink,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
GLRX3,C2,0.8541573810566743,Blue,Conc. Up,Reversed (Aging Down / Training Up)
DDAH1,C4,0.6363373112230647,Yellow,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
BAIAP3,C3,0.9993733541735698,Pink,Disc. YUp/ODn,Exacerbated Down
TMEM63A,C2,0.9957318323111178,Blue,Conc. Up,Exacerbated Up
PLPBP,C4,0.9999419206815624,Yellow,Conc. Down,Reversed (Aging Up / Training Down)
ERLIN2,C1,0.9974816636309516,Purple,Conc. Down,Exacerbated Down
ENDOD1,C4,0.4934257981089474,Blue,Conc. Up,Reversed (Aging Down / Training Up)
SEC31A,C2,0.9929408473545054,Blue,Conc. Up,Exacerbated Up
NDUFB6,C3,0.999634226812998,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
MFN2,C2,0.5592515510155825,Pink,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
NDUFA3,C3,0.9958817871046184,Green,Conc. Down,Exacerbated Down
NDUFB4,C3,0.9987189041075116,Green,Conc. Down,Reversed (Aging Up / Training Down)
NDUFB8,C3,0.9622150877873348,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
NDUFA7,C3,0.980309444965336,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
LETM1,C3,0.9999718172895988,Turquoise,Conc. Up,Exacerbated Up
STBD1,C2,0.9669152127581832,Magenta,Disc. YUp/ODn,Exacerbated Down
ZRANB2,C4,0.9961549903317618,Turquoise,Disc. YDn/OUp,Exacerbated Up
VAPB,C1,0.9833219862420164,Brown,Conc. Down,Exacerbated Down
NDUFC2,C3,0.9966959841112784,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
NDUFA10,C3,0.730771284873287,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
PGLS,C3,0.8106109728700343,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
IPO7,C2,0.8811241329836692,Magenta,Disc. YUp/ODn,Exacerbated Down
ARIH2,C1,0.99612959904546,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
SVIL,C1,0.5037394524169968,Brown,Disc. YUp/ODn,Exacerbated Down
AHSA1,C2,0.912518323644254,Turquoise,Conc. Up,Exacerbated Up
H6PD,C4,0.9986146209979548,Yellow,Conc. Down,Reversed (Aging Up / Training Down)
MPC2,C3,0.9999064122730584,Pink,Disc. YUp/ODn,Exacerbated Down
ETHE1,C3,0.9998807043261292,Pink,Conc. Down,Exacerbated Down
ACSL3,C2,0.9813927398283964,Blue,Disc. YUp/ODn,Exacerbated Down
OXSR1,C4,0.9981809639122828,Yellow,Conc. Down,Reversed (Aging Up / Training Down)
LSM8,C1,0.7964881281333804,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
AP2A1,C2,0.9961750317995796,Blue,Conc. Up,Exacerbated Up
BAG2,C4,0.8941170018024828,Yellow,Disc. YUp/ODn,Exacerbated Down
BAG3,C1,0.9310631225747256,Blue,Conc. Up,Reversed (Aging Down / Training Up)
MLYCD,C3,0.999991608725862,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
AIFM1,C3,0.9999934011172024,Pink,Disc. YUp/ODn,Exacerbated Down
BPNT1,C4,0.8120483834432463,Red,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
ABHD16A,C2,0.7327524019959979,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
TXNDC12,C2,0.7408759082996073,Yellow,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
NUDT3,C3,0.5886293071981549,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
NDUFB10,C3,0.9981760818099988,Green,Conc. Down,Exacerbated Down
MOCS2,C4,0.9859338565605912,Yellow,Conc. Down,Exacerbated Down
TOMM40,C3,0.9145188806422604,Green,Disc. YDn/OUp,Exacerbated Up
PEX11B,C3,0.8896667401881468,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
CYB5A,C4,0.8991257490474392,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
LDHA,C4,0.9072551650472463,Yellow,Conc. Up,Reversed (Aging Down / Training Up)
GLUD1,C3,0.9970186453939032,Turquoise,Conc. Up,Exacerbated Up
CYB5R3,C2,0.9999600492196462,Blue,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
GSR,C2,0.9774391175889896,Blue,Conc. Up,Reversed (Aging Down / Training Up)
MT-CO1,C1,0.7638290003175384,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
MT-CO2,C3,0.9965467270230436,Green,Conc. Down,Exacerbated Down
MT-CO3,C3,0.7801443650205651,Green,Conc. Down,Exacerbated Down
SOD1,C4,0.999234731637101,Yellow,Conc. Down,Reversed (Aging Up / Training Down)
HPRT1,C2,0.9089980309620732,Blue,Conc. Up,Reversed (Aging Down / Training Up)
GOT2,C3,0.9999997752137706,Turquoise,Disc. YDn/OUp,Exacerbated Up
PGK1,C4,0.9997468609939526,Yellow,Conc. Up,Reversed (Aging Down / Training Up)
AK1,C4,0.97379514199346,Yellow,Disc. YUp/ODn,Exacerbated Down
MT-ATP6,C2,0.7634839937761483,Magenta,Disc. YUp/ODn,Exacerbated Down
CA2,C4,0.9965465345842832,Red,Conc. Down,Reversed (Aging Up / Training Down)
ASS1,C3,0.8079063949593377,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
HLA-B,C1,0.9850614118523752,Turquoise,Disc. YDn/OUp,Exacerbated Up
MB,C2,0.9359450424576924,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
COL1A1,C1,0.9959788985958662,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
COL3A1,C1,0.999517855920841,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
COL4A1,C1,0.9956406252494112,Brown,Conc. Down,Exacerbated Down
CRYAB,C2,0.9997337004186712,Blue,Conc. Up,Reversed (Aging Down / Training Up)
LMNA,C1,0.97817011976583,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
TNNC2,C1,0.9999741914318058,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
LRG1,C4,0.9073206880689496,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
RBP4,C4,0.8881214967024953,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
TTR,C4,0.9931697489961644,Turquoise,Disc. YDn/OUp,Exacerbated Up
PPBP,C4,0.9301423690162144,Brown,Conc. Up,Reversed (Aging Down / Training Up)
FTH1,C4,0.6021176211190807,Green,Disc. YDn/OUp,Exacerbated Up
MT-ND1,C3,0.98162874867853,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
MT-ND2,C3,0.9223048998435044,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
MT-ND3,C3,0.9990026482154803,Green,Conc. Down,Exacerbated Down
MT-ND4,C3,0.9792965663401774,Magenta,Conc. Down,Exacerbated Down
MT-ATP8,C3,0.9999552603461686,Pink,Conc. Up,Reversed (Aging Down / Training Up)
ALDOA,C4,0.9987013171688248,Yellow,Conc. Down,Reversed (Aging Up / Training Down)
CSTB,C4,0.7842508301732796,Turquoise,Disc. YDn/OUp,Exacerbated Up
ANXA1,C2,0.99714086216425,Blue,Conc. Up,Exacerbated Up
SOD2,C3,0.9829290454936278,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
VWF,C1,0.9491021585761522,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
GAPDH,C4,0.704654000353555,Yellow,Conc. Up,Reversed (Aging Down / Training Up)
HLA-A,C4,0.6807844731388043,Turquoise,Conc. Up,Exacerbated Up
CAPNS1,C2,0.7286779716810428,Blue,Conc. Up,Reversed (Aging Down / Training Up)
HSPB1,C2,0.9987079767093126,Blue,Conc. Up,Reversed (Aging Down / Training Up)
RPN1,C2,0.9378636445600204,Purple,Conc. Up,Reversed (Aging Down / Training Up)
RPN2,C2,0.7889250975148806,Magenta,Conc. Up,Reversed (Aging Down / Training Up)
ATP1A1,C2,0.9509313408964868,Blue,Conc. Up,Reversed (Aging Down / Training Up)
ATP1B1,C2,0.9200871538995474,Pink,Conc. Up,Exacerbated Up
ALDH2,C4,0.8332628347963174,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
SLC25A5,C3,0.9999995625362172,Pink,Conc. Up,Exacerbated Up
PCCA,C3,0.9998683664188472,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
PCCB,C3,0.999994862199957,Turquoise,Conc. Up,Exacerbated Up
EIF2S1,C1,0.8924286824322439,Black,Conc. Up,Reversed (Aging Down / Training Up)
RPLP1,C1,0.960985588880834,Black,Conc. Up,Reversed (Aging Down / Training Up)
RPLP2,C1,0.9996588564673492,Black,Conc. Up,Reversed (Aging Down / Training Up)
RPLP0,C1,0.9997253998570932,Black,Conc. Up,Reversed (Aging Down / Training Up)
FABP3,C3,0.9848430744897776,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
ITGB1,C2,0.6741646931522102,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
KRT18,C1,0.9809356087144449,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
MYL1,C1,0.9999966237997334,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
GSN,C2,0.9994406688344192,Black,Conc. Up,Reversed (Aging Down / Training Up)
PTMA,C2,0.6359144225707342,Turquoise,Disc. YDn/OUp,Exacerbated Up
ATP5F1B,C3,0.9999991070323042,Pink,Conc. Up,Exacerbated Up
S100A6,C2,0.999726895618994,Blue,Conc. Up,Reversed (Aging Down / Training Up)
EIF4E,C4,0.6953032619591171,Brown,Conc. Down,Exacerbated Down
CKM,C4,0.742926410027633,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
ENO1,C4,0.8930268773166175,Red,Conc. Up,Reversed (Aging Down / Training Up)
GPI,C4,0.9974014605762892,Yellow,Conc. Up,Reversed (Aging Down / Training Up)
NPM1,C1,0.9677613084640412,Black,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
TPM3,C1,0.9999925035677376,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
EPHX1,C2,0.9938915076771336,Blue,Disc. YUp/ODn,Exacerbated Down
LDHB,C2,0.941433816031774,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
GPX1,C4,0.8987745627384169,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
P4HB,C2,0.9009114590466486,Blue,Conc. Up,Exacerbated Up
H1-0,C1,0.942873717140878,Brown,Conc. Down,Reversed (Aging Up / Training Down)
CTSD,C4,0.8081705505264579,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
ANXA2,C2,0.9999827234071994,Blue,Conc. Up,Reversed (Aging Down / Training Up)
CAPN1,C2,0.7751946217336824,Yellow,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
TUBB,C2,0.99973051374499,Blue,Conc. Up,Reversed (Aging Down / Training Up)
CA3,C2,0.9992320153807954,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
DCN,C4,0.6276141485509834,Brown,Conc. Down,Exacerbated Down
PSAP,C4,0.8646378452517901,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
PFN1,C2,0.9988429437263192,Blue,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
APRT,C1,0.8968006152467821,Red,Conc. Up,Reversed (Aging Down / Training Up)
EPRS1,C2,0.9995744598948724,Blue,Conc. Up,Exacerbated Up
CTSB,C3,0.43764024607058016,Turquoise,Conc. Up,Exacerbated Up
HSP90AA1,C2,0.9983773807331864,Blue,Conc. Up,Exacerbated Up
UQCRH,C3,0.9999321346758472,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
TPM2,C1,0.9999974075909625,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
FH,C3,0.9999985198188832,Turquoise,Conc. Up,Exacerbated Up
COL1A2,C1,0.999015686743459,Brown,Conc. Down,Exacerbated Down
ANXA6,C2,0.6188822440279866,Yellow,Conc. Up,Exacerbated Up
PFKM,C4,0.66331287297067,Yellow,Disc. YUp/ODn,Exacerbated Down
HSP90AB1,C2,0.9595850752758662,Blue,Conc. Up,Reversed (Aging Down / Training Up)
CTSG,C1,0.6149092024568997,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
PDHA1,C3,0.9999250811378716,Pink,Conc. Up,Reversed (Aging Down / Training Up)
COL4A2,C1,0.9989834590168252,Brown,Conc. Down,Exacerbated Down
CYC1,C3,0.9851522101417208,Green,Disc. YDn/OUp,Exacerbated Up
MYL3,C1,0.9999894841296448,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
VIM,C1,0.9170487871220284,Brown,Conc. Up,Reversed (Aging Down / Training Up)
RPS17,C1,0.7018058773699941,Purple,Conc. Up,Reversed (Aging Down / Training Up)
ANXA5,C2,0.9998025581237936,Blue,Disc. YUp/ODn,Exacerbated Down
RPSA,C1,0.8738667236950387,Purple,Conc. Up,Reversed (Aging Down / Training Up)
SNRPA,C1,0.9962954579867054,Green,Disc. YDn/OUp,Exacerbated Up
ENO2,C4,0.9980051195478836,Yellow,Conc. Up,Reversed (Aging Down / Training Up)
ACAA1,C3,0.941265070917862,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
GSTP1,C4,0.9618468054736168,Yellow,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
LGALS1,C1,0.998420448070332,Red,Disc. YDn/OUp,Exacerbated Up
QDPR,C4,0.999858822578434,Yellow,Conc. Down,Exacerbated Down
HMGB1,C4,0.9530576412387732,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
FBP1,C4,0.9459132403264694,Magenta,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
GSTM1,C4,0.632149164079839,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
TPM1,C1,0.9999971681948648,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
CLTB,C2,0.9993117725180358,Blue,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
ANXA4,C4,0.4486620921890129,Turquoise,Conc. Up,Exacerbated Up
HMOX1,C1,0.749669425729741,Brown,Conc. Down,Exacerbated Down
DLD,C2,0.6478521291135245,Pink,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
