row,module,fpr,tpr
Pre vs Post (Young),blue,0.8666666666666667,0.9333333333333333
Pre vs Post (Young),blue,0.8,0.9333333333333333
Pre vs Post (Young),blue,0.7333333333333334,0.9333333333333333
Pre vs Post (Young),blue,0.6666666666666667,0.9333333333333333
Pre vs Post (Young),blue,0.6,0.9333333333333333
Pre vs Post (Young),blue,0.5333333333333333,0.9333333333333333
Pre vs Post (Young),blue,0.4666666666666667,0.9333333333333333
Pre vs Post (Young),blue,0.4666666666666667,0.8666666666666667
Pre vs Post (Young),blue,0.4,0.8666666666666667
Pre vs Post (Young),blue,0.4,0.8
Pre vs Post (Young),blue,0.33333333333333337,0.8
Pre vs Post (Young),blue,0.33333333333333337,0.7333333333333333
Pre vs Post (Young),blue,0.2666666666666667,0.7333333333333333
Pre vs Post (Young),blue,0.19999999999999996,0.7333333333333333
Pre vs Post (Young),blue,0.1333333333333333,0.7333333333333333
Pre vs Post (Young),blue,0.06666666666666665,0.7333333333333333
Pre vs Post (Young),blue,0.06666666666666665,0.6666666666666666
Pre vs Post (Young),blue,0.06666666666666665,0.6
Pre vs Post (Young),blue,0.06666666666666665,0.5333333333333333
Pre vs Post (Young),blue,0.06666666666666665,0.4666666666666667
Pre vs Post (Young),blue,0,0.4666666666666667
Pre vs Post (Young),blue,0,0.4
Pre vs Post (Young),blue,0,0.3333333333333333
Pre vs Post (Young),blue,0,0.26666666666666666
Pre vs Post (Young),blue,0,0.2
Pre vs Post (Young),blue,0,0.13333333333333333
Pre vs Post (Young),blue,0,0.06666666666666667
Pre vs Post (Young),blue,0,0
Pre vs Post (Young),brown,1,1
Pre vs Post (Young),brown,0.9333333333333333,1
Pre vs Post (Young),brown,0.9333333333333333,0.9333333333333333
Pre vs Post (Young),brown,0.8666666666666667,0.9333333333333333
Pre vs Post (Young),brown,0.8,0.9333333333333333
Pre vs Post (Young),brown,0.8,0.8666666666666667
Pre vs Post (Young),brown,0.7333333333333334,0.8666666666666667
Pre vs Post (Young),brown,0.7333333333333334,0.8
Pre vs Post (Young),brown,0.6666666666666667,0.8
Pre vs Post (Young),brown,0.6,0.8
Pre vs Post (Young),brown,0.5333333333333333,0.8
Pre vs Post (Young),brown,0.4666666666666667,0.8
Pre vs Post (Young),brown,0.4666666666666667,0.7333333333333333
Pre vs Post (Young),brown,0.4,0.7333333333333333
Pre vs Post (Young),brown,0.33333333333333337,0.7333333333333333
Pre vs Post (Young),brown,0.2666666666666667,0.7333333333333333
Pre vs Post (Young),brown,0.2666666666666667,0.6666666666666666
Pre vs Post (Young),brown,0.2666666666666667,0.6
Pre vs Post (Young),brown,0.19999999999999996,0.6
Pre vs Post (Young),brown,0.19999999999999996,0.5333333333333333
Pre vs Post (Young),brown,0.1333333333333333,0.5333333333333333
Pre vs Post (Young),brown,0.06666666666666665,0.5333333333333333
Pre vs Post (Young),brown,0.06666666666666665,0.4666666666666667
Pre vs Post (Young),brown,0.06666666666666665,0.4
Pre vs Post (Young),brown,0.06666666666666665,0.3333333333333333
Pre vs Post (Young),brown,0.06666666666666665,0.26666666666666666
Pre vs Post (Young),brown,0.06666666666666665,0.2
Pre vs Post (Young),brown,0,0.2
Pre vs Post (Young),brown,0,0.13333333333333333
Pre vs Post (Young),brown,0,0.06666666666666667
Pre vs Post (Young),brown,0,0
Pre vs Post (Young),yellow,1,1
Pre vs Post (Young),yellow,0.9333333333333333,1
Pre vs Post (Young),yellow,0.9333333333333333,0.9333333333333333
Pre vs Post (Young),yellow,0.8666666666666667,0.9333333333333333
Pre vs Post (Young),yellow,0.8,0.9333333333333333
Pre vs Post (Young),yellow,0.7333333333333334,0.9333333333333333
Pre vs Post (Young),yellow,0.6666666666666667,0.9333333333333333
Pre vs Post (Young),yellow,0.6,0.9333333333333333
Pre vs Post (Young),yellow,0.6,0.8666666666666667
Pre vs Post (Young),yellow,0.5333333333333333,0.8666666666666667
Pre vs Post (Young),yellow,0.4666666666666667,0.8666666666666667
Pre vs Post (Young),yellow,0.4,0.8666666666666667
Pre vs Post (Young),yellow,0.33333333333333337,0.8666666666666667
Pre vs Post (Young),yellow,0.33333333333333337,0.8
Pre vs Post (Young),yellow,0.33333333333333337,0.7333333333333333
Pre vs Post (Young),yellow,0.33333333333333337,0.6666666666666666
Pre vs Post (Young),yellow,0.2666666666666667,0.6666666666666666
Pre vs Post (Young),yellow,0.2666666666666667,0.6
Pre vs Post (Young),yellow,0.2666666666666667,0.5333333333333333
Pre vs Post (Young),yellow,0.19999999999999996,0.5333333333333333
Pre vs Post (Young),yellow,0.19999999999999996,0.4666666666666667
Pre vs Post (Young),yellow,0.19999999999999996,0.4
Pre vs Post (Young),yellow,0.19999999999999996,0.3333333333333333
Pre vs Post (Young),yellow,0.1333333333333333,0.3333333333333333
Pre vs Post (Young),yellow,0.1333333333333333,0.26666666666666666
Pre vs Post (Young),yellow,0.06666666666666665,0.26666666666666666
Pre vs Post (Young),yellow,0.06666666666666665,0.2
Pre vs Post (Young),yellow,0.06666666666666665,0.13333333333333333
Pre vs Post (Young),yellow,0.06666666666666665,0.06666666666666667
Pre vs Post (Young),yellow,0,0.06666666666666667
Pre vs Post (Young),yellow,0,0
Pre vs Post (Young),green,1,1
Pre vs Post (Young),green,1,0.9333333333333333
Pre vs Post (Young),green,0.9333333333333333,0.9333333333333333
Pre vs Post (Young),green,0.8666666666666667,0.9333333333333333
Pre vs Post (Young),green,0.8666666666666667,0.8666666666666667
Pre vs Post (Young),green,0.8666666666666667,0.8
Pre vs Post (Young),green,0.8,0.8
Pre vs Post (Young),green,0.7333333333333334,0.8
Pre vs Post (Young),green,0.6666666666666667,0.8
Pre vs Post (Young),green,0.6,0.8
Pre vs Post (Young),green,0.5333333333333333,0.8
Pre vs Post (Young),green,0.4666666666666667,0.8
Pre vs Post (Young),green,0.4666666666666667,0.7333333333333333
Pre vs Post (Young),green,0.4,0.7333333333333333
Pre vs Post (Young),green,0.33333333333333337,0.7333333333333333
Pre vs Post (Young),green,0.33333333333333337,0.6666666666666666
Pre vs Post (Young),green,0.2666666666666667,0.6666666666666666
Pre vs Post (Young),green,0.19999999999999996,0.6666666666666666
Pre vs Post (Young),green,0.19999999999999996,0.6
Pre vs Post (Young),green,0.1333333333333333,0.6
Pre vs Post (Young),green,0.1333333333333333,0.5333333333333333
Pre vs Post (Young),green,0.06666666666666665,0.5333333333333333
Pre vs Post (Young),green,0.06666666666666665,0.4666666666666667
Pre vs Post (Young),green,0.06666666666666665,0.4
Pre vs Post (Young),green,0.06666666666666665,0.3333333333333333
Pre vs Post (Young),green,0,0.3333333333333333
Pre vs Post (Young),green,0,0.26666666666666666
Pre vs Post (Young),green,0,0.2
Pre vs Post (Young),green,0,0.13333333333333333
Pre vs Post (Young),green,0,0.06666666666666667
Pre vs Post (Young),green,0,0
Pre vs Post (Young),red,1,1
Pre vs Post (Young),red,1,0.9333333333333333
Pre vs Post (Young),red,0.9333333333333333,0.9333333333333333
Pre vs Post (Young),red,0.8666666666666667,0.9333333333333333
Pre vs Post (Young),red,0.8,0.9333333333333333
Pre vs Post (Young),red,0.8,0.8666666666666667
Pre vs Post (Young),red,0.7333333333333334,0.8666666666666667
Pre vs Post (Young),red,0.6666666666666667,0.8666666666666667
Pre vs Post (Young),red,0.6666666666666667,0.8
Pre vs Post (Young),red,0.6666666666666667,0.7333333333333333
Pre vs Post (Young),red,0.6,0.7333333333333333
Pre vs Post (Young),red,0.5333333333333333,0.7333333333333333
Pre vs Post (Young),red,0.5333333333333333,0.6666666666666666
Pre vs Post (Young),red,0.4666666666666667,0.6666666666666666
Pre vs Post (Young),red,0.4,0.6666666666666666
Pre vs Post (Young),red,0.4,0.6
Pre vs Post (Young),red,0.33333333333333337,0.6
Pre vs Post (Young),red,0.33333333333333337,0.5333333333333333
Pre vs Post (Young),red,0.2666666666666667,0.5333333333333333
Pre vs Post (Young),red,0.2666666666666667,0.4666666666666667
Pre vs Post (Young),red,0.2666666666666667,0.4
Pre vs Post (Young),red,0.2666666666666667,0.3333333333333333
Pre vs Post (Young),red,0.2666666666666667,0.26666666666666666
Pre vs Post (Young),red,0.19999999999999996,0.26666666666666666
