gene,pathway,database,cluster,theme
ACTN2,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
FUS,Membraneless Organelle Assembly,GO:BP,C1,Other
MYH11,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
RPL4,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
SRP14,Translation,Reactome,C1,Other
RPS19,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
COL15A1,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
CAP2,Signaling By Robo Receptors,Reactome,C1,Intracellular Transport & Signaling
RPL13A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
EIF1,Regulation Of Translation,GO:BP,C1,Other
RPL35,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
TNNT3,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
CRKL,Signaling By Pdgf,Reactome,C1,Intracellular Transport & Signaling
RPL27A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL5,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL28,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPS5,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
CAPZA2,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
CAPZB,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
RPL29,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
TNNI2,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
RPL34,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
AARS1,Cytoplasmic Translation,GO Slim,C1,Other
GSK3B,Cell Substrate Adhesion,GO:BP,C1,ECM & Tissue Remodeling
EMD,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
BCAM,Cell Substrate Adhesion,GO:BP,C1,ECM & Tissue Remodeling
RPL14,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
FXR1,Membraneless Organelle Assembly,GO:BP,C1,Other
DUSP3,Cell Substrate Adhesion,GO:BP,C1,ECM & Tissue Remodeling
CAV2,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
RPS6KA3,Regulation Of Translation,GO:BP,C1,Other
LUM,Ecm Proteoglycans,Reactome,C1,Other
HNRNPA3,Mrna Splicing,Reactome,C1,Other
MYOM1,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
HNRNPM,Mrna Splicing,Reactome,C1,Other
CAPZA1,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
MYOM2,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
LAMB2,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
HNRNPH2,Mrna Splicing,Reactome,C1,Other
SH3BGR,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
EIF6,Membraneless Organelle Assembly,GO:BP,C1,Other
EEFSEC,Metabolism Of Amino Acids And Derivatives,Reactome,C1,Metabolic & Redox Regulation
EIF3E,Cytoplasmic Translation,GO Slim,C1,Other
GABARAPL2,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
MYL6,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
ACTB,Apical Junction,Hallmark,C1,Other
RPS3A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL15,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL37A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
PPP1CA,Regulation Of Translation,GO:BP,C1,Other
RPS14,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPS18,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
SNRPD2,Ribonucleoprotein Complex Biogenesis,GO:BP,C1,Other
CNBP,Cytoplasmic Translation,GO Slim,C1,Other
RPL23A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL23,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPS15,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPS28,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL30,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL31,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL10A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL32,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL8,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
GRB2,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
RPS21,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RACK1,Cytoplasmic Translation,GO Slim,C1,Other
TNNC1,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
ACTA1,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
CSNK2A1,Negative Regulation Of Translation,GO:BP,C1,Other
EIF4G2,Regulation Of Translation,GO:BP,C1,Other
RPL24,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL19,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
SRSF3,Mrna Splicing,Reactome,C1,Other
H3-3A,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
FBLN2,Epithelial Mesenchymal Transition,Hallmark,C1,ECM & Tissue Remodeling
HSPG2,Ecm Proteoglycans,Reactome,C1,Other
RBM3,RNA Splicing Via Transesterification Reactions,GO:BP,C1,Other
PURA,Negative Regulation Of Translation,GO:BP,C1,Other
MYBPC1,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
CAP1,Signaling By Robo Receptors,Reactome,C1,Intracellular Transport & Signaling
TAGLN,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
RPL18A,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL6,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
CAV1,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
PRKCQ,Neuron Projection Guidance,GO:BP,C1,Other
YWHAH,Apical Junction,Hallmark,C1,Other
CALD1,Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
RPL18,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
DPT,Extracellular Matrix Organization,GO Slim,C1,ECM & Tissue Remodeling
SRSF1,Muscle System Process,GO:BP,C1,Muscle Structure & Myogenesis
ACTN3,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
PPP3CA,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
LMOD3,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
NEXN,Apical Junction,Hallmark,C1,Other
ASPH,Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
TRDN,Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
MYBPH,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
G3BP1,Membraneless Organelle Assembly,GO:BP,C1,Other
EIF3I,Cytoplasmic Translation,GO Slim,C1,Other
SNTB2,Extracellular Matrix Organization,Reactome,C1,ECM & Tissue Remodeling
SF3B2,Ribonucleoprotein Complex Biogenesis,GO:BP,C1,Other
MTM1,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
CAMK2G,Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
FHL3,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
ITGA7,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
DDX39B,Ribonucleoprotein Complex Biogenesis,GO:BP,C1,Other
NID2,Epithelial Mesenchymal Transition,Hallmark,C1,ECM & Tissue Remodeling
UBAP2L,Membraneless Organelle Assembly,GO:BP,C1,Other
MYBPC2,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
CAPRIN1,Membraneless Organelle Assembly,GO:BP,C1,Other
PGM5,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
NECTIN1,Apical Junction,Hallmark,C1,Other
PCBP2,Mrna Splicing,Reactome,C1,Other
ELOC,Signaling By Robo Receptors,Reactome,C1,Intracellular Transport & Signaling
ELOB,Signaling By Robo Receptors,Reactome,C1,Intracellular Transport & Signaling
SF1,Ribonucleoprotein Complex Biogenesis,GO:BP,C1,Other
SPEG,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
OBSCN,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
MYOM3,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
TWF2,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
LMOD2,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
CORO6,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
XIRP1,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
HDGFL2,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
MYPN,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
SYNPO,Actomyosin Structure Organization,GO:BP,C1,Other
SMYD1,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
SERBP1,Negative Regulation Of Translation,GO:BP,C1,Other
PREX1,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
UTP15,Rrna Processing,Reactome,C1,Other
PALLD,Neuron Projection Guidance,GO:BP,C1,Other
TTN,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
DDX1,Ribonucleoprotein Complex Biogenesis,GO:BP,C1,Other
MYO18A,Actomyosin Structure Organization,GO:BP,C1,Other
RPL3L,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL36AL,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
NUDT16,Ribosome Biogenesis,GO Slim,C1,Other
MRRF,Translation,Reactome,C1,Other
PDLIM5,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
PURB,Negative Regulation Of Translation,GO:BP,C1,Other
ARPC5L,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
JPH2,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
CORO1B,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
PELO,Rrna Metabolic Process,GO:BP,C1,Metabolic & Redox Regulation
SORBS1,Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
EIF2A,Membraneless Organelle Assembly,GO:BP,C1,Other
TRIM54,Regulation Of Protein Depolymerization,GO:BP,C1,Other
UBL5,Mrna Splicing,Reactome,C1,Other
TMEM38A,Muscle System Process,GO Slim,C1,Muscle Structure & Myogenesis
SYNPO2L,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
JPH1,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
MYOZ1,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
MYOZ2,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
PDLIM7,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
PARVA,Apical Junction,Hallmark,C1,Other
TMOD4,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
CHMP5,Membraneless Organelle Assembly,GO:BP,C1,Other
MYOT,Muscle System Process,GO Slim,C1,Muscle Structure & Myogenesis
AGO2,Membraneless Organelle Assembly,GO:BP,C1,Other
MYH2,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
MYH13,Muscle System Process,GO Slim,C1,Muscle Structure & Myogenesis
SYNPO2,Actin Filament Organization,GO:BP,C1,Cytoskeletal & Cell Division
G3BP2,Membraneless Organelle Assembly,GO:BP,C1,Other
PA2G4,Ribosome Biogenesis,GO Slim,C1,Other
CFL2,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
RPL36,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
MYH4,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
MYO1C,Cytoskeleton Dependent Intracellular Transport,GO:BP,C2,Cytoskeletal & Cell Division
PSMD11,M Phase,Reactome,C2,Other
PSMD12,M Phase,Reactome,C2,Other
EIF3F,Cytoplasmic Translation,GO Slim,C2,Other
DCTN6,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
IPO5,Positive Regulation Of Protein Localization To Nucleus,GO:BP,C2,Other
PSMD14,M Phase,Reactome,C2,Other
BIN1,Mitotic Spindle,Hallmark,C2,Cytoskeletal & Cell Division
KPNA3,Interferon Signaling,Reactome,C2,Immune & Complement
HSPB6,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
PRMT5,Ribonucleoprotein Complex Biogenesis,GO:BP,C2,Other
PSMA7,M Phase,Reactome,C2,Other
HGS,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
ARPC1B,Rho Gtpase Effectors,Reactome,C2,Other
PGRMC2,Rho Gtpase Cycle,Reactome,C2,Other
SURF4,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
PMM2,Asparagine N Linked Glycosylation,Reactome,C2,Other
EIF3H,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
STX7,Protein Localization To Plasma Membrane,GO Slim,C2,Other
CYB5B,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
DYNC1LI2,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
PSMD3,M Phase,Reactome,C2,Other
TXNL1,Rho Gtpase Cycle,Reactome,C2,Other
TRAPPC3,Asparagine N Linked Glycosylation,Reactome,C2,Other
NARS1,Translation,Reactome,C2,Other
AHCYL1,Intracellular Signaling By Second Messengers,Reactome,C2,Intracellular Transport & Signaling
PPP1R12B,Mitotic G2 G2 M Phases,Reactome,C2,Cytoskeletal & Cell Division
SYNCRIP,Cytoplasmic Translation,GO Slim,C2,Other
KLHL41,Neddylation,Reactome,C2,Other
PLIN3,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
KPNA6,DNA Replication Pre Initiation,Reactome,C2,Other
DNAJA2,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2,Proteostasis & Stress Response
CPNE3,Neutrophil Degranulation,Reactome,C2,Other
ATP6V1G1,Vesicle Organization,GO:BP,C2,Intracellular Transport & Signaling
FLNB,Mitotic Spindle,Hallmark,C2,Cytoskeletal & Cell Division
SEC22B,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
EIF3G,Cytoplasmic Translation,GO Slim,C2,Other
ARL6IP5,Protein Localization To Plasma Membrane,GO Slim,C2,Other
TMEM63A,Neutrophil Degranulation,Reactome,C2,Other
SEC31A,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
MFN2,Autophagy,Reactome,C2,Other
RTN3,Neuronal System,Reactome,C2,Other
STBD1,Neutrophil Degranulation,Reactome,C2,Other
TACC2,Spindle Organization,GO:BP,C2,Cytoskeletal & Cell Division
LYPLA2,L1cam Interactions,Reactome,C2,Other
IPO7,Positive Regulation Of Protein Localization To Nucleus,GO:BP,C2,Other
AHSA1,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
ACSL3,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
SNAP29,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
AP2A1,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
TXNDC12,Response To Endoplasmic Reticulum Stress,GO:BP,C2,Other
CYB5R3,Neutrophil Degranulation,Reactome,C2,Other
GSR,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
F13A1,Signaling By Interleukins,Reactome,C2,Intracellular Transport & Signaling
HPRT1,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
CST3,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
CRYAB,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
TFRC,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
FTL,Neutrophil Degranulation,Reactome,C2,Other
ANXA1,Signaling By Interleukins,Reactome,C2,Intracellular Transport & Signaling
HSPB1,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
RPN1,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
RPN2,Asparagine N Linked Glycosylation,Reactome,C2,Other
GNAI2,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,C2,Intracellular Transport & Signaling
ATP1B1,Protein Localization To Plasma Membrane,GO Slim,C2,Other
ITGB1,Protein Localization To Plasma Membrane,GO Slim,C2,Other
GSN,Cilium Organization,GO Slim,C2,Other
P4HB,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
ANXA2,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
CAPN1,Variant Mutation Caused Aberrant Abeta To Anterograde Axonal Transport,KEGG,C2,Intracellular Transport & Signaling
TUBB,Cilium Assembly,Reactome,C2,Other
PFN1,Pcp Ce Pathway,Reactome,C2,Other
EPRS1,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
HSP90AA1,Cilium Assembly,Reactome,C2,Other
HSP90AB1,Mitotic G2 G2 M Phases,Reactome,C2,Cytoskeletal & Cell Division
CLTB,Pcp Ce Pathway,Reactome,C2,Other
HNRNPA1,Regulation Of Telomere Maintenance Via Telomerase,GO:BP,C2,Other
IFIT2,Interferon Signaling,Reactome,C2,Immune & Complement
UCHL1,Microtubule-Based Movement,GO Slim,C2,Cytoskeletal & Cell Division
ALDOC,Neutrophil Degranulation,Reactome,C2,Other
HSPA1A,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2,Proteostasis & Stress Response
ARAF,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
MAPT,Variant Mutation Caused Aberrant Abeta To Anterograde Axonal Transport,KEGG,C2,Intracellular Transport & Signaling
HSPA5,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
HSPA8,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2,Proteostasis & Stress Response
LAMP1,Microtubule-Based Movement,GO Slim,C2,Cytoskeletal & Cell Division
UBL4A,Regulation Of Protein Stability,GO:BP,C2,Proteostasis & Stress Response
HARS1,Translation,Reactome,C2,Other
IMPDH2,Neutrophil Degranulation,Reactome,C2,Other
EEF2,Unfolded Protein Response,Hallmark,C2,Proteostasis & Stress Response
PDIA4,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
MIF,Neutrophil Degranulation,Reactome,C2,Other
HSP90B1,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
IDE,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
DARS1,Translation,Reactome,C2,Other
GSPT1,Translation,Reactome,C2,Other
EZR,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
RPS2,Cytoplasmic Translation,GO Slim,C2,Other
ATP2A2,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
YBX3,Cytoplasmic Translation,GO Slim,C2,Other
PRKACA,Cilium Assembly,Reactome,C2,Other
CAPN2,Variant Mutation Caused Aberrant Abeta To Anterograde Axonal Transport,KEGG,C2,Intracellular Transport & Signaling
PFKL,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
LGALS3,Protein Localization To Plasma Membrane,GO Slim,C2,Other
TCP1,Cilium Assembly,Reactome,C2,Other
RPL35A,Cytoplasmic Translation,GO Slim,C2,Other
VCL,Mitotic Spindle,Hallmark,C2,Cytoskeletal & Cell Division
SRM,Metabolism Of Polyamines,Reactome,C2,Metabolic & Redox Regulation
RAB6A,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
FLNA,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
SCP2,Protein Localization To Plasma Membrane,GO Slim,C2,Other
PPIB,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
WARS1,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
RPS3,Cytoplasmic Translation,GO Slim,C2,Other
EIF4B,Cytoplasmic Translation,GO Slim,C2,Other
EEF1B2,Translation,Reactome,C2,Other
DNAJB2,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
PSMA3,M Phase,Reactome,C2,Other
MSN,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
TARS1,Unfolded Protein Response,Hallmark,C2,Proteostasis & Stress Response
VARS1,Translation,Reactome,C2,Other
EEF1G,Translation,Reactome,C2,Other
PLN,Vesicle Organization,GO:BP,C2,Intracellular Transport & Signaling
YWHAQ,Sars Cov 1 Host Interactions,Reactome,C2,Other
