pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,7.601514970037871e-11,3.9401185928029635e-9,5.563608647450112,19,44,Reactome,10.084413793103447,green,Mitochondrial Protein Import,CHCHD2/CHCHD3/CMC2/COA6/COX17/CYC1/MTX2/NDUFB8/PMPCB/SAMM50/SLC25A12/SLC25A13/TIMM21/TIMM8A/TIMM8B/TOMM22/TOMM40/TOMM5/VDAC1,19,3.9401185928029635e-9,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT
REACTOME_TP53_REGULATES_METABOLIC_GENES,1.772916970947201e-9,7.876816828065422e-8,5.3422070196311715,17,41,Reactome,9.27579365079365,green,Tp53 Regulates Metabolic Genes,AGO2/COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYCS/MT-CO1/MT-CO2/MT-CO3,17,7.876816828065422e-8,REACTOME_TP53_REGULATES_METABOLIC_GENES
REACTOME_PROTEIN_LOCALIZATION,9.765585645368067e-8,3.796371419636836e-6,3.5600930680359433,21,76,Reactome,5.057088366179276,green,Protein Localization,ATAD1/CHCHD2/CHCHD3/CMC2/COA6/COX17/CYC1/EMD/MTX2/NDUFB8/PMPCB/SAMM50/SLC25A12/SLC25A13/TIMM21/TIMM8A/TIMM8B/TOMM22/TOMM40/TOMM5/VDAC1,21,3.796371419636836e-6,REACTOME_PROTEIN_LOCALIZATION
GOBP_MITOCHONDRIAL_TRANSPORT,1.1916362133127621e-7,4.555716907818791e-6,3.8249809451219514,19,64,GO:BP,5.544214559386973,green,Mitochondrial Transport,GHITM/MCU/MICU2/MTCH2/MTX2/NDUFA13/PMPCB/PNPT1/SAMM50/SLC25A13/TIMM21/TIMM8A/TIMM8B/TMEM14C/TOMM22/TOMM40/TOMM5/VDAC1/VDAC2,19,4.555716907818791e-6,GOBP_MITOCHONDRIAL_TRANSPORT
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,1.5453552154694266e-7,5.689196608061519e-6,7.157859078590786,10,18,GO:BP,15.75487012987013,green,Establishment Of Protein Localization To Mitochondrial Membrane,MTCH2/MTX2/NDUFA13/SAMM50/TIMM8A/TIMM8B/TMEM126A/TOMM22/TOMM40/TOMM5,10,5.689196608061519e-6,GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,2.967180061187338e-7,1.053348921721505e-5,4.207068193130911,16,49,GO:BP,6.276822276822277,green,Mitochondrial Membrane Organization,CHCHD3/DNAJC11/GHITM/IMMT/MTCH2/MTX2/NDUFA13/SAMM50/TIMM8A/TIMM8B/TMEM11/TMEM126A/TOMM22/TOMM40/TOMM5/VDAC2,16,1.053348921721505e-5,GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,3.846992082404522e-7,1.3293494862531183e-5,3.7405586152635717,18,62,Reactome,5.337795765877957,green,Transcriptional Regulation By Tp53,AGO2/COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYCS/MT-CO1/MT-CO2/MT-CO3/RPA2,18,1.3293494862531183e-5,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,2.2861994710958288e-6,7.110080355108028e-5,3.221036585365854,19,76,Reactome,4.349425287356322,green,Mitochondrial Protein Degradation,CHCHD2/COX4I1/COX5A/COX5B/MICU2/MT-CO1/MT-CO2/MT-ND1/NDUFA13/NDUFA2/NDUFB6/NDUFS1/NDUFS3/NDUFV1/NDUFV3/OXCT1/PDK1/UQCRC2/UQCRQ,19,7.110080355108028e-5,REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,4.482697695448825e-6,1.536483279060735e-4,4.887089991589571,11,29,GO:BP,7.71278140885984,green,Inner Mitochondrial Membrane Organization,CHCHD3/DNAJC11/GHITM/IMMT/MTX2/NDUFA13/SAMM50/TIMM8A/TIMM8B/TMEM11/TMEM126A,11,1.536483279060735e-4,GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION
REACTOME_COMPLEX_III_ASSEMBLY,8.379987717722743e-6,2.369251072919794e-4,6.442073170731708,8,16,Reactome,12.442307692307692,green,Complex Iii Assembly,CYC1/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ,8,2.369251072919794e-4,REACTOME_COMPLEX_III_ASSEMBLY
