module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
brown,P21695,GPD1,0.73,0.5874,0.8287,1.6686291371208826e-11,"Age (Young=0, Old=1)",-0.2252,-0.4497,0.026,0.07842228943826768,62
brown,P49773,HINT1,0.7502,0.6159,0.8422,2.2352072168531007e-12,"Age (Young=0, Old=1)",-0.1884,-0.4185,0.0644,0.14243478258146675,62
brown,P55786,NPEPPS,0.7525,0.6191,0.8437,1.7668534809086455e-12,"Age (Young=0, Old=1)",-0.0287,-0.2765,0.2227,0.8249275199668332,62
brown,P22061,PCMT1,0.7171,0.5692,0.82,5.544081247752301e-11,"Age (Young=0, Old=1)",0.1759,-0.0773,0.4077,0.17154463029289965,62
brown,Q9UHG3,PCYOX1,0.8331,0.7366,0.8963,4.561203541780157e-17,"Age (Young=0, Old=1)",-0.1637,-0.3972,0.0897,0.20360611010693438,62
brown,Q5VU43,PDE4DIP,0.6843,0.5242,0.7977,8.668349508709377e-10,"Age (Young=0, Old=1)",-0.1523,-0.3873,0.1013,0.23739862075268145,62
brown,P48147,PREP,0.724,0.5789,0.8246,2.944576067596453e-11,"Age (Young=0, Old=1)",-0.2121,-0.4386,0.0398,0.09799233817759748,62
brown,P10644,PRKAR1A,0.6978,0.5426,0.8069,2.9263689620268975e-10,"Age (Young=0, Old=1)",0.0983,-0.1553,0.3397,0.4473344756321984,62
brown,P25789,PSMA4,0.7089,0.5579,0.8145,1.1368351069773707e-10,"Age (Young=0, Old=1)",-0.1432,-0.3794,0.1105,0.2668161645781988,62
brown,P60900,PSMA6,0.6664,0.4999,0.7855,3.3735570116793998e-9,"Age (Young=0, Old=1)",-0.3878,-0.5813,-0.1528,0.0018449196583056793,62
brown,P28074,PSMB5,0.6748,0.5112,0.7912,1.8102471501996768e-9,"Age (Young=0, Old=1)",-0.0603,-0.3055,0.1923,0.6412900932834802,62
brown,P28072,PSMB6,0.6698,0.5045,0.7878,2.6221212861086134e-9,"Age (Young=0, Old=1)",-0.1277,-0.3658,0.1261,0.3225869495033724,62
brown,P61019,RAB2A,0.6717,0.507,0.7891,2.2783753530762958e-9,"Age (Young=0, Old=1)",-0.0579,-0.3033,0.1947,0.655069814776551,62
brown,O75298,RTN2,0.7334,0.592,0.8309,1.2151953762951794e-11,"Age (Young=0, Old=1)",-0.2896,-0.503,-0.0429,0.022437601392414908,62
brown,P60174,TPI1,0.7447,0.6081,0.8385,3.939978995369446e-12,"Age (Young=0, Old=1)",-0.2125,-0.4389,0.0394,0.09733969329222958,62
brown,O60763,USO1,0.7181,0.5707,0.8207,5.046869731681131e-11,"Age (Young=0, Old=1)",0.1721,-0.0812,0.4045,0.18107655327673236,62
yellow,P68133,ACTA1,0.8485,0.7598,0.9062,3.1326848663310863e-18,"Age (Young=0, Old=1)",-0.1432,-0.3794,0.1105,0.2666903631501032,62
yellow,P60709,ACTB,0.8842,0.8143,0.9289,1.673938107770329e-21,"Age (Young=0, Old=1)",-0.1919,-0.4215,0.0607,0.13505370220249172,62
yellow,P12814,ACTN1,0.9084,0.8519,0.944,2.1382386269197962e-24,"Age (Young=0, Old=1)",-0.4077,-0.5967,-0.1759,0.001004354808234136,62
yellow,P35609,ACTN2,0.911,0.856,0.9456,9.255240982475211e-25,"Age (Young=0, Old=1)",-0.3844,-0.5786,-0.1489,0.0020379895950388325,62
yellow,O43707,ACTN4,0.9224,0.8739,0.9527,1.8231571877425143e-26,"Age (Young=0, Old=1)",-0.4139,-0.6015,-0.1831,8.248936008924189e-4,62
yellow,Q5TDH0,DDI2,0.879,0.8063,0.9256,5.8110741044024586e-21,"Age (Young=0, Old=1)",-0.4774,-0.6497,-0.2585,8.720604093996684e-5,62
yellow,Q9NP98,MYOZ1,0.9006,0.8397,0.9391,2.220135010517985e-23,"Age (Young=0, Old=1)",-0.4255,-0.6104,-0.1966,5.656676827308399e-4,62
yellow,P10828,THRB,0.8965,0.8334,0.9366,6.925500703536055e-23,"Age (Young=0, Old=1)",-0.4529,-0.6312,-0.229,2.1909386196306203e-4,62
yellow,Q9NZQ9,TMOD4,0.9096,0.8539,0.9448,1.4446801112430124e-24,"Age (Young=0, Old=1)",-0.3707,-0.5679,-0.1333,0.0030171939441781545,62
yellow,P02585,TNNC2,0.8601,0.7773,0.9136,3.4225001264591736e-19,"Age (Young=0, Old=1)",-0.2774,-0.493,-0.0297,0.02906757476327235,62
yellow,P48788,TNNI2,0.93,0.8861,0.9574,8.996215518115328e-28,"Age (Young=0, Old=1)",-0.4478,-0.6274,-0.223,2.627107319757379e-4,62
yellow,P45378,TNNT3,0.9156,0.8632,0.9485,2.0460906485718506e-25,"Age (Young=0, Old=1)",-0.4075,-0.5966,-0.1756,0.0010109356667072338,62
yellow,P09493,TPM1,0.9475,0.914,0.9681,2.1396351891037107e-31,"Age (Young=0, Old=1)",-0.4308,-0.6145,-0.2029,4.7299557995581675e-4,62
yellow,P07951,TPM2,0.9457,0.9112,0.9671,5.600917485714124e-31,"Age (Young=0, Old=1)",-0.3584,-0.5582,-0.1193,0.004234916280036,62
green,O95167,NDUFA3,0.9116,0.857,0.946,7.609656556516858e-25,ΔVL Thickness (cm),-0.2851,-0.5027,-0.0336,0.027231178740870915,62
green,Q16718,NDUFA5,0.906,0.8482,0.9425,4.4576798158986395e-24,ΔVL Thickness (cm),-0.3764,-0.5753,-0.1354,0.003037512958031366,62
green,O95182,NDUFA7,0.9097,0.854,0.9448,1.414726301157483e-24,ΔVL Thickness (cm),-0.2701,-0.4904,-0.0173,0.03690065267049086,62
green,Q16795,NDUFA9,0.8959,0.8323,0.9362,8.335246453280765e-23,ΔVL Thickness (cm),-0.3544,-0.5581,-0.1104,0.00546118553368787,62
green,O43676,NDUFB3,0.8922,0.8266,0.9339,2.2299168192869603e-22,ΔVL Thickness (cm),-0.2774,-0.4963,-0.0252,0.031900742116711046,62
green,O95168,NDUFB4,0.9169,0.8653,0.9493,1.2952824548798914e-25,ΔVL Thickness (cm),-0.331,-0.5396,-0.0842,0.009783240072251956,62
green,Q9Y6M9,NDUFB9,0.8954,0.8317,0.9359,9.31604379097873e-23,ΔVL Thickness (cm),-0.3075,-0.5208,-0.0581,0.016842297930472146,62
green,O95298,NDUFC2,0.9191,0.8687,0.9506,6.100543167471804e-26,ΔVL Thickness (cm),-0.2857,-0.5031,-0.0342,0.026920049045183247,62
green,P28331,NDUFS1,0.9466,0.9126,0.9676,3.410660442292956e-31,ΔVL Thickness (cm),-0.3596,-0.5622,-0.1163,0.004767594352248883,62
green,O75489,NDUFS3,0.8846,0.8149,0.9291,1.530108967633087e-21,ΔVL Thickness (cm),-0.3842,-0.5814,-0.1443,0.0024414973273029074,62
green,P49821,NDUFV1,0.9257,0.8791,0.9547,5.237631460448414e-27,ΔVL Thickness (cm),-0.3331,-0.5413,-0.0865,0.009295007991034441,62
green,P19404,NDUFV2,0.9123,0.8581,0.9464,6.092161772070425e-25,ΔVL Thickness (cm),-0.2978,-0.513,-0.0475,0.020821814319065164,62
red,P62906,RPL10A,0.9005,0.8396,0.9391,2.2373745177226205e-23,"Age (Young=0, Old=1)",-0.2207,-0.4459,0.0308,0.08477613268736775,62
red,P36578,RPL4,0.8727,0.7965,0.9216,2.4592568070495192e-20,"Age (Young=0, Old=1)",-0.1627,-0.3963,0.0908,0.20651435843128388,62
red,P46777,RPL5,0.9144,0.8613,0.9477,3.0948215905754e-25,"Age (Young=0, Old=1)",-0.2901,-0.5034,-0.0435,0.022184519670755496,62
red,Q02878,RPL6,0.8946,0.8304,0.9354,1.1743837429417625e-22,"Age (Young=0, Old=1)",-0.3191,-0.5269,-0.0753,0.01148174652135036,62
red,P18124,RPL7,0.8797,0.8072,0.926,5.0143271339168575e-21,"Age (Young=0, Old=1)",-0.142,-0.3784,0.1117,0.27089451367064804,62
red,P05388,RPLP0,0.8906,0.8241,0.9329,3.3803508928995667e-22,"Age (Young=0, Old=1)",-0.2702,-0.4871,-0.0219,0.03368957137791128,62
red,P05387,RPLP2,0.9063,0.8487,0.9427,4.0486352903596554e-24,"Age (Young=0, Old=1)",-0.1914,-0.421,0.0613,0.1361561777357506,62
black,Q05639,EEF1A2,0.8491,0.7606,0.9066,2.826655450011365e-18,"Age (Young=0, Old=1)",-0.4669,-0.6418,-0.2458,1.3064532849305077e-4,62
black,P41091,EIF2S3,0.8751,0.8002,0.9231,1.431465932335456e-20,"Age (Young=0, Old=1)",-0.5939,-0.7347,-0.4041,3.6152853338441956e-7,62
black,Q86Y39,NDUFA11,0.8151,0.7099,0.8848,7.397359326289353e-16,"Age (Young=0, Old=1)",-0.5383,-0.6947,-0.3334,6.3908756693918245e-6,62
black,P62979,RPS27A,0.9115,0.8567,0.9459,8.033627345648927e-25,"Age (Young=0, Old=1)",-0.6545,-0.7772,-0.4839,7.909985375982996e-9,62
black,Q02978,SLC25A11,0.803,0.692,0.8769,4.148958485048243e-15,"Age (Young=0, Old=1)",-0.5807,-0.7252,-0.387,7.522102909110383e-7,62
pink,P25705,ATP5F1A,0.8842,0.8143,0.9289,1.6709408406201368e-21,"Age (Young=0, Old=1)",0.1369,-0.1169,0.3739,0.28866114855291386,62
pink,O75964,ATP5MG,0.8346,0.7388,0.8973,3.5643924460992224e-17,"Age (Young=0, Old=1)",-0.0609,-0.3061,0.1917,0.6379375865112374,62
pink,P24539,ATP5PB,0.8113,0.7043,0.8823,1.2827697354262517e-15,"Age (Young=0, Old=1)",-0.0914,-0.3336,0.162,0.47963117994799,62
pink,P48047,ATP5PO,0.7876,0.6696,0.8669,3.102834011579162e-14,"Age (Young=0, Old=1)",0.199,-0.0535,0.4275,0.12108336107648891,62
magenta,P63244,RACK1,0.8961,0.8326,0.9363,7.886252852525363e-23,"Age (Young=0, Old=1)",-0.1269,-0.3651,0.1269,0.32572772287381646,62
magenta,P62269,RPS18,0.9283,0.8833,0.9563,1.8335833929672962e-27,"Age (Young=0, Old=1)",-0.1532,-0.3881,0.1004,0.23441170169313758,62
magenta,P61247,RPS3A,0.8669,0.7877,0.9179,8.518388675618153e-20,"Age (Young=0, Old=1)",-0.4058,-0.5952,-0.1736,0.0010671193629782038,62
magenta,P62701,RPS4X,0.8749,0.79990000000000006,0.923,1.5020846005342164e-20,"Age (Young=0, Old=1)",-0.1071,-0.3476,0.1466,0.4072408387116525,62
