pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,dedup_status,merged_into,overlap_jaccard
KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE,0.6839920948616601,0.7559912627418349,0.019832758656978127,-0.286334397305097,-0.8333910634817688,16,DYNLT1;DCTN3;DYNC1H1;DYNLRB1;DCTN6,KEGG,Aging,NA,NA,NA
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV,0.505593719332679,0.589859339221459,0.024495207917550735,-0.3364460417404768,-0.9620474885026218,15,MT-CO1;COX6A2;COX5B;COX7A2;MT-CO3;COX7C;MT-CO2;COX7A2L;COX6C,KEGG,Aging,NA,NA,NA
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS,0.998989898989899,0.998989898989899,0.014588344905958728,0.13059216675837032,0.5064076566757703,50,SDHA;COA3;SDHB;COX11;NDUFB11;ATP5F1D;ATP5PO;ATP5F1A;COX8A;CYC1;SDHD;COX6B1,KEGG,Aging,NA,NA,NA
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,0.19714399047996828,0.25875148750495836,0.04343799861964927,-0.3789275206349162,-1.2286401127379674,24,DYNLT1;TUBA4A;OSBPL1A;DCTN3;TUBA8;DYNC1H1;DYNLRB1;DCTN6;TUBB4B,KEGG,Aging,NA,NA,NA
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,0.04259554140127388,0.06389331210191082,0.097676284397018,-0.38279988725017905,-1.4398830544435195,44,MT-ND4;MT-ND2;NDUFA11;MAPT;NDUFA1;NDUFA6;NDUFAB1;MT-ND5;MT-ND3;NDUFS4;NDUFA8;NDUFA2;MT-ND1;NDUFB6;NDUFA13;NDUFS2;NDUFA10;NDUFA12;NDUFB3;NDUFB1,KEGG,Aging,NA,NA,NA
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,0.505593719332679,0.589859339221459,0.024495207917550735,-0.3364460417404768,-0.9620474885026218,15,MT-CO1;COX6A2;COX5B;COX7A2;MT-CO3;COX7C;MT-CO2;COX7A2L;COX6C,KEGG,Aging,NA,NA,NA
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,0.06430288461538461,0.09002403846153845,0.07928429369006079,-0.3764127994210757,-1.3963200059498893,42,MT-ND4;MT-ND2;NDUFA11;NDUFA1;NDUFA6;NDUFAB1;MT-ND5;MT-ND3;NDUFS4;NDUFA8;NDUFA2;MT-ND1;NDUFB6;NDUFA13;NDUFS2;NDUFA10;NDUFA12;NDUFB3;NDUFB1,KEGG,Aging,NA,NA,NA
REACTOME_TRANSLATION,1.338067768632198e-27,4.308578214995678e-25,1.3651796021616889,-0.5819738391500118,-2.9155347522199384,230,RPS7;PSMD7;RPL24;RPS10;EEF1G;MT-ND4;PSMD14;EIF3C;RPS27A;RPL23A;RPS23;RPL22;NARS1;RPL38;MT-ND2;PSMC6;RPS3A;PSMC2;RPL27A;DDOST;PSMD3;RPL27;RPL34;RPL17;EIF3G;RPS19;RPS27;RPL23;MT-CO1;RPS24;RPL10;MRPL9;RPL35;PSMC4;PSMD13;ELOB;RPL31;IARS1;EIF2B1;RPS5;RPS25;NPLOC4;EIF2S3;EIF3M;EEF2;VCP;RPL36AL;RPL35A;RPL19;RPL37A;RPL30;RPS15;EEF1A2;RPS20;RPL28;MRPL22;EIF5;PSMC3;EIF3D;EIF4A1;RPS3;RPS14;RPS2;PSMC5;PSMA1;EIF4E;RPL32;RPS21;RPS17;PSMD6;RPLP1;PSMA3;RPL5;PSMD8;RPL6;RPL26;RPL36;TRMT112;RARS1;RPL7A;EIF3A;EEF1A1;MRPL1;MRPS21;SSR4;RPS13;CUL2;RPLP0;RPL29;PSMD2;YARS1;RPS12;RPS18;MRPL13;PSMB1;PSMA2;MT-ATP6;HBS1L;EIF3K;NDUFAB1;EIF3I;EIF3J;MT-ND5;PSMA6;LARS1;RPLP2;RPN1;SEC61A1;MT-ND3;RPL11;MRPL36;RPS26;RPL18A,Reactome,Aging,kept,NA,NA
REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL,2.6828487784108536e-24,4.319386533241475e-22,1.2790339772504933,-0.6852180158413632,-3.094671220251601,114,RPS7;PSMD7;RPL24;RPS10;PSMD14;RPS27A;RPL23A;RPS23;RPL22;RPL38;PSMC6;RPS3A;PSMC2;RPL27A;PSMD3;RPL27;RPL34;RPL17;RPS19;RPS27;RPL23;RPS24;RPL10;RPL35;PSMC4;PSMD13;ELOB;RPL31;RPS5;RPS25;NPLOC4;VCP;RPL36AL;RPL35A;RPL19;RPL37A;RPL30;RPS15;RPS20;RPL28;PSMC3;RPS3;RPS14;RPS2;PSMC5;PSMA1;RPL32;RPS21;RPS17;PSMD6;RPLP1;PSMA3;RPL5;PSMD8;RPL6;RPL26;RPL36;RPL7A;RPS13;CUL2;RPLP0;RPL29;PSMD2;RPS12;RPS18;PSMB1;PSMA2;HBS1L;PSMA6;RPLP2;RPL11;RPS26;RPL18A;PSMD12;RPS16;RPL14;RPL13A;RPL13;RPL3;ELOC;RPS8;RPL12;PELO;RPL10A;RPSA;RPL4;PSMA7;PSMD1;RPS4X,Reactome,Aging,kept,NA,NA
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,2.810932323717628e-23,3.0170673607902536e-21,1.2462327719164756,-0.6813931973255198,-3.061206670131875,111,RPS7;PSMD7;RPL24;RPS10;PSMD14;RPS27A;RPL23A;RPS23;RPL22;RPL38;PSMC6;RPS3A;PSMC2;RPL27A;PSMD3;RPL27;RPL34;RPL17;RPS19;RPS27;RPL23;RPS24;RPL10;RPL35;PSMC4;PSMD13;ELOB;RPL31;RPS5;RPS25;RPL36AL;RPL35A;RPL19;RPL37A;RPL30;RPS15;RPS20;RPL28;PSMC3;RPS3;RPS14;RPS2;PSMC5;PSMA1;RPL32;RPS21;RPS17;PSMD6;RPLP1;PSMA3;RPL5;PSMD8;RPL6;RPL26;RPL36;RPL7A;RPS13;CUL2;RPLP0;RPL29;PSMD2;RPS12;RPS18;PSMB1;PSMA2;PSMA6;RPLP2;RPL11;RPS26;RPL18A;PSMD12;RPS16;RPL14;RPL13A;RPL13;RPL3;ELOC;RPS8;RPL12;RPL10A;RPSA;RPL4;PSMA7;PSMD1;RPS4X;GSPT1,Reactome,Aging,redundant,REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL,0.7078651685393258
