gene,logFC_Aging,logFC_Training_Old,sig_aging,sig_to
ETFB,0.542,-0.0438,TRUE,FALSE
ALDH5A1,0.5376,-0.075,TRUE,FALSE
PDP1,0.5357,0.1384,TRUE,FALSE
SUOX,0.535,-0.1836,TRUE,FALSE
OTUB1,0.5187,-0.1219,TRUE,FALSE
ADH1B,0.5147,-0.6933,FALSE,TRUE
PCCB,0.5007,0.0236,TRUE,FALSE
RNF114,0.4878,-0.2053,TRUE,FALSE
PPIA,0.4834,0.0436,TRUE,FALSE
HADHA,0.4819,-0.0761,TRUE,FALSE
CTSD,0.4801,-0.1574,TRUE,FALSE
CTSB,0.4778,0.157,TRUE,FALSE
NCL,0.4773,0.0189,TRUE,FALSE
DDAH2,0.4741,0.0044,TRUE,FALSE
LONP1,0.4701,-0.0034,TRUE,FALSE
ETFA,0.4687,-0.1006,TRUE,FALSE
ECHS1,0.4649,0.0093,TRUE,FALSE
TST,0.4648,-0.1727,TRUE,FALSE
AKR7A2,0.4496,-0.0048,TRUE,FALSE
CRAT,0.4474,-0.0444,TRUE,FALSE
PHPT1,0.4452,-0.1651,TRUE,FALSE
ASS1,0.4353,-0.6464,FALSE,TRUE
ACAT1,0.4338,-0.1125,TRUE,FALSE
MPST,0.4328,-0.2657,TRUE,FALSE
CDC42,0.4284,-0.0849,TRUE,FALSE
ALDH4A1,0.4169,-0.0536,TRUE,FALSE
HMGB1,0.415,-0.119,TRUE,FALSE
HADHB,0.409,-0.1092,TRUE,FALSE
IDH2,0.3987,0.0163,TRUE,FALSE
YWHAZ,0.3888,-0.0364,TRUE,FALSE
DPYSL2,0.3847,0.0368,TRUE,FALSE
COQ7,0.3755,-0.1248,TRUE,FALSE
GPD1L,0.3427,-0.1444,TRUE,FALSE
SYNE2,0.2691,-0.4305,FALSE,TRUE
PCYT2,0.2219,-0.4805,FALSE,TRUE
TBC1D24,0.2214,-0.4748,FALSE,TRUE
ANXA3,0.207,-0.5737,FALSE,TRUE
FSCN1,0.1405,0.6479,FALSE,TRUE
HPRT1,-0.119,0.5566,FALSE,TRUE
GLIPR2,-0.1644,0.606,FALSE,TRUE
SYNGR2,-0.2723,-0.4791,FALSE,TRUE
SLC25A42,-0.2843,-0.7574,FALSE,TRUE
S100A13,-0.299,0.6609,FALSE,TRUE
MYLK,-0.3186,-0.7396,FALSE,TRUE
EEF1G,-0.3235,0.1647,TRUE,FALSE
PSMD14,-0.3411,0.0501,TRUE,FALSE
VAPB,-0.4007,-0.0973,TRUE,FALSE
RPS3A,-0.4249,0.2682,TRUE,FALSE
STBD1,-0.4303,-0.032,TRUE,FALSE
NARS1,-0.4402,0.0161,TRUE,FALSE
CAST,-0.4575,0.1906,TRUE,FALSE
RPL17,-0.4784,0.1417,TRUE,FALSE
PPP1R3A,-0.4903,0.1811,TRUE,FALSE
EIF3C,-0.491,0.1629,TRUE,FALSE
RPL38,-0.4958,0.1245,TRUE,FALSE
TYMP,-0.497,0.1314,TRUE,FALSE
ENO2,-0.505,0.1923,TRUE,FALSE
CAPN3,-0.5188,0.1164,TRUE,FALSE
CAMK2D,-0.5209,0.5425,TRUE,TRUE
SNTA1,-0.5416,0.0661,TRUE,FALSE
RPS24,-0.5583,0.0366,TRUE,FALSE
RPL22,-0.5665,0.3843,TRUE,FALSE
PDLIM5,-0.5684,-0.2512,TRUE,FALSE
BANF1,-0.5697,0.2038,TRUE,FALSE
TRIM54,-0.5737,0.0867,TRUE,FALSE
RPL35,-0.5785,0.2439,TRUE,FALSE
RPL23A,-0.5833,0.2541,TRUE,FALSE
LRMDA,-0.5985,0.0066,TRUE,FALSE
ARHGAP1,-0.5985,0.4722,TRUE,TRUE
MARCHF5,-0.6031,0.0944,TRUE,FALSE
FLNA,-0.6032,0.2678,TRUE,FALSE
SCRN3,-0.6089,-0.1695,TRUE,FALSE
SPAG9,-0.6153,0.1572,TRUE,FALSE
FSD2,-0.6175,0.1304,TRUE,FALSE
SCO1,-0.6188,0.2707,TRUE,FALSE
PSMD7,-0.624,0.1786,TRUE,FALSE
CELF1,-0.6316,0.0684,TRUE,FALSE
SLC25A11,-0.6385,0.0446,TRUE,FALSE
CLIC4,-0.6385,0.2517,TRUE,FALSE
RPS23,-0.6424,0.0817,TRUE,FALSE
CAPZA1,-0.643,0.107,TRUE,FALSE
CD151,-0.6436,-0.0861,TRUE,FALSE
MGST2,-0.6501,0.0953,TRUE,FALSE
DCTN3,-0.6531,0.287,TRUE,FALSE
RPL24,-0.6642,0.3757,TRUE,FALSE
EMC3,-0.6774,-0.0313,TRUE,FALSE
RBM3,-0.6796,0.0327,TRUE,FALSE
SQSTM1,-0.6885,0.1172,TRUE,FALSE
RPL35A,-0.6968,-0.0161,TRUE,FALSE
MYOM2,-0.6994,-0.1794,TRUE,FALSE
RPL27A,-0.6995,-0.0122,TRUE,FALSE
GCLM,-0.7114,0.135,TRUE,FALSE
EMC2,-0.7122,0.1443,TRUE,FALSE
ABHD6,-0.7128,-0.0363,TRUE,FALSE
MYOM1,-0.7139,-0.0976,TRUE,FALSE
XIRP1,-0.7447,0.4334,TRUE,FALSE
MT-CO1,-0.7515,0.2852,TRUE,FALSE
TMX2,-0.7639,-0.093,TRUE,FALSE
RPS10,-0.7656,0.2612,TRUE,FALSE
UCHL1,-0.7727,0.1235,TRUE,FALSE
SYNPO2,-0.7764,0.0379,TRUE,FALSE
DHRS7B,-0.7769,-0.1263,TRUE,FALSE
VIM,-0.7813,0.1835,TRUE,FALSE
NDUFA11,-0.7821,-0.222,TRUE,FALSE
FLNC,-0.7829,0.2129,TRUE,FALSE
MT-ND2,-0.8019,0.143,TRUE,FALSE
SPEG,-0.8077,-0.0998,TRUE,FALSE
FLNB,-0.8177,0.259,TRUE,FALSE
MT-ND4,-0.8255,-0.2174,TRUE,FALSE
PREX1,-0.8498,0.4448,TRUE,FALSE
PYURF,-0.8566,0.1387,TRUE,FALSE
CARM1,-0.8587,0.4086,TRUE,FALSE
MRPL9,-0.8966,0.3128,TRUE,FALSE
MYOF,-0.9018,0.0609,TRUE,FALSE
CAPRIN1,-0.9027,0.2791,TRUE,FALSE
RPS27A,-0.9151,-0.2076,TRUE,FALSE
NRAP,-0.9169,0.3334,TRUE,FALSE
MYL1,-0.917,0.4079,TRUE,FALSE
HMOX1,-0.947,-0.1813,TRUE,FALSE
PLEC,-0.9711,-0.159,TRUE,FALSE
COL3A1,-0.974,0.3484,TRUE,FALSE
MYBPC2,-0.9775,0.111,TRUE,FALSE
MYH1,-0.979,-0.1137,TRUE,FALSE
CCDC137,-0.9948,-0.2155,TRUE,FALSE
BZW1,-1.0162,0.038,TRUE,FALSE
TMOD4,-1.0191,0.244,TRUE,FALSE
FLT1,-1.0223,0.0429,TRUE,FALSE
RPL34,-1.0231,-0.1679,TRUE,FALSE
MYH2,-1.041,0.4831,TRUE,FALSE
KLHL40,-1.0533,0.3359,TRUE,FALSE
OBSCN,-1.0584,0.045,TRUE,FALSE
SYNM,-1.064,-0.1655,TRUE,FALSE
TPM2,-1.0869,0.2607,TRUE,FALSE
RPL27,-1.0914,0.0235,TRUE,FALSE
PTRH2,-1.1125,0.6264,TRUE,FALSE
TNNT3,-1.1285,0.2925,TRUE,FALSE
DDI2,-1.186,0.1422,TRUE,FALSE
CRYBG3,-1.193,-0.2362,TRUE,FALSE
RPS7,-1.2077,0.2797,TRUE,FALSE
TNNI2,-1.211,0.2681,TRUE,FALSE
TPM1,-1.3008,0.3024,TRUE,FALSE
MICOS10,-1.3237,0.1615,TRUE,FALSE
PVALB,-1.3321,-0.6518,TRUE,FALSE
TMX3,-1.3517,0.154,TRUE,FALSE
MUSTN1,-1.3525,0.7718,TRUE,TRUE
MYOM3,-1.353,-0.0326,TRUE,FALSE
MYH3,-1.4228,-0.4081,TRUE,FALSE
FNDC3A,-1.4999,-0.0133,TRUE,FALSE
NEB,-1.5125,-0.0425,TRUE,FALSE
DES,-1.5373000000000001,0.2096,TRUE,FALSE
HAT1,-1.6467,0.7991,TRUE,FALSE
THRB,-1.6875,0.2695,TRUE,FALSE
LRBA,-1.7263,-0.2012,TRUE,FALSE
TTN,-1.7351,0.0189,TRUE,FALSE
ACTN4,-1.7925,0.3669,TRUE,FALSE
MYOZ1,-1.7931,0.0798,TRUE,FALSE
SYNPO2L,-1.8742,0.0884,TRUE,FALSE
ACTN2,-1.9923,0.4934,TRUE,FALSE
ACTN1,-2.0749,0.3835,TRUE,FALSE
ACTN3,-2.1256,-0.0169,TRUE,FALSE
MYBPH,-2.2746,1.7207,TRUE,TRUE
LMOD2,-2.3498,0.1569,TRUE,FALSE
