pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,dedup_status,merged_into,overlap_jaccard,module,Description
GOBP_FATTY_ACID_BETA_OXIDATION,3.958653461038773e-16,7.822299239012615e-14,5.0327205882352946,26,32,,GO:BP,24.28874734607219,redundant,GOBP_FATTY_ACID_CATABOLIC_PROCESS,0.7019230769230769,turquoise,Fatty Acid Beta Oxidation
GOBP_FATTY_ACID_METABOLIC_PROCESS,1.0614744188227066e-15,1.7478945429947234e-13,2.982352941176471,52,108,,GO:BP,5.513392857142857,kept,NA,NA,turquoise,Fatty Acid Metabolic Process
GOBP_LIPID_OXIDATION,3.621069949956105e-14,5.110881586509473e-12,4.401083591331269,27,38,,GO:BP,13.76270694162068,redundant,GOBP_LIPID_MODIFICATION,0.6408839779005525,turquoise,Lipid Oxidation
GOBP_AMINO_ACID_CATABOLIC_PROCESS,1.5823885022075548e-12,1.7371109335345158e-10,3.9819327731092433,27,42,,GO:BP,10.06964856230032,kept,NA,NA,turquoise,Amino Acid Catabolic Process
GOBP_LIPID_MODIFICATION,1.5823885022075548e-12,1.7371109335345158e-10,3.9819327731092433,27,42,,GO:BP,10.06964856230032,kept,NA,NA,turquoise,Lipid Modification
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,9.1060928254271e-12,8.996819711521975e-10,3.3595214356929213,32,59,,GO:BP,6.691678691678692,kept,NA,NA,turquoise,Alpha Amino Acid Metabolic Process
GOBP_LIPID_CATABOLIC_PROCESS,1.5151219777986343e-11,1.3608550127864097e-9,3.2445378151260504,33,63,,GO:BP,6.220195439739413,kept,NA,NA,turquoise,Lipid Catabolic Process
GOBP_L_AMINO_ACID_CATABOLIC_PROCESS,4.0311437538074226e-11,3.318975023968111e-9,4.070420168067226,23,35,,GO:BP,10.60515247108307,redundant,GOBP_AMINO_ACID_CATABOLIC_PROCESS,0.8108108108108109,turquoise,L Amino Acid Catabolic Process
GOBP_L_AMINO_ACID_METABOLIC_PROCESS,2.505724234858697e-10,1.9043504184926098e-8,3.335294117647059,28,52,,GO:BP,6.513888888888889,redundant,GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,0.8388625592417062,turquoise,L Amino Acid Metabolic Process
GOBP_AMINO_ACID_METABOLIC_PROCESS,4.320008412264607e-10,3.048691650941023e-8,2.5914165666266507,41,98,,GO:BP,4.111306694830723,redundant,GOSLIM_AMINO_ACID_METABOLIC_PROCESS,0.8956228956228957,turquoise,Amino Acid Metabolic Process
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,1.9458851892999062e-9,1.281689711352205e-7,3.5616176470588234,23,40,,GO:BP,7.464650213397662,kept,NA,NA,turquoise,Dicarboxylic Acid Metabolic Process
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,2.093355877573235e-9,1.2926472544014727e-7,4.890092879256967,15,19,,GO:BP,20.33076923076923,kept,NA,NA,turquoise,Branched Chain Amino Acid Metabolic Process
GOBP_ACYL_COA_METABOLIC_PROCESS,3.7845140618094155e-9,2.1994705253339426e-7,3.4747489239598277,23,41,,GO:BP,7.045916579039607,kept,NA,NA,turquoise,Acyl Coa Metabolic Process
GOBP_TRICARBOXYLIC_ACID_CYCLE,1.844675932076734e-8,1.012522122717674e-6,4.050000000000001,17,26,,GO:BP,10.274853801169591,kept,NA,NA,turquoise,Tricarboxylic Acid Cycle
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,4.483933160213372e-8,2.331645243310953e-6,2.4635695187165774,35,88,,GO:BP,3.7089390658830808,kept,NA,NA,turquoise,Sulfur Compound Metabolic Process
GOBP_ALCOHOL_METABOLIC_PROCESS,8.969655558574258e-6,4.4310098459356833e-4,2.2909750201450443,27,73,,GO:BP,3.2254479788859562,kept,NA,NA,turquoise,Alcohol Metabolic Process
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,2.342562316648312e-5,0.0011021197946897775,2.6152941176470588,19,45,,GO:BP,3.96117900790798,kept,NA,NA,turquoise,Amide Biosynthetic Process
GOBP_ACYL_COA_BIOSYNTHETIC_PROCESS,2.907831192175486e-5,0.0013058805535769908,3.097058823529412,14,28,,GO:BP,5.374233128834356,redundant,GOBP_ACYL_COA_METABOLIC_PROCESS,0.5321100917431193,turquoise,Acyl Coa Biosynthetic Process
GOBP_KETONE_METABOLIC_PROCESS,3.89380046851652e-5,0.0016029478595393006,2.408823529411765,21,54,,GO:BP,3.457110287831291,kept,NA,NA,turquoise,Ketone Metabolic Process
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,3.89380046851652e-5,0.0016029478595393006,2.408823529411765,21,54,,GO:BP,3.457110287831291,kept,NA,NA,turquoise,Modified Amino Acid Metabolic Process
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,1.3639584305358374e-4,0.005183042036036182,3.716470588235294,9,15,,GO:BP,7.97583081570997,kept,NA,NA,turquoise,Glutamine Family Amino Acid Metabolic Process
GOBP_KETONE_BIOSYNTHETIC_PROCESS,1.3639584305358374e-4,0.005183042036036182,3.716470588235294,9,15,,GO:BP,7.97583081570997,kept,NA,NA,turquoise,Ketone Biosynthetic Process
GOBP_MITOCHONDRION_ORGANIZATION,7.798878200579977e-4,0.028538117267307473,1.6345588235294117,38,144,,GO:BP,1.9705110583531176,kept,NA,NA,turquoise,Mitochondrion Organization
GOBP_REGULATION_OF_KETONE_METABOLIC_PROCESS,8.677060676279192e-4,0.030617628386299434,2.7254117647058824,11,25,,GO:BP,4.184107685627443,redundant,GOBP_KETONE_METABOLIC_PROCESS,0.6348547717842323,turquoise,Regulation Of Ketone Metabolic Process
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS,0.001070955465557364,0.03648634482657503,2.2023529411764704,16,45,,GO:BP,2.9578544061302683,kept,NA,NA,turquoise,Sulfur Compound Biosynthetic Process
GOBP_ACETYL_COA_METABOLIC_PROCESS,0.0013734598025812322,0.04487811058098342,2.93405572755418,9,19,,GO:BP,4.774622356495469,kept,NA,NA,turquoise,Acetyl Coa Metabolic Process
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,0.0014081188542616255,0.04487811058098342,2.4776470588235293,12,30,,GO:BP,3.5528455284552845,kept,NA,NA,turquoise,Apoptotic Mitochondrial Changes
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,0.002147631334105462,0.06630811744050615,2.787352941176471,9,20,,GO:BP,4.338093930238945,NA,NA,NA,turquoise,Fatty Acid Derivative Metabolic Process
GOBP_TEMPERATURE_HOMEOSTASIS,0.0026415893671372704,0.07908758468883706,2.433403361344538,11,28,,GO:BP,3.4398355086715537,NA,NA,NA,turquoise,Temperature Homeostasis
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,0.002972826975663915,0.08638685446929259,2.0225690276110444,16,49,,GO:BP,2.593340815563038,NA,NA,NA,turquoise,Mitochondrial Membrane Organization
GOBP_FATTY_ACID_TRANSPORT,0.003233178663783495,0.08873279221716925,2.6546218487394957,9,21,,GO:BP,3.974320241691843,NA,NA,NA,turquoise,Fatty Acid Transport
GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS,0.003233178663783495,0.08873279221716925,2.6546218487394957,9,21,,GO:BP,3.974320241691843,NA,NA,NA,turquoise,Regulation Of Fatty Acid Metabolic Process
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,0.0036536597858002075,0.09729007628406093,2.3494929006085195,11,29,,GO:BP,3.2468760553866938,NA,NA,NA,turquoise,Inner Mitochondrial Membrane Organization
GOBP_STEROID_METABOLIC_PROCESS,0.0037419260109254203,0.09729007628406093,1.9821176470588233,16,50,,GO:BP,2.515613652868555,NA,NA,NA,turquoise,Steroid Metabolic Process
GOBP_NADPPLUS_METABOLIC_PROCESS,0.004190938535809163,0.10617044290716544,2.752941176470588,8,18,,GO:BP,4.231325301204819,NA,NA,NA,turquoise,Nadpplus Metabolic Process
GOBP_ORGANIC_ACID_TRANSPORT,0.004618468666772213,0.11407617606927364,2.119040247678019,13,38,,GO:BP,2.7685626911314984,NA,NA,NA,turquoise,Organic Acid Transport
GOBP_FAT_CELL_DIFFERENTIATION,0.004934830329748921,0.11608600870933178,2.3823529411764706,10,26,,GO:BP,3.3143939393939394,NA,NA,NA,turquoise,Fat Cell Differentiation
GOBP_MONOCARBOXYLIC_ACID_TRANSPORT,0.004934830329748921,0.11608600870933178,2.3823529411764706,10,26,,GO:BP,3.3143939393939394,NA,NA,NA,turquoise,Monocarboxylic Acid Transport
GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,0.005337043729674792,0.1198408910208794,2.8905882352941177,7,15,,GO:BP,4.61936936936937,NA,NA,NA,turquoise,Cytochrome Complex Assembly
GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS,0.005337043729674792,0.1198408910208794,2.8905882352941177,7,15,,GO:BP,4.61936936936937,NA,NA,NA,turquoise,Positive Regulation Of Cold Induced Thermogenesis
GOBP_ADAPTIVE_THERMOGENESIS,0.006738502996971556,0.1479475769112866,2.2941176470588234,10,27,,GO:BP,3.1176470588235294,NA,NA,NA,turquoise,Adaptive Thermogenesis
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,0.007861450299166184,0.16885028033861282,1.370380010411244,50,226,,GO:BP,1.557601880877743,NA,NA,NA,turquoise,Generation Of Precursor Metabolites And Energy
GOBP_NADPLUS_METABOLIC_PROCESS,0.008196490249296253,0.1723006886447808,2.7099264705882353,7,16,,GO:BP,4.103770437103771,NA,NA,NA,turquoise,Nadplus Metabolic Process
GOBP_ISOPRENOID_METABOLIC_PROCESS,0.009173164974682563,0.18496095908135451,2.322794117647059,9,24,,GO:BP,3.1740181268882175,NA,NA,NA,turquoise,Isoprenoid Metabolic Process
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS,0.009173164974682563,0.18496095908135451,2.322794117647059,9,24,,GO:BP,3.1740181268882175,NA,NA,NA,turquoise,Primary Alcohol Metabolic Process
GOBP_MITOCHONDRIAL_TRANSLATION,0.009480848277113948,0.18734156195577162,1.9639885222381637,13,41,,GO:BP,2.4676714722586284,NA,NA,NA,turquoise,Mitochondrial Translation
GOBP_LIPID_LOCALIZATION,0.010278511687979497,0.19912097152399494,1.7056265984654733,19,69,,GO:BP,2.0314018691588784,NA,NA,NA,turquoise,Lipid Localization
GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT,0.012042651041621558,0.2288103697908096,2.550519031141868,7,17,,GO:BP,3.691291291291291,NA,NA,NA,turquoise,Long Chain Fatty Acid Transport
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,0.013013856203156302,0.2425979231833665,1.8450563204005006,14,47,,GO:BP,2.255251905558654,NA,NA,NA,turquoise,Mitochondrial Gene Expression
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,0.013689157414881626,0.2504608801093157,1.6893048128342245,18,66,,GO:BP,2.000776397515528,NA,NA,NA,turquoise,Organic Acid Biosynthetic Process
GOBP_ALDEHYDE_METABOLIC_PROCESS,0.015277288765632847,0.27443566000809555,2.064705882352941,10,30,,GO:BP,2.6454545454545455,NA,NA,NA,turquoise,Aldehyde Metabolic Process
GOBP_ORGANIC_ANION_TRANSPORT,0.015757596141609986,0.2780090176412619,1.8066176470588233,14,48,,GO:BP,2.1876578852399855,NA,NA,NA,turquoise,Organic Anion Transport
GOBP_HORMONE_METABOLIC_PROCESS,0.02195307711524932,0.3639320484901731,1.8926470588235293,11,36,,GO:BP,2.3283890577507598,NA,NA,NA,turquoise,Hormone Metabolic Process
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,0.022436616465330267,0.3639320484901731,2.1544757033248083,8,23,,GO:BP,2.81285140562249,NA,NA,NA,turquoise,Long Chain Fatty Acid Metabolic Process
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,0.023238548737245054,0.3639320484901731,2.4776470588235293,6,15,,GO:BP,3.506986027944112,NA,NA,NA,turquoise,Acetyl Coa Biosynthetic Process
GOBP_AMINE_METABOLIC_PROCESS,0.023238548737245054,0.3639320484901731,2.4776470588235293,6,15,,GO:BP,3.506986027944112,NA,NA,NA,turquoise,Amine Metabolic Process
GOBP_NON_PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS,0.023238548737245054,0.3639320484901731,2.4776470588235293,6,15,,GO:BP,3.506986027944112,NA,NA,NA,turquoise,Non Proteinogenic Amino Acid Metabolic Process
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.023338717838286956,0.3639320484901731,2.282043343653251,7,19,,GO:BP,3.0725725725725725,NA,NA,NA,turquoise,Amino Acid Biosynthetic Process
GOBP_XENOBIOTIC_METABOLIC_PROCESS,0.023338717838286956,0.3639320484901731,2.282043343653251,7,19,,GO:BP,3.0725725725725725,NA,NA,NA,turquoise,Xenobiotic Metabolic Process
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,0.023961042304505815,0.3639320484901731,1.8129124820659972,12,41,,GO:BP,2.1913372582001682,NA,NA,NA,turquoise,Mitochondrial Respiratory Chain Complex Assembly
GOBP_REGULATION_OF_PROTEIN_SECRETION,0.023961042304505815,0.3639320484901731,1.8129124820659972,12,41,,GO:BP,2.1913372582001682,NA,NA,NA,turquoise,Regulation Of Protein Secretion
GOBP_RESPONSE_TO_NUTRIENT,0.024311250202784844,0.3639320484901731,1.9356617647058822,10,32,,GO:BP,2.402203856749311,NA,NA,NA,turquoise,Response To Nutrient
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION,0.030043222644034938,0.4430254324224854,1.8770053475935828,10,33,,GO:BP,2.2964426877470356,NA,NA,NA,turquoise,Regulation Of Mitochondrion Organization
GOBP_POLYOL_METABOLIC_PROCESS,0.031076651788184813,0.4449816227061825,2.1679411764705883,7,20,,GO:BP,2.8346038346038345,NA,NA,NA,turquoise,Polyol Metabolic Process
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,0.031076651788184813,0.4449816227061825,2.1679411764705883,7,20,,GO:BP,2.8346038346038345,NA,NA,NA,turquoise,Regulation Of Myeloid Cell Differentiation
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.03226378383001432,0.4553802632007735,2.322794117647059,6,16,,GO:BP,3.1544910179640717,NA,NA,NA,turquoise,Alpha Amino Acid Biosynthetic Process
GOBP_STEROID_BIOSYNTHETIC_PROCESS,0.03342932187348452,0.4651854931127141,1.9223123732251521,9,29,,GO:BP,2.373716012084592,NA,NA,NA,turquoise,Steroid Biosynthetic Process
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,0.03707679823464,0.5087760646642266,1.6019269776876268,15,58,,GO:BP,1.8493738819320216,NA,NA,NA,turquoise,Response To Xenobiotic Stimulus
GOBP_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,0.04120876463399237,0.5577295816217049,1.858235294117647,9,30,,GO:BP,2.259387138541217,NA,NA,NA,turquoise,Cellular Response To Reactive Oxygen Species
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.042054432460269874,0.5604635650027732,1.506677265500795,18,74,,GO:BP,1.7069653948535937,NA,NA,NA,turquoise,Pyridine Containing Compound Metabolic Process
GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT,0.043293492623683136,0.5604635650027732,2.186159169550173,6,17,,GO:BP,2.8660860097985847,NA,NA,NA,turquoise,Hepaticobiliary System Development
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.043293492623683136,0.5604635650027732,2.186159169550173,6,17,,GO:BP,2.8660860097985847,NA,NA,NA,turquoise,Modified Amino Acid Biosynthetic Process
GOBP_AUTOPHAGY_OF_MITOCHONDRION,0.044247123552850515,0.5604635650027732,1.7697478991596636,10,35,,GO:BP,2.1103030303030303,NA,NA,NA,turquoise,Autophagy Of Mitochondrion
GOBP_MYELOID_CELL_HOMEOSTASIS,0.044247123552850515,0.5604635650027732,1.7697478991596636,10,35,,GO:BP,2.1103030303030303,NA,NA,NA,turquoise,Myeloid Cell Homeostasis
GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS,0.04612393082704233,0.5696305457139728,1.9058823529411766,8,26,,GO:BP,2.3400267737617133,NA,NA,NA,turquoise,Cellular Response To Xenobiotic Stimulus
GOBP_STEROL_METABOLIC_PROCESS,0.04612393082704233,0.5696305457139728,1.9058823529411766,8,26,,GO:BP,2.3400267737617133,NA,NA,NA,turquoise,Sterol Metabolic Process
GOBP_ERYTHROCYTE_HOMEOSTASIS,0.050125690288936,0.5895735953031996,1.7982922201138518,9,31,,GO:BP,2.1554517989563307,NA,NA,NA,turquoise,Erythrocyte Homeostasis
GOBP_MITOCHONDRIAL_TRANSPORT,0.050125690288936,0.5895735953031996,1.7982922201138518,9,31,,GO:BP,2.1554517989563307,NA,NA,NA,turquoise,Mitochondrial Transport
GOBP_MITOPHAGY,0.050125690288936,0.5895735953031996,1.7982922201138518,9,31,,GO:BP,2.1554517989563307,NA,NA,NA,turquoise,Mitophagy
GOBP_REGULATION_OF_INSULIN_SECRETION,0.050125690288936,0.5895735953031996,1.7982922201138518,9,31,,GO:BP,2.1554517989563307,NA,NA,NA,turquoise,Regulation Of Insulin Secretion
GOBP_CARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORT,0.051294451122616165,0.5962225612840562,1.970855614973262,7,22,,GO:BP,2.453853853853854,NA,NA,NA,turquoise,Carboxylic Acid Transmembrane Transport
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS,0.0528217567980817,0.6068359967035434,1.7205882352941175,10,36,,GO:BP,2.027972027972028,NA,NA,NA,turquoise,Fatty Acid Biosynthetic Process
GOBP_CELLULAR_RESPIRATION,0.056293049498361294,0.6334499268037314,1.2803483404534999,37,179,,GO:BP,1.3965509226979036,NA,NA,NA,turquoise,Cellular Respiration
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,0.05642064125377365,0.6334499268037314,2.064705882352941,6,18,,GO:BP,2.625748502994012,NA,NA,NA,turquoise,Positive Regulation Of Leukocyte Mediated Immunity
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,0.060226992931343044,0.6685872923164823,1.742095588235294,9,32,,GO:BP,2.060554314987521,NA,NA,NA,turquoise,Protein Localization To Mitochondrion
GOBP_RESPONSE_TO_INSULIN,0.06298045880568585,0.6842672224015796,1.4985768500948766,15,62,,GO:BP,1.6880523731587562,NA,NA,NA,turquoise,Response To Insulin
GOBP_MYELOID_CELL_DIFFERENTIATION,0.06371719074994465,0.6842672224015796,1.5213622291021671,14,57,,GO:BP,1.7207875588529034,NA,NA,NA,turquoise,Myeloid Cell Differentiation
GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,0.06371719074994465,0.6842672224015796,1.5213622291021671,14,57,,GO:BP,1.7207875588529034,NA,NA,NA,turquoise,Reactive Oxygen Species Metabolic Process
GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,0.06867194286279396,0.7295470919187143,1.7697478991596638,8,28,,GO:BP,2.103614457831325,NA,NA,NA,turquoise,Regulation Of Epithelial Cell Proliferation
GOBP_REGULATION_OF_HORMONE_SECRETION,0.07310569797166414,0.7683875488936613,1.6300309597523222,10,38,,GO:BP,1.880952380952381,NA,NA,NA,turquoise,Regulation Of Hormone Secretion
GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT,0.07827033502174766,0.8104877747680005,1.8066176470588233,7,24,,GO:BP,2.1626921038685745,NA,NA,NA,turquoise,Respiratory System Development
GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION,0.07957218031629155,0.8104877747680005,2.064705882352941,5,15,,GO:BP,2.62089552238806,NA,NA,NA,turquoise,Positive Regulation Of Lipid Localization
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.07957218031629155,0.8104877747680005,2.064705882352941,5,15,,GO:BP,2.62089552238806,NA,NA,NA,turquoise,Pyrimidine Containing Compound Metabolic Process
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT,0.08410121951510521,0.8393131806153934,1.6396193771626295,9,34,,GO:BP,1.893534743202417,NA,NA,NA,turquoise,Regulation Of Peptide Transport
GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,0.08410121951510521,0.8393131806153934,1.6396193771626295,9,34,,GO:BP,1.893534743202417,NA,NA,NA,turquoise,Regulation Of Reactive Oxygen Species Metabolic Process
GOBP_REGULATION_OF_AMIDE_METABOLIC_PROCESS,0.08909460822176453,0.8802547292310337,1.8582352941176472,6,20,,GO:BP,2.248075278015398,NA,NA,NA,turquoise,Regulation Of Amide Metabolic Process
GOBP_REGULATION_OF_LIPID_METABOLIC_PROCESS,0.09339326809676352,0.9124077265614089,1.4640641711229947,13,55,,GO:BP,1.6318625309450998,NA,NA,NA,turquoise,Regulation Of Lipid Metabolic Process
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,0.0943440888371553,0.9124077265614089,1.7343529411764704,7,25,,GO:BP,2.0413747080413747,NA,NA,NA,turquoise,Regulation Of Leukocyte Mediated Immunity
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,0.09673931273956551,0.9124077265614089,1.5141176470588236,11,45,,GO:BP,1.7032004291078133,NA,NA,NA,turquoise,Monocarboxylic Acid Biosynthetic Process
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.09673931273956551,0.9124077265614089,1.5141176470588236,11,45,,GO:BP,1.7032004291078133,NA,NA,NA,turquoise,Regulation Of Immune Effector Process
GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.09696640818719426,0.9124077265614089,1.6517647058823528,8,30,,GO:BP,1.9101861993428257,NA,NA,NA,turquoise,Positive Regulation Of Immune Effector Process
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING,0.10107599690096301,0.9230341440565882,1.9356617647058822,5,16,,GO:BP,2.3812754409769337,NA,NA,NA,turquoise,Mitotic Cell Cycle Checkpoint Signaling
GOBP_PEPTIDYL_LYSINE_MODIFICATION,0.10107599690096301,0.9230341440565882,1.9356617647058822,5,16,,GO:BP,2.3812754409769337,NA,NA,NA,turquoise,Peptidyl Lysine Modification
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,0.10107599690096301,0.9230341440565882,1.9356617647058822,5,16,,GO:BP,2.3812754409769337,NA,NA,NA,turquoise,Regulation Of T Cell Mediated Immunity
GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION,0.10471758238544175,0.9230341440565882,1.4379201680672271,13,56,,GO:BP,1.5929876964654008,NA,NA,NA,turquoise,Protein Complex Oligomerization
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON,0.10858597153367842,0.9230341440565882,1.7697478991596638,6,21,,GO:BP,2.097005988023952,NA,NA,NA,turquoise,Cellular Response To Type Ii Interferon
GOBP_INTRACELLULAR_IRON_ION_HOMEOSTASIS,0.10858597153367842,0.9230341440565882,1.7697478991596638,6,21,,GO:BP,2.097005988023952,NA,NA,NA,turquoise,Intracellular Iron Ion Homeostasis
GOBP_NEURAL_NUCLEUS_DEVELOPMENT,0.10858597153367842,0.9230341440565882,1.7697478991596638,6,21,,GO:BP,2.097005988023952,NA,NA,NA,turquoise,Neural Nucleus Development
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,0.10858597153367842,0.9230341440565882,1.7697478991596638,6,21,,GO:BP,2.097005988023952,NA,NA,NA,turquoise,Regulation Of Adaptive Immune Response
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,0.10858597153367842,0.9230341440565882,1.7697478991596638,6,21,,GO:BP,2.097005988023952,NA,NA,NA,turquoise,Regulation Of Lymphocyte Mediated Immunity
GOBP_STEROL_TRANSPORT,0.10858597153367842,0.9230341440565882,1.7697478991596638,6,21,,GO:BP,2.097005988023952,NA,NA,NA,turquoise,Sterol Transport
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT,0.10858597153367842,0.9230341440565882,1.7697478991596638,6,21,,GO:BP,2.097005988023952,NA,NA,NA,turquoise,Substantia Nigra Development
GOBP_LIPID_HOMEOSTASIS,0.11210941020930222,0.9230341440565882,1.6676470588235295,7,26,,GO:BP,1.9328275644065118,NA,NA,NA,turquoise,Lipid Homeostasis
