source,module,outcome,stratum,n,r,p_raw,p_bh
baseline,MEyellow,delta_T2,Old,10,-0.4276512194704932,0.21764390181999188,0.8593335487993433
baseline,MEblack,delta_T1,Young,11,-0.40297050121756844,0.21913005494383256,0.8593335487993433
baseline,MEpurple,delta_LBM,Old,15,0.33331662825697034,0.22473438726664016,0.8643630279486161
delta_ME,MEturquoise,delta_DL,Old,9,-0.43707703032842543,0.2394407166251691,0.8797995893932752
baseline,MEmagenta,delta_DL,Young,15,-0.32166273974656895,0.242356460300331,0.8797995893932752
baseline,MEgreen,delta_VL,Young,15,0.3179454686162474,0.24815183560060805,0.8797995893932752
baseline,MEbrown,delta_LBM,Young,15,0.31565465035659945,0.25176535887210993,0.8797995893932752
delta_ME,MEred,delta_VL,Old,15,-0.3149886686854779,0.2528218904015606,0.8797995893932752
baseline,MEgreen,delta_LBM,Young,15,-0.3135322219506506,0.2551418809240498,0.8797995893932752
delta_ME,MEmagenta,delta_LBM,Old,15,-0.30712614380063236,0.2655000360096161,0.8847984372998993
baseline,MEmagenta,delta_T1,Young,11,0.36359178302487855,0.27170072544465007,0.8847984372998993
baseline,MEred,delta_DL,Young,15,-0.29997193950895445,0.2773639229237711,0.8847984372998993
delta_ME,MEpink,delta_VL,Old,15,0.2993342251781907,0.27843659731199066,0.8847984372998993
baseline,MEbrown,delta_T1,Old,10,-0.3669176739443902,0.29697608117706625,0.8847984372998993
baseline,MEgreen,delta_DL,Old,9,0.38742692530982686,0.3029160627084494,0.8847984372998993
baseline,MEyellow,delta_T1,Young,11,0.34199758433272115,0.3032724644763727,0.8847984372998993
baseline,MEmagenta,delta_DL,Old,9,-0.3848523090029687,0.30641901109188435,0.8847984372998993
baseline,MEpurple,delta_VL,Young,15,-0.28288439718116526,0.3069600581747325,0.8847984372998993
delta_ME,MEbrown,delta_DL,Old,9,0.38283638729920433,0.30917608086130305,0.8847984372998993
delta_ME,MEpink,delta_DL,Old,9,-0.38254285187650694,0.30957857663121663,0.8847984372998993
delta_ME,MEblue,delta_LBM,Young,15,0.27882896057970297,0.3142436036912258,0.8847984372998993
delta_ME,MEyellow,delta_DL,Young,15,0.2765172568835815,0.3184396902468653,0.8847984372998993
baseline,MEblue,delta_VL,Old,15,0.2764691032715248,0.31852743742796374,0.8847984372998993
delta_ME,MEblue,delta_VL,Young,15,0.27232369571648285,0.32613343447892096,0.8935162588463588
delta_ME,MEturquoise,delta_VL,Old,15,0.26367658138594474,0.34232918515136457,0.907854759460495
baseline,MEred,delta_T2,Old,10,-0.3359617121988699,0.34256735016146944,0.907854759460495
baseline,MEmagenta,delta_LBM,Young,15,-0.2582210063703078,0.35277524112655967,0.907854759460495
baseline,MEyellow,delta_DL,Young,15,-0.25727296696348373,0.35460837137009105,0.907854759460495
baseline,MEred,delta_DL,Old,9,-0.3484303522325677,0.35812966167979304,0.907854759460495
baseline,MEmagenta,delta_VL,Old,15,0.2509971990579499,0.36687588453591147,0.907854759460495
delta_ME,MEmagenta,delta_VL,Old,15,-0.25015665474648885,0.3685363687358867,0.907854759460495
delta_ME,MEgreen,delta_DL,Old,9,-0.33445952476798535,0.3790059128121223,0.907854759460495
baseline,MEgreen,delta_DL,Young,15,0.24415266181123943,0.3805161406311668,0.907854759460495
delta_ME,MEblue,delta_T2,Young,11,0.2864411540968527,0.3931282458033698,0.907854759460495
baseline,MEyellow,delta_DL,Old,9,-0.3164997930625511,0.40665808187291647,0.907854759460495
delta_ME,MEpurple,delta_T1,Young,11,-0.2771657946729499,0.40929313265345535,0.907854759460495
baseline,MEblue,delta_T1,Old,10,-0.29206081057540856,0.41288092475058646,0.907854759460495
delta_ME,MEred,delta_DL,Young,15,0.22651212169744792,0.4169042825926693,0.907854759460495
baseline,MEpurple,delta_T1,Old,10,-0.2875775310759031,0.42041856984007475,0.907854759460495
baseline,MEpurple,delta_T2,Young,11,-0.2690197948700134,0.42375244499627396,0.907854759460495
baseline,MEblack,delta_LBM,Young,15,0.22276616996484297,0.4248557043368334,0.907854759460495
baseline,MEblue,delta_T2,Old,10,-0.2835799344750349,0.4271935023260567,0.907854759460495
baseline,MEred,delta_LBM,Young,15,0.22109529998934788,0.42842733968334923,0.907854759460495
baseline,MEblue,delta_T1,Young,11,-0.2658626130166259,0.42942158121221574,0.907854759460495
baseline,MEturquoise,delta_T1,Old,10,0.2785774540755479,0.4357422600312103,0.907854759460495
delta_ME,MEpurple,delta_T1,Old,10,0.2733490315601006,0.4447603158547444,0.907854759460495
delta_ME,MEblack,delta_LBM,Young,15,-0.2123036262577639,0.44747077307308436,0.907854759460495
baseline,MEpink,delta_T2,Young,11,-0.25490242992921713,0.4493793897620305,0.907854759460495
baseline,MEbrown,delta_T1,Young,11,0.25314351865420576,0.45262184519831894,0.907854759460495
delta_ME,MEturquoise,delta_DL,Young,15,-0.20859825383827216,0.45562143759283913,0.907854759460495
delta_ME,MEturquoise,delta_LBM,Old,15,0.20765035885711391,0.4577182312947152,0.907854759460495
delta_ME,MEmagenta,delta_LBM,Young,15,0.20557191567568692,0.46233246492433366,0.907854759460495
delta_ME,MEblue,delta_T2,Old,10,0.2603973974982803,0.46745874255802633,0.907854759460495
delta_ME,MEbrown,delta_LBM,Old,15,0.20142641833497607,0.47160329701671855,0.907854759460495
baseline,MEturquoise,delta_LBM,Old,15,-0.20121234448518563,0.4720844749194574,0.907854759460495
baseline,MEturquoise,delta_DL,Young,15,0.19766020187104116,0.4801032647717681,0.9144824090890821
baseline,MEpink,delta_DL,Young,15,0.19131905111880249,0.49457848445794395,0.9251192698916545
delta_ME,MEpurple,delta_DL,Young,15,0.19116233172186706,0.49493880939203516,0.9251192698916545
delta_ME,MEyellow,delta_VL,Young,15,0.1876973106929574,0.5029368622813533,0.9313645597802838
delta_ME,MEblack,delta_LBM,Old,15,0.17506789285430097,0.5325866870514495,0.9543478995754506
baseline,MEpurple,delta_DL,Young,15,-0.17494593562040467,0.532876738262648,0.9543478995754506
delta_ME,MEblue,delta_T1,Old,10,0.22335728192748971,0.5350601995627874,0.9543478995754506
delta_ME,MEred,delta_LBM,Young,15,-0.1716992392299122,0.540624075892084,0.9543478995754506
baseline,MEturquoise,delta_T2,Young,11,-0.20493966446817616,0.5455121879604985,0.9543478995754506
baseline,MEgreen,delta_T2,Old,10,0.2170503413202264,0.5469453215949925,0.9543478995754506
delta_ME,MEmagenta,delta_T1,Young,11,-0.20097217807322373,0.5534847526242187,0.9543478995754506
delta_ME,MEmagenta,delta_T2,Old,10,0.21109488456439535,0.5582625773988599,0.9543478995754506
baseline,MEred,delta_LBM,Old,15,0.16180322415503381,0.5645382162925617,0.9543478995754506
baseline,MEgreen,delta_T1,Young,11,0.1924209761922079,0.5708253615431664,0.9543478995754506
delta_ME,MEgreen,delta_LBM,Old,15,0.15815231951698902,0.5734720725235312,0.9543478995754506
baseline,MEred,delta_T1,Old,10,-0.20144042593944736,0.5767987719800598,0.9543478995754506
baseline,MEpink,delta_T1,Young,11,-0.18486362808267245,0.586324507172774,0.9543478995754506
delta_ME,MEpurple,delta_LBM,Young,15,0.15154718844456685,0.5897826506892625,0.9543478995754506
delta_ME,MEpurple,delta_DL,Old,9,0.20113886040660364,0.6038075446916138,0.9543478995754506
baseline,MEpink,delta_LBM,Old,15,0.14066681410576656,0.6170504435592554,0.9543478995754506
delta_ME,MEpurple,delta_T2,Old,10,0.17995132705524686,0.6188578646782084,0.9543478995754506
baseline,MEbrown,delta_LBM,Old,15,0.1387169297984497,0.6219879131509795,0.9543478995754506
baseline,MEgreen,delta_LBM,Old,15,0.13784173433936192,0.624208958908767,0.9543478995754506
baseline,MEpurple,delta_T1,Young,11,-0.16635684467840223,0.6249346289798805,0.9543478995754506
delta_ME,MEpurple,delta_VL,Old,15,0.13665552912267076,0.6272240721755933,0.9543478995754506
baseline,MEbrown,delta_VL,Old,15,0.134127565528327,0.6336679318206762,0.9543478995754506
baseline,MEpink,delta_T1,Old,10,0.17213109036925367,0.634422755487577,0.9543478995754506
delta_ME,MEbrown,delta_DL,Young,15,0.13377014232971704,0.6345810024109069,0.9543478995754506
delta_ME,MEbrown,delta_T2,Old,10,0.17202173023345058,0.6346413532176747,0.9543478995754506
baseline,MEturquoise,delta_T1,Young,11,-0.1572817432861078,0.6441890789089855,0.9614762371775903
baseline,MEmagenta,delta_T2,Young,11,0.15118930341726505,0.6572271287784868,0.9736698204125729
baseline,MEblack,delta_DL,Old,9,0.16384352974910874,0.6735976290095452,0.9844947786071979
delta_ME,MEblue,delta_DL,Old,9,0.16238716383789112,0.6763710857743446,0.9844947786071979
delta_ME,MEturquoise,delta_LBM,Young,15,0.11621006770952892,0.6800201503813664,0.9844947786071979
baseline,MEpurple,delta_DL,Old,9,0.1582731123007183,0.6842238711320026,0.9844947786071979
baseline,MEpurple,delta_T2,Old,10,-0.1450059130867341,0.689385524556132,0.9848364636516171
delta_ME,MEgreen,delta_T1,Old,10,-0.14067607164234522,0.6982890039727593,0.9884246179054693
baseline,MEblue,delta_DL,Old,9,-0.14900967639026544,0.7020008493563458,0.9884246179054693
baseline,MEpink,delta_DL,Old,9,0.1447413714286754,0.710234751194452,0.9884246179054693
delta_ME,MEblue,delta_DL,Young,15,-0.10237012060567394,0.7165767620004486,0.9884246179054693
delta_ME,MEmagenta,delta_T2,Young,11,-0.122140925696644,0.7205246578574214,0.9884246179054693
baseline,MEturquoise,delta_DL,Old,9,0.13789674446559338,0.7234925998680863,0.9884246179054693
delta_ME,MEgreen,delta_T1,Young,11,0.11821067704224623,0.7292208183891873,0.9884246179054693
delta_ME,MEblack,delta_T2,Young,11,0.1149073598352815,0.7365520731586945,0.9884246179054693
baseline,MEblue,delta_LBM,Old,15,0.0934039696129602,0.7405740182207965,0.9884246179054693
delta_ME,MEblue,delta_VL,Old,15,-0.09298033592989051,0.7417135417945075,0.9884246179054693
delta_ME,MEpink,delta_LBM,Old,15,0.08956669753007754,0.7509138178172166,0.9884246179054693
baseline,MEblue,delta_VL,Young,15,-0.0862966161294279,0.7597565026814215,0.9884246179054693
delta_ME,MEmagenta,delta_VL,Young,15,0.08582506435778729,0.7610339422473242,0.9884246179054693
delta_ME,MEyellow,delta_LBM,Young,15,-0.08484633367646406,0.7636871613632572,0.9884246179054693
delta_ME,MEbrown,delta_VL,Old,15,-0.08201667786631588,0.7713716562962216,0.9884246179054693
baseline,MEblue,delta_LBM,Young,15,-0.08039661522142122,0.7757802030150793,0.9884246179054693
baseline,MEmagenta,delta_T1,Old,10,-0.10293064382139641,0.7772096054575135,0.9884246179054693
delta_ME,MEblack,delta_T1,Young,11,-0.09506401150496263,0.7809888549784801,0.9884246179054693
baseline,MEblack,delta_LBM,Old,15,-0.07364840881628283,0.7942106225337408,0.9884246179054693
delta_ME,MEturquoise,delta_VL,Young,15,-0.07076984892332623,0.8021038490374822,0.9884246179054693
delta_ME,MEturquoise,delta_T1,Old,10,-0.08938718852866487,0.8060203834866764,0.9884246179054693
delta_ME,MEblue,delta_LBM,Old,15,-0.06892046360593138,0.8071844352240218,0.9884246179054693
delta_ME,MEblack,delta_VL,Old,15,0.06695566424762288,0.8125899266096142,0.9884246179054693
baseline,MEpurple,delta_VL,Old,15,-0.06619043480003813,0.8146973405089408,0.9884246179054693
baseline,MEbrown,delta_DL,Old,9,0.08918488905166712,0.8195139963484184,0.9884246179054693
delta_ME,MEblack,delta_T1,Old,10,-0.07936679158071694,0.8274746315407322,0.9884246179054693
baseline,MEpurple,delta_LBM,Young,15,-0.06076911466528097,0.8296604781292369,0.9884246179054693
delta_ME,MEpink,delta_T1,Old,10,-0.07569864073990125,0.8353548476262596,0.9884246179054693
baseline,MEgreen,delta_T1,Old,10,0.07281278075296152,0.8415638034147471,0.9884246179054693
baseline,MEyellow,delta_T1,Old,10,-0.06785516222189217,0.8522483809105763,0.9884246179054693
delta_ME,MEpurple,delta_VL,Young,15,-0.051491225456121066,0.8553918610089022,0.9884246179054693
delta_ME,MEmagenta,delta_T1,Old,10,-0.06587239814205771,0.8565277597765094,0.9884246179054693
baseline,MEyellow,delta_LBM,Young,15,0.05035113073233867,0.8585636707454357,0.9884246179054693
delta_ME,MEpink,delta_DL,Young,15,-0.048615074162790005,0.8633973239892633,0.9884246179054693
baseline,MEbrown,delta_DL,Young,15,-0.048085918001948565,0.8648715406672857,0.9884246179054693
baseline,MEturquoise,delta_LBM,Young,15,-0.04380255743024272,0.876819720279483,0.9905271058471312
baseline,MEblue,delta_DL,Young,15,0.03848112010847502,0.8916977343816829,0.9905271058471312
baseline,MEblack,delta_T2,Young,11,0.046443251627099114,0.892142047776045,0.9905271058471312
delta_ME,MEblack,delta_VL,Young,15,0.03752924136174529,0.8943627327668,0.9905271058471312
delta_ME,MEblack,delta_DL,Young,15,-0.036433155275637716,0.8974327696589606,0.9905271058471312
delta_ME,MEgreen,delta_DL,Young,15,-0.033288775637236284,0.9062472457203863,0.9905271058471312
baseline,MEred,delta_T2,Young,11,0.03752047279263189,0.9127878033228043,0.9905271058471312
delta_ME,MEgreen,delta_LBM,Young,15,0.02875595412864828,0.9189715127845923,0.9905271058471312
baseline,MEblack,delta_T1,Old,10,-0.0362531691407318,0.920800338719826,0.9905271058471312
delta_ME,MEgreen,delta_T2,Young,11,0.033451133380038765,0.9222203417466772,0.9905271058471312
baseline,MEyellow,delta_LBM,Old,15,0.024681648971648047,0.930424335470292,0.9905271058471312
baseline,MEblack,delta_DL,Young,15,-0.023735954480564175,0.9330845611554456,0.9905271058471312
delta_ME,MEred,delta_T1,Old,10,0.029742353839245297,0.9349961242443793,0.9905271058471312
delta_ME,MEblack,delta_T2,Old,10,0.028320900337468608,0.9380976966298767,0.9905271058471312
baseline,MEgreen,delta_T2,Young,11,-0.024751601520714296,0.9424142571988121,0.9905271058471312
delta_ME,MEpink,delta_VL,Young,15,0.017295740922350138,0.9512169305858784,0.9905271058471312
delta_ME,MEpurple,delta_T2,Young,11,0.019249641088326466,0.9552021730416598,0.9905271058471312
delta_ME,MEyellow,delta_T1,Old,10,-0.020187124237253103,0.9558586571424817,0.9905271058471312
delta_ME,MEblue,delta_T1,Young,11,0.014459113210576672,0.9663443656080875,0.992903317448886
delta_ME,MEblack,delta_DL,Old,9,-0.013904836166777415,0.9716778639788617,0.992903317448886
delta_ME,MEbrown,delta_VL,Young,15,-0.008382119752835707,0.9763481007056831,0.992903317448886
baseline,MEred,delta_T1,Young,11,0.009446109567703198,0.9780097676871529,0.992903317448886
delta_ME,MEbrown,delta_T1,Old,10,8.049284423503265e-4,0.9982392201731854,0.9997063262672279
baseline,MEblack,delta_T2,Old,10,3.757991322046691e-4,0.9991779395143978,0.9997063262672279
baseline,MEblack,delta_VL,Old,15,1.0406316064518922e-4,0.9997063262672279,0.9997063262672279
