gene,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
LRRC40,39,62.903225806451616,14.2367184914811,1,1,1,3,MNAR,FALSE,4.997501249375312e-4
SFXN1,2,3.225806451612903,19.110773896262813,0,0,0,0,MAR,TRUE,NA
L2HGDH,0,0,21.175036492917314,NA,NA,NA,NA,Complete,TRUE,NA
COPS7B,38,61.29032258064516,15.055358018193465,1,1,1,3,MNAR,FALSE,0.019490254872563718
FN3KRP,26,41.935483870967744,19.395027560551497,1,0,0,1,MAR,TRUE,NA
TBC1D17,2,3.225806451612903,17.9865599391825,0,1,0,1,MAR,TRUE,NA
CARS2,41,66.12903225806451,15.887797870563903,1,1,1,3,MNAR,FALSE,4.997501249375312e-4
GRPEL1,34,54.83870967741935,17.06017310185173,1,1,1,3,MNAR,FALSE,0.10644677661169415
CACYBP,3,4.838709677419355,19.990860466691668,0,0,0,0,MAR,TRUE,NA
RDH14,6,9.67741935483871,16.99654794310914,0,1,1,2,MNAR,TRUE,0.013993003498250875
PARVB,13,20.967741935483872,18.859326861915356,0,0,1,1,MAR,TRUE,NA
TNS1,1,1.6129032258064515,20.44488318099535,0,0,0,0,MAR,TRUE,NA
PLGRKT,3,4.838709677419355,21.000795869461523,0,0,0,0,MAR,TRUE,NA
GLOD4,0,0,21.78421581687677,NA,NA,NA,NA,Complete,TRUE,NA
MCCC2,14,22.58064516129032,17.392929827481293,1,1,1,3,MNAR,TRUE,0.001999000499750125
HHATL,0,0,23.13420986519725,NA,NA,NA,NA,Complete,TRUE,NA
PREB,13,20.967741935483872,18.466295627455818,0,1,1,2,MNAR,TRUE,4.997501249375312e-4
MRPL47,26,41.935483870967744,17.501481987123434,1,1,1,3,MNAR,TRUE,0.10494752623688156
JPH1,0,0,22.390804752228885,NA,NA,NA,NA,Complete,TRUE,NA
APMAP,26,41.935483870967744,17.4642539052224,1,1,1,3,MNAR,TRUE,0.12293853073463268
TXNRD2,5,8.064516129032258,20.351153147623524,0,0,0,0,MAR,TRUE,NA
RAB18,1,1.6129032258064515,19.555413374264923,0,0,0,0,MAR,TRUE,NA
PALMD,14,22.58064516129032,17.184103322969147,1,1,1,3,MNAR,TRUE,0.4567716141929036
SSU72,22,35.483870967741936,14.7512278528859,1,1,1,3,MNAR,TRUE,9.995002498750624e-4
VTA1,1,1.6129032258064515,19.18527008062651,0,0,0,0,MAR,TRUE,NA
SARS2,4,6.451612903225806,17.742940399680084,0,1,0,1,MAR,TRUE,NA
DYNLRB1,12,19.35483870967742,17.918302919378313,0,1,1,2,MNAR,TRUE,0.28335832083958024
MYOZ1,0,0,22.845612661761617,NA,NA,NA,NA,Complete,TRUE,NA
MYOZ2,22,35.483870967741936,20.46894607836752,0,0,0,0,MAR,TRUE,NA
OSGEP,13,20.967741935483872,16.796508041149746,1,1,1,3,MNAR,TRUE,4.997501249375312e-4
ACOT13,0,0,22.531531272992183,NA,NA,NA,NA,Complete,TRUE,NA
MRPL40,14,22.58064516129032,16.66041826919611,1,1,1,3,MNAR,TRUE,0.013493253373313344
TIGAR,38,61.29032258064516,15.451088837027768,1,1,1,3,MNAR,FALSE,0.04847576211894053
RTN4,0,0,25.85355478758749,NA,NA,NA,NA,Complete,TRUE,NA
HINT3,6,9.67741935483871,19.024046332989965,0,0,0,0,MAR,TRUE,NA
PFDN4,2,3.225806451612903,17.970851816670464,0,1,0,1,MAR,TRUE,NA
NIT2,0,0,20.19978337352846,NA,NA,NA,NA,Complete,TRUE,NA
XPNPEP1,0,0,18.221809352669712,NA,NA,NA,NA,Complete,TRUE,NA
GPHN,11,17.741935483870968,15.911301688483771,1,1,1,3,MNAR,TRUE,0.0024987506246876563
PDLIM7,0,0,21.98674286553946,NA,NA,NA,NA,Complete,TRUE,NA
ACSS2,6,9.67741935483871,17.600207788625372,0,1,1,2,MNAR,TRUE,0.07946026986506746
DIABLO,3,4.838709677419355,20.188472212064806,0,0,0,0,MAR,TRUE,NA
SAR1A,0,0,24.08050482854849,NA,NA,NA,NA,Complete,TRUE,NA
SH3GLB2,25,40.32258064516129,17.379432376397745,1,1,1,3,MNAR,TRUE,0.0034982508745627187
EIF2B3,39,62.903225806451616,17.602445997985523,1,1,1,3,MNAR,FALSE,9.995002498750624e-4
MBNL1,7,11.29032258064516,20.240136184183466,0,0,0,0,MAR,TRUE,NA
SDR39U1,11,17.741935483870968,21.477258041164006,0,0,0,0,MAR,TRUE,NA
AASDHPPT,33,53.2258064516129,16.762659415535484,1,1,1,3,MNAR,FALSE,0.0384807596201899
OSTC,23,37.096774193548384,18.107484857282557,1,1,1,3,MNAR,TRUE,0.001999000499750125
CMC2,6,9.67741935483871,18.1289468553069,0,1,1,2,MNAR,TRUE,0.01249375312343828
HEBP1,2,3.225806451612903,19.95985158390545,0,0,0,0,MAR,TRUE,NA
PHPT1,0,0,25.488690874062968,NA,NA,NA,NA,Complete,TRUE,NA
LTBP3,7,11.29032258064516,18.943030623669575,0,0,0,0,MAR,TRUE,NA
TOMM22,0,0,19.39532969712585,NA,NA,NA,NA,Complete,TRUE,NA
LANCL2,6,9.67741935483871,18.294040201183098,0,1,1,2,MNAR,TRUE,0.047976011994003
FARSB,0,0,23.20681918822667,NA,NA,NA,NA,Complete,TRUE,NA
IARS2,0,0,21.479906468106122,NA,NA,NA,NA,Complete,TRUE,NA
SIRT3,7,11.29032258064516,18.842508115690418,0,0,0,0,MAR,TRUE,NA
MAN2C1,3,4.838709677419355,23.066966654498987,0,0,0,0,MAR,TRUE,NA
OLA1,0,0,23.417718448209715,NA,NA,NA,NA,Complete,TRUE,NA
CUTC,0,0,22.48483486190536,NA,NA,NA,NA,Complete,TRUE,NA
ACSS1,26,41.935483870967744,17.747981967440055,1,1,1,3,MNAR,TRUE,4.997501249375312e-4
ABHD10,13,20.967741935483872,18.374754263133724,0,1,1,2,MNAR,TRUE,0.17041479260369816
DDX19A,0,0,20.662631871107287,NA,NA,NA,NA,Complete,TRUE,NA
SEPTIN11,12,19.35483870967742,17.747784893662352,0,1,1,2,MNAR,TRUE,0.01199400299850075
PARVA,20,32.25806451612903,17.216750178510644,1,1,1,3,MNAR,TRUE,0.025987006496751622
PANK4,0,0,19.252898688520407,NA,NA,NA,NA,Complete,TRUE,NA
DNAJC11,14,22.58064516129032,18.643390162438706,0,0,1,1,MAR,TRUE,NA
TMLHE,18,29.03225806451613,20.27729201746345,0,0,0,0,MAR,TRUE,NA
ATAD3A,7,11.29032258064516,17.612785335114694,0,1,1,2,MNAR,TRUE,0.17841079460269865
ARL8B,0,0,21.713226616558675,NA,NA,NA,NA,Complete,TRUE,NA
MRPS18A,19,30.64516129032258,16.036748210274183,1,1,1,3,MNAR,TRUE,0.24737631184407796
PNPO,4,6.451612903225806,21.528570998085602,0,0,0,0,MAR,TRUE,NA
OXSM,23,37.096774193548384,17.40196530171918,1,1,1,3,MNAR,TRUE,4.997501249375312e-4
