gene,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10
KPNA4,0,0.09699250801362792,0.27210307936983524,0,0.09852784723807201,0,0,0.06120490720071191,0,0.16220492219062846
CES2,0.30642228753789263,0,0.09110362871527837,0,0.028947780906821523,0,0.037771246990660055,0.060196158656824025,0.03994647052897685,0
FBP2,0,0.17543532238211995,0,0.01553746480124205,0.16538717965511116,0.21474541084359208,0,0.05040852950454199,0,0
PDXK,0.1764470400689767,0,0,0.22990844803841673,0,0.10501525342817594,0,0.029164204394727396,0,0
SDHD,0.5632946997647666,0,0.11166979702181118,0.027885139855457337,0.3118990034823931,0,0,0,0.23095326792159884,0
COX7A2L,0.3217862609151366,0,0,0,0.005615012966608117,0.041249429160340224,0,0.009148335827674227,0.509546879168854,0.1672352139182747
GAPDHS,0.08958147126743307,0.017873484832288487,0,0.12835494491660052,0,0.272213568407034,0.03524418189347274,0.10427390445109734,0.0727016233414106,0
HSPB6,0.1278714213585209,0,0.2588801286489828,0,0,0,0.14980671363190595,0,0,0.18716027458284468
NDUFAB1,0.35066772003652447,0,0.08511406362737683,0.3406756940383715,0,0,0,0,1.144943859770572,0.024934639742098055
IMPA2,0,0.25712861280592597,0,0.1325155075420675,0.21760660749280092,0.11331689902358855,0,0.05209806484347892,0,0
PDCD5,0,0,0.15823461577200754,0,0.024964606392072458,0,0,0.053037986777551886,0.05546482449348098,0
PRMT5,0,0.006944163687658073,0.14902708557915617,0.20594875995283188,0.24303302193108026,0,0.09011450303148198,0.06798055955782009,0,0
PSMA7,0,0.12425972686458063,0.13780274146699953,0.05087801423525867,0.30767575903216315,0,0,0.02328003318364108,0,0.18371652524574658
OPLAH,0.3057234767373366,0,0,0,0,0,0.25358817223253954,0.13649110513876678,0.005900197506740961,0
MGST3,0.023561052468012954,0.024909001582237508,0,0.16838580139886186,0,0,0,0,0.3473553092480698,0.1961908664803648
RGS12,0,0,0,0.33293434811252737,0,0.04682830973653619,0,0.0984207932826361,0.2583614378611906,0
HAT1,0,0.0015931962486412164,0.15087168435469853,0,0.06572611107101377,0.035823887364096384,0,0,0,0.19133029660353412
UQCRQ,0.6555475122265213,0,0,0,0,0.13018831217787696,0,0,0.5763605536760293,0.1169505814001791
MYL12B,0.12382805362300896,0,0.029752648501209563,0,0,0,0.24609507385795404,0.12333900656355815,0.11716405676812852,0.25599674439623205
UQCR11,0.3934717844499092,0,0,0.169682664696855,0,0,0,0.0044661572150778315,0.5819607548047332,0.18467869353754165
CASQ2,0.13693210502720418,0,0.1291078888158075,0,0.06681654383862451,0,0.1603201821488386,0,0,0.21397074794626525
HGS,0,0,0.052332522641984604,0.08826923884450782,0.056648381980799065,0.02245194794425539,0.05894546765831291,0,0,0.2405712035666562
HNRNPDL,0,0,0.02267924737101977,0.402734420831518,0,0.2428990304596876,0.05841787306616888,0,0.02569820086140625,0.02385265777929023
XPO1,0,0.24630806095726548,0,0,0.08842356446096068,0,0.10671811459725104,0.16364104205751082,0,0
ATP2A1,0,0.4107131016446736,0.006956820901592625,0,0.25427380330719707,0.15917155264846683,0,0.014437120361087017,0,0.07828954303950228
SYNJ2,0.04055944581324438,0,0,0,0.03175819016269944,0.025178255696776165,0,0.4858552803213143,0,0
SYNM,0,0,0,0.06535040864619762,0.1853271737556793,0.4585445754014609,0,0,0,0
ARPC1B,0.07578802718768986,0,0.31975788910570596,0,0.0360315546176561,0,0.036771449089773214,0.1736545457635581,0,0.10470912524111974
ARPC2,0,0.09082713703073358,0,0,0,0,0.24946648228296867,0.06364893960865142,0.16566824369550529,0.19686610150899703
PGRMC2,0.1552981540125607,0,0.06328558152674328,0.1252886545872914,0.23204586137059235,0,0.07668778011989802,0,0,0
PFDN6,0,0.34830814944814664,0,0,0.151246153680219,0,0.1191402992122882,0,0,0
NDUFA1,0.35192497163775815,0.035039947951147975,0,0,0.12629581753399394,0.048675185691954635,0,0.20733879458439777,0.9041304276945482,0.07593814887111798
SURF4,0,0,0.1906544832818863,0.00564523321855386,0.16916927102137377,0,0.08156243943084336,0,0,0.022624746862115446
MAPK13,0,0.16997310216083233,0,0.07410621199447846,0,0,0.25999432502977093,0.17319052040363647,0.03599347386648981,0.04322369821130614
TCAP,0,0,0,0.15835666816478536,0,0.45777540649262755,0,0,0.13271325818526833,0.18232991823860722
PMM2,0,0.07853475303391473,0.02395487598151929,0,0.051355363693658854,0.1712944706682206,0.009726427891299676,0,0,0
EIF3D,0,0.024841239769526673,0,0,0.2527382109230863,0.09080185236486932,0,0,0,0.6206361698500272
EIF3H,0,0,0.022061526252320714,0.03089660206280958,0.07152752149501708,0,0,0.026518791264150656,0.0028035630463554857,0.4574980270489831
BCAT2,0.31594092984517275,0,0,0,0,0,0.05026234221115465,0,0.1406962809700557,0.04462673319938266
STX7,0,0,0.24502332313904013,0.2192124156472537,0,0,0.14151460879721625,0.05235440706677272,0,0.09928004610721804
SLC16A3,0,0.19689279382522898,0,0.13412930875160473,0,0.07226494456742523,0.0325539293482807,0.13394133932406005,0.007083102603884661,0
YKT6,0,0.1851775456321073,0.13188582459820905,0,0,0,0.02636925619349885,0,0,0.014096679401676552
ARPC5,0.02918303021345647,0,0.1482633868763282,0,0,0.15247467656941632,0.08587691950084668,0.2063212110666776,0,0
TAPBP,0.10540528765590625,0,0,0,0,0.053001008491886076,0.1992947671195187,0,0.059066329538709,0.16277195131258748
DHX15,0.012878812276509945,0.012926811391982674,0.1152606571705482,0.13809578788384128,0.04872032226485068,0,0.0877261152060422,0,0,0
CYB5B,0.044747783843603076,0.021021528114605875,0,0.009281405798699531,0.36583419464426237,0.11264737669273912,0,0.0030003379503729375,0,0
NDUFS4,0.3088573762933238,0,0,0.12628258802863604,0.07019654504277581,0.098294172037139,0,0,1.337958531589393,0
DYNC1LI2,0,0,0.003988291458937723,0.23456692138375668,0.1715461814208735,0,0,0.062117696027592734,0.06253817590217581,0.10702962195667706
PSMD3,0,0,0.044001384256283936,0.09268199436991152,0.6681418615128093,0.11590633029830921,0,0.01016419105335576,0,0
RASA4,0,0.06567055337135416,0,0.0103801221129343,0,0,0.2888814711135509,0.006001852907854757,0.047196534532059714,0.0909106665890896
HNRNPR,0,0,0.037903753298443484,0.11407777764784682,0.12745292631377994,0.06161518115098911,0,0,0,0.2029578560084302
TXNL1,0,0,0.18774560642519458,0.4093336924376543,0,0,0,0,0,0.10986684705036807
TPD52L2,0,0.18300756339903648,0.03274577701222811,0.057169391079257226,0.07312754164140091,0,0.10087290053694507,0.04823740671437772,0,0
ERI3,0,0.23478353406817246,0,0.21490877718519857,0,0.10912356235142062,0.04724342884181731,0,0.03441738558150369,0
AKR7A2,0.22606223068866854,0.008729113302206696,0,0,0,0,0.31667224222639945,0.03800665673540804,0.07538847148351002,0
LAT,0,0.3682994193119951,0,0,0.08358463454296404,0.07500320324465617,0.015589190990177991,0.026718807235184012,0,0
DENR,0,0.2167412381873468,0,0,0.2670460875539333,0.09101553064357125,0,0,0,0.0037749201681799107
DNPH1,0.11847810969345186,0,0,0.16077621385015284,0,0.16779274540901157,0,0.20543970978992265,0,0
TIMM44,0.45524046084249703,0,0.0418659033386779,0.00438968595696833,0,0,0.08800766744209919,0,0.0673497987768018,0
TRAPPC3,0,0.13785674260564312,0.06770673079970072,0.10475633418663771,0,0,0.2260686739207541,0.18515444497269712,0,0
CHMP2A,0.0416364641706408,0.12496923012243817,0.06333274356754727,0.05848505051443291,0,0,0.18276671704234088,0,0,0
NDUFB5,0.27587612836337194,0.05067372846987083,0,0,0.0374571909505198,0.08305848480109856,0,0,0.804305288453069,0
NDUFB3,0.2340050180834233,0,0,0.06892516328604974,0,0,0,0,1.2542112292055911,0.012549409932924981
NDUFA2,0.4284769359284569,0,0,0.12721385407408628,0.010464858531672866,0.0673418763021645,0,0,0.9977462061021877,0.037871305560333295
BUB3,0.0682447411803698,0,0,0,0,0,0.3244112182376594,0.16577748242321164,7.68368648859162e-4,0.07745280638911282
ACTN4,0,0,0,0.0071309732145293315,0.019226485642038174,0.5894206388350435,0,0,0.06199616548776354,0.02966237995542434
GSTZ1,0,0.08307771535901545,0,0.12642831682619715,0.20791942518429388,0,0,0,0,0
PRKAB2,0.1835629984696095,0.20526478255815536,0,0,0.20365410700666692,0,0,0.13199709542544333,0.04773095929124909,0.09117527720930056
AP1G1,0,0,0.11917151474409343,0,0,0.006806447299528361,0.15432108216505042,0.04175041062768794,0.06306638073851904,0.1341485278970707
SYNGR2,0,0.12379629592307183,0,0.15285977297539732,0.16830056846497615,0.19076455479594215,0,0,0,0
SGTA,0.1126834436173897,0.2437465928814712,0,0,0.09668881037908714,0,0.22972695409625007,0,0,0
ENSA,0,0.1834357424070745,0,0,0,0,0,0,0.07032625498413606,0.02305812009246711
SLC25A20,0.4899366611550151,0,0,0,0,0,0.04634675145227374,0,0.19495253386676564,0
NARS1,0,0,0.19375178987004205,0.28376209392493096,0,0.2401705651034822,0,0,0.021598155132601216,0.09498457909021005
LANCL1,0.03644981081433798,0.13842413342259255,0,0.175729164187409,0.060543871797556124,0.06826002967466195,0,0.00987394517592148,0,0
SLC37A4,0,0.17185001903921795,0,0,0.42966333273455753,0.11329206395949085,0,0,0,0
IDH3B,0.6045982049832015,0.06473826917460684,0.05794346856699743,0,0.005767193866488636,0.07396610747364218,0,0.10439011725189283,0,0.14012413970000107
CALU,0.02619861440327344,0,0.22829758377403642,0,0.30181307361189663,0,0,0.02746081670019764,0,0.15507533340712656
AHCYL1,0.09101569955307193,0,0.28531467256392906,0.06156432170241255,0.13944141807914806,0,0,0.0033964095558623375,0,0
NDUFS5,0.2797839306425544,0.13704149277338062,0,0,0,0,0.03025917034930181,0.01828721848758952,1.156856209800957,0
TIMM8A,0.23094605020182382,0.036510243564864465,0,0,0,0.00109903326259223,0.12751181585677895,0.02193122941912738,0.2140283694216864,0.08484250120714848
PPP1R12B,0,0,0.09208313178164214,0.19294452526354178,0.1963162784427566,0,0,0,0,0.04687152989129913
PRPSAP2,0,0.1438300616143345,0,0.062180541734216034,0.17655914111568616,0.156790948286559,0,0.03342453606574333,0,0.09789552979434936
SPAG9,0,0,0.2551195247100245,0.04653781178592637,0.26270685389880855,0,0,0,0,0.11904030142572104
OPA1,0.5048995949279921,0,0,0,0.12001073522268682,0,0,0,0.08618087128321916,0.0478578841791055
TBC1D4,0.07624221562257394,0.010013685336460123,0,0.07091718027637589,0.07929748521654173,0.06924535243593194,0,0.044715689399169783,0.16344856424263776,0.019297606659972676
SNX3,0,0,0.009551870442220431,0.11350767285991177,0,0,0,0.0602148228389324,0.029866714191951332,0.012373161558996537
SYNCRIP,0,0,0.090220019544464,0.032965663177732606,0.03218565530467016,0,0,0,0,0.323247999444613
SELENOF,0,0.15000687375645036,0,0,0,0,0.09578388657793442,0.022077424359426168,0.10706581863295958,0.12865572666919023
KLHL41,0,0,0.1640416398656097,0.041981411534474745,0.0897128399577021,0.15025091001324514,0,0,0,0.2668322300850712
PLIN3,0.06061020630153126,0.025941223245935036,0.24852064240245986,0,0.11738033447249817,0,0.20952758252854933,0.08692479698895278,0,0
KPNA6,0,0.13413593367735133,0.16987944104926234,0.0652990124836105,0.008294992735983817,0.009390311260235823,0,0,0,0.11823959124298013
SNX2,0,0,0.029228744155498775,0,0.2046746110929281,0,0.03294111403814343,0.13309957486067744,0,0
USO1,0,0.4112375357091073,0,0,0.20400168506898567,0,0.0792669700871552,0.10962456347045653,0,0
TOM1,0.03816613214239742,0.035769928408497687,0,0.24710327895928558,0.050617602794333603,0,0.05413052750807998,0.04366674963950357,0,0
PFKFB2,0.22502976922131454,0,0,0.06484385310525216,0.05704284212297037,0.012139342779641168,0,0,0.04384625272226034,0
EDF1,0,0,0,0.15612890130679935,0.005986312412343505,0,0.03433958547764535,0,0.14021641757052036,0.23936601123421225
DNAJA2,0,0,0.17944190637977253,0.09845024670807512,0.1433950870543807,0,0,0,0,0.2913576224675399
CUTA,0,0,0,0.3651924181296989,0,0,0.17278936469606496,0,0.076385679544925,0
PFDN1,0,0.28053237646923196,0,0.02461107933257721,0.032581610699113264,0.25435964846817005,0.03453529977011703,0,0.049506035295311134,0
NOL3,0.12480235813624892,0,0.03352679151888346,0.21950171141080077,0,0,0.05682630344112414,0.1206762405627875,0,0
WDR1,0,0.15765199827295712,0.08183797795322174,0.06992344752247708,0.1744336497202323,0.06439438710754711,0,0,0,0.19630607199711378
LDB3,0,0.02251104219397468,0,0,0,0.07434654161595604,0.12469469469017506,0,0.17746670071245027,0.40273713885510387
CLASP2,0.08516947927970397,0.09692821573693979,0,0,0,0,0.11214060217403361,0,0.1855530683875811,0.1734472595941741
COBL,0,0,0,0.29156342214101144,0,0,0.03531035651988158,0.14766965683769645,0.15593594272595174,0.047521275746645046
CPNE3,0,0.1736290189882106,0.17103100515472894,0.1285575399240038,0.15234658277676638,0,0.15911050203205376,0,0,0
CLUH,0.3300463262213893,0.01986166982386319,0.01196399858902553,0,0.2819829099434353,0,0,0,0,0
CAND2,0,0,0.17820245207692562,0.15658254260922355,0,0.08192216121011217,0,0,0,0
COQ9,0.2649501545412574,0.052263552433681845,0,0.062471474969262086,0,0,0.1288709563431656,0.04580498960295723,0.02741411111844843,0
GGCT,0.02797240194367761,0,0,0.4316504347656868,0,0.11097410643784297,0,0.05355580470197599,0.01889263426223656,0
NDUFS7,0.3344236732745064,0.03490328187422101,0,0,0,0.058949483716998846,0.012934007301692653,0,1.1955477886356167,0.10359071411015226
RTN2,0,0.2850544184917824,0.08979788467682492,0.1136168135473123,0.2625041648873077,0.030167840237423773,0,0,0,0
NDUFS2,0.21959767593413923,0.0921781190736856,0,0,0,0,0,0,0.9424514511837475,0.07650641220917141
NIPSNAP2,0.2263874136789588,0,0,0.2952783285906801,0,0,0.16380307161858215,0,0.09506229391555045,0
CILP,0,0,0.07145890480804026,0,0,0.24751867883389983,0.0750084348608239,0,0.013943956591761576,0.14632932956787723
TBCA,0.05013457127886623,0.02943425881677836,0.14705393934956226,0.14268931333417417,0,0,0.2391286619237074,0.2005123259391502,0,0
ATP6V1G1,0,0,0.0624680603401678,0.19663123108335914,0.08563609150619264,0,0.05657202028545024,0.02769456764653664,0,0
VPS4B,0,0.07752771190376849,0,0.16452890482098909,0,0.015347010150078144,0.16117080602062855,0.0016485560162907789,0.16942149151663502,0.0337495219688719
MACROH2A1,0.005902305288647931,0,0.11576485873919336,0.032266421776886545,0,0.2838191798799126,0,0.009862110752992379,0,0
SH3BGRL,0.06670478991815923,0,0.13380284021381003,0,0.024475014745521877,0.040906751365686264,0,0.2942039140552278,0,0
FLNB,0,0,0.14315925357651446,0.04747043957080407,0.28826396096783974,0,0,0,0,0.3202482704173464
NDUFS6,0.35035627671742725,0.13978683981552428,0,0,0.04853710716518525,0,0,0,1.2853530506785429,0
CS,0.7639725651679294,0,0.022229434308835127,0.09210458649139662,0,0,0.057880174428596956,0.0044268145432445295,0.016887743480427986,0
SEC22B,0,0.009485975371689132,0.22361058728738287,0.00447130468622434,0.1001882392319302,0,0.13610965584958992,0,0,0.0672502594317502
MTX2,0.4521030911164079,0,0,0,0.009866084061827533,0.03681528161274025,0,0,0.24841860765814897,0.13701792969516471
VPS26A,0,0.11496545557807565,0.08155236640730756,0,0.17945029647520916,0,0.06677319761933878,0,0,0
NDUFB1,0.32475445672050446,0,0.021448746806265993,0.16533789227242615,0,0.013304526247509166,0,0.02634349800077927,1.2441502558378754,0.02776718013722514
PMPCB,0.26571574581954305,0.12714291132308642,0.012375183666090582,0,0,0.0257602401765367,0.10568883933830385,0,0.05698797050234586,0
NDUFS3,0.4636997647738544,0.0014187435225621779,0,0.03993839297072068,0,0.06089514138173445,0.054149271211447685,0,1.0812540597613902,0.05430399548829514
ECI2,0.5117735287170236,0.13331432900872303,0,0,0.07144055906274656,0,0.007295160449416856,0,0,0
BANF1,0,0.21931403729511587,0,0,0.05547713249870131,0.4503050715226522,0,0.0022014498139660893,0,0
CSDE1,0,0.16834167037587494,0.06986854830241608,0,0.20545311612724743,0,0,0,0,0.3074930842052545
PRKRA,0,0,0.028002293442943242,0,0,0,0,0,0.08669271432492813,0.4831876612631333
LYPLA1,0.22449616070712614,0,0,0.08626430246987936,0,0,0,0.25616049765814003,0.13187069243928518,0
TIPRL,0,0.07546569483224332,0.20975751134792953,0,0.11743921008124718,0,0,0.06426856314636904,0,0.03620829001675621
PPM1B,0,0.26100795453072967,0,0,0.0152332613786739,0,0.12840273303238378,0,0,0
SLC25A12,0.44257789227162914,0.0959043412332534,0,0.10293835331977129,0,0.09092772767362792,0,0,0.5647377774775838,0.033760674983817004
TCEA3,0,0.14771627528396636,0,0,0,0,0.29029213852201086,0,0.07239839930226326,0.20671661025283408
EIF3G,0,0,2.370175142256124e-4,0.40721808140827465,7.057938814067608e-4,0,0,0,0.08502409543358297,0.4984956549975556
EIF3J,0,0.16488877861623755,0.053372536897723734,0,0.2827782163633852,0,0,0,0,0.4189331558640497
PSMD10,0,0.3001030817600811,0,0.1022156887644234,0,0,0.10590270074441992,0.08167092275727056,0.05611942373401884,0
IDH1,0.22765933704955355,0.3262370700901034,0,0.021154522029807953,0.38591051096612733,0.10734407771021429,0.08495058232560114,0.21782198121260826,0,0
SCO1,0.3379865353197114,0,0.04092579325315626,0,0.2210964930506129,0.026615670592117092,0,0.02474117711591023,0.33960768489630916,0.005246521690172577
ALDH1L1,0,0.1650607661970947,0,0.13418767722908723,0.026119840941559745,0.16008961443244052,0,0,0,0
ARL6IP5,0,0.10696424712088876,0.2716601361227587,0.09829177214250795,0,0,0.23603759464060087,0,0,0.05380491271633853
DYSF,0,0,0.41517104083671713,0.18393096426138145,0.0329673933453193,0.05918665502654993,0,0,0,0.2489678350183461
PIAS2,0,0.1552040984994561,0,0,0,0.10276780963626171,0.011097439278947812,0,0.09466434545639052,0.0649131542218872
DCTN3,0,0.13365485567654223,0,0,0.1684751988155749,0.05598409773212112,0,0.22978329322143606,0,0.13746476114404022
ATP5PD,0.63750776948359,0,0,0,0.17142183969541935,0,0,0,0,0.0015243508989673295
FLOT1,0.027707248269359275,0.05042080250033351,0.02124585983016358,0.021166175783310082,0.20912988949265846,0.040182835011366234,0,0.14848696907188894,0,0
ATP5MG,0.8121586728926561,0,0,0.044309492024347585,0.12478078494874392,0,0,0,0.033912778889927234,0.09989827800620207
GLRX3,0,0,0.28606967269488,0,0.25761367578046784,0,0,0.00795931682910775,0,0.09762457712919065
SNCG,0,0.07214349074623078,0,0.02960278393854109,0.033335355792066104,0.207326600269993,0.019220012162964244,0,0,0
DDAH1,0,0.1431104710330825,0.03440849894390401,0.1777828055567463,0.12898305938022808,0,0.05757252316349671,0,0,0
TPPP,0,0.12389717419601062,0,0.21574787721902589,0.016102569675301943,0,0.08770925295437801,0,0.011597223359862349,0
BAIAP3,0.32706834754176894,0,0.03342450204355393,0,0.12435862291966893,0.057871963645700054,0,0,0,0
TOMM70,0.3181318596073304,0,0.13371843543180367,0,0.33592034367250817,0,0,0,0,0
UFL1,0,0,0,0,0.09209673725386663,0,0.19747940632302188,0,0.09076576780985027,0.13047300951245844
TMEM63A,0,0,0.3423035171396097,0,0.069148899551878,0.0617132421696055,0.07095085654906669,0,0,0.0291502187278821
PLPBP,0,0.3169075866845201,0,0.0597854548640217,0,0.06406058257821892,0.10236144798013237,0.19320807426065742,0,0
ERLIN2,0,0.027351653132522125,0,0,0.1358795596191767,0.03164993361026707,0,0,0.2532505286840368,0.364816632599525
ENDOD1,0,0,0.01904251072307862,0.08198859043016861,0.19662798014162938,0,0,0.10194156115082606,0.04911822913351484,0.19038455945852567
SEC31A,0,0,0.2977655383449207,0,0.016248580790230838,0,0.09237244067249879,0,5.846306677363134e-4,0.08866988338444197
NDUFB6,0.47746236186940805,0,0,0.11452417760764039,0,0.11130014867253085,0,0,1.217605469222186,0.004511862822010485
MFN2,0.3586616125555506,0,0,0.07446515441410242,0.1019062272598059,0,0,0.01316235615785103,0,0.015581802822937406
NDUFA3,0.2349856368879998,0,0,0.062565261793676,0,0,0.04461205742564558,0.004580408619069491,1.3198703321739154,0
NDUFB4,0.2505487209812166,0,0,0.0720029259877359,0,0,0.065214665469464,0,1.3400919770617434,0
NDUFB8,0.41246678465849185,0.008924176295953747,0,0,0,0.0858937886817605,0,0,1.3034378480172364,0
NDUFA7,0.2946122006609705,0,0,0,0,0.051876682770095564,0,0.015870968575425692,1.194903715712173,0.03348946009443367
RTN3,0,0,0.20754338996061591,0.08362462265766925,0.08458363847834999,0,0.06955076493870445,0.09504317658387831,0.07677445654856864,0
LETM1,0.4303694191090931,0,0.11776431805781012,0,0,0,0.03242787155319256,0.06436779678340075,0.2465509187917567,0
STBD1,0,0,0.046561204469356014,0.15074958440959157,0.3494011059360482,0.09167475679645212,0,0,0,0.13678021739245438
ZRANB2,0.09225691798904036,0,0,0,0,0.00964856271753506,0.053577181282857655,0.4150764120731218,0.035595414053987855,0
EPM2A,0.05009323324136445,0,0,0.30182647892150277,0,0.046479717718062225,0.08850817218426472,0.07329168178208798,0.07527585551920031,0.0150817643531213
VAPB,0,0.05244823482019926,0,0.03016750440311147,0.20058026947554253,0.11667474420096181,0,0,0.17656717081414056,0.19505637749067448
NDUFC2,0.4093653307756837,0,0,0.008562849912801677,0,0.025276442443440225,0,0,1.3438059156224667,0.026728633260495425
NDUFA10,0.21707769073569433,0.095916168945716,0,0,0.059342966017384306,0.04940480949893731,0,0,1.1440495800129877,0.05149256675272128
PGLS,0.15913341366905354,0,0.06730783339821483,0.06417185978624237,0,0,0.28371480753450046,0.15767502458177218,0,0
TACC2,0.10721480893908471,0,0,0,0.11965428472053616,0,0.13357743585415294,0,0,0
LYPLA2,0.08659494823618498,0,0.01945140010529806,0.3064473911562424,0,0,0.10314462771727029,0,0.0650144934666446,0.04010392016775596
IPO7,0,0.004446186089073365,0.15296358504276542,0,0.400841159009082,0.03484913538822101,0,0.048981301631694465,0,0
ARIH2,0,0.12260371502029652,0,0,0,0.2850166816747768,0,0.001630380828459766,0.05456105467582929,0.07615875826331246
PGM3,0,0,0.06129938417070813,0.2327347353691187,0,0,0.17141141986005975,0.13933195802690027,0.008862141640441508,0
SVIL,0,0,0.05435432330438849,0.09289691354944675,0.14356577109295887,0.29454440256275594,0,0,0,0.031131625504451012
AHSA1,0.05465237829724835,0.042669006974682185,0.1236913028394793,0,0.05748777556189676,0,0.21268659614128352,0,0,0
H6PD,0,0.3424546845507764,0,0.10590813711849623,0.039006435480193044,0,0.1828135361088468,0,0,0
MPC2,0.4351862121753486,0,0.019249613008033236,0.2604378260496041,0.03696934138130943,0,0,0,0.005378476714500948,0
ETHE1,0.21530672707442888,0,0,0.2267012467267063,0,0,0,0,0.04668409869782337,0
ACSL3,0.06600000503680695,0,0.21071978104133243,0.1868536325931739,0.1929266253670424,0,0,0,0,0.10190569775216805
ASMTL,0,0.12136157245470523,0,0.07257943503651561,0.12611877675069086,0.03449137118678491,0,0.059269191836045086,0.10622700011776927,0.10865088829935417
CDS2,0,0,0.1006322896505277,0,0,0,0.27849680336545574,0.1153722390877894,0,0.07345033129919981
SNAP29,0.009571889178864956,0.049751753388562005,0.14213667822265114,0.07923622579083257,0.0934023884774059,0,0,0.14206658013027446,0,0
OXSR1,0,0.1707706265648224,0,0.2573439960037217,0,0.11348530796266405,0.03016258803465182,0.23680135498001495,0.007314720874737728,0
