pathway,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,0,0,0,0,0,0,0,0,0,0
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,0,0,0,0,0,0,0,0,0,0
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,0,0,0,0,0,0,0,0,0,0
REACTOME_CHROMATIN_ORGANIZATION,0,0,0,0,0,0,0,0,0,0
REACTOME_CHROMOSOME_MAINTENANCE,0,0,0,0,0,0,0,0,0,0
REACTOME_CILIUM_ASSEMBLY,0,0,0,0,0,0,0,0,0,0
REACTOME_CIRCADIAN_CLOCK,0,0,0,0,0,0,0,0,0,0
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,0.058902894896290275,0,0,0,0,0,0,0,0,0
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,0,0,0,0,0,0,0,0,0,0
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,0,0,0,0,0,0,0,0,0,0
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,0,0,0,0,0,0,0,0,0,0
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION,0,0,0,0,0,0,0,0,0,0
REACTOME_CLEC7A_DECTIN_1_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0,0,0,0,0,0,0,0,0,0
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,0,0,0,0,0,0,0,0,0,0
REACTOME_COLLAGEN_DEGRADATION,0,0,0,0,0,0,0,0,0,0
REACTOME_COLLAGEN_FORMATION,0,0,0,0,0,0,0,0,0,0
REACTOME_COMPLEMENT_CASCADE,0,0,0,0,0,0,0,0.037254294361522194,0,0
REACTOME_COMPLEX_III_ASSEMBLY,0,0,0,0,0,0,0,0,0,0
REACTOME_COMPLEX_IV_ASSEMBLY,0,0,0,0,0,0,0,0,0,0
REACTOME_COMPLEX_I_BIOGENESIS,0,0,0,0,0,0,0,0,0.1516098427918571,0
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,0,0,0,0,0,0,0,0,0,0
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,0,0,0,0,0,0,0,0,0,0
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,0,0,0,0,0,0,0,0,0,0
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,0,0,0,0,0,0,0,0,0,0
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,0,0,0,0,0,0,0,0,0,0
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,0,0,0,0,0,0,0,0,0,0
REACTOME_CO_INHIBITION_BY_CTLA4,0,0,0,0,0,0,0,0,0,0
REACTOME_CO_STIMULATION_BY_CD28,0,0,0,0,0,0,0,0,0,0
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,0,0,0,0,0,0,0,0,0,0
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_CRISTAE_FORMATION,0.05791069500713045,0,0,0,0,0,0,0,0,0
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,0,0,0,0,0,0,0,0,0,0
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,0,0,0,0,0,0,0,0,0,0
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,0,0,0,0,0,0,0,0,0,0
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,0,0,0,0,0,0,0,0,0,0
