"gene","cv_pre","cv_post","delta_cv","age"
"ERLIN2",25.67100290643,23.2976168357587,-2.37338607067133,"Young"
"ENDOD1",19.1268726119246,17.723175404372,-1.40369720755262,"Young"
"SEC31A",19.7448612467062,28.8640770390587,9.11921579235257,"Young"
"NDUFB6",29.4646829809756,45.7969882200454,16.3323052390698,"Young"
"MFN2",18.1663332340885,17.0508340685302,-1.11549916555828,"Young"
"NDUFA3",25.7485350638083,48.9843998122456,23.2358647484374,"Young"
"NDUFB4",28.9213024750726,39.8210722863174,10.8997698112448,"Young"
"NDUFB8",14.9345788959944,34.2430387906566,19.3084598946622,"Young"
"NDUFA7",23.0405957541689,40.7863297214759,17.745733967307,"Young"
"RTN3",33.0789328154053,39.4268143798341,6.34788156442877,"Young"
"LETM1",24.6050534760083,24.2985400700756,-0.306513405932716,"Young"
"STBD1",17.9517487813146,18.1528188919704,0.201070110655788,"Young"
"ZRANB2",80.0904742289071,51.4903903262223,-28.6000839026848,"Young"
"EPM2A",66.7846287714246,31.550822038398,-35.2338067330266,"Young"
"VAPB",15.7661806710031,23.5995143175373,7.83333364653416,"Young"
"NDUFC2",28.8633826677741,48.5942467401191,19.730864072345,"Young"
"NDUFA10",19.4895468164877,35.9885283805039,16.4989815640162,"Young"
"PGLS",22.2943299359213,36.4965946415446,14.2022647056233,"Young"
"TACC2",27.2507084898833,34.1485334816276,6.89782499174433,"Young"
"LYPLA2",37.4780981154921,55.1328787349441,17.654780619452,"Young"
"IPO7",21.7422772637846,30.6741156447896,8.93183838100506,"Young"
"ARIH2",31.5471454313552,34.0143073686376,2.46716193728238,"Young"
"PGM3",27.3071153200794,26.1182407107912,-1.18887460928823,"Young"
"SVIL",43.3309387318994,58.5430742384454,15.212135506546,"Young"
"AHSA1",17.0954007507644,26.6257295707877,9.53032882002328,"Young"
"H6PD",25.5858750683474,16.8891471226381,-8.69672794570928,"Young"
"MPC2",22.9714644929394,23.3267519794713,0.355287486531868,"Young"
"ETHE1",2.06558983513415,18.2100178181785,16.1444279830443,"Young"
"ACSL3",24.2055265347883,15.7457275488618,-8.45979898592652,"Young"
"ASMTL",15.9593535635214,22.8639729406747,6.90461937715324,"Young"
"CDS2",12.3481834342522,21.2222678432786,8.87408440902647,"Young"
"SNAP29",6.5788406004356,13.0043165325358,6.42547593210016,"Young"
"OXSR1",13.0710606288684,11.3667107765773,-1.7043498522911,"Young"
"LSM8",21.8982771444318,27.9960600433788,6.09778289894695,"Young"
"AP2A1",15.9962503731945,25.2288240304161,9.23257365722166,"Young"
"CAVIN2",18.785241070535,26.1725247451122,7.38728367457713,"Young"
"BAG2",40.1389860753453,27.7931092775912,-12.3458767977541,"Young"
"BAG3",30.9777543731284,30.3544780239198,-0.623276349208535,"Young"
"MLYCD",33.3756291704126,46.7378465045331,13.3622173341205,"Young"
"AIFM1",13.9219037745834,11.5195027521968,-2.40240102238663,"Young"
"EML2",38.9037716152785,35.9874245440099,-2.91634707126858,"Young"
"BPNT1",34.301900788907,23.3960409954731,-10.9058597934339,"Young"
"DDAH2",29.9190738890599,24.5272449525563,-5.39182893650351,"Young"
"ABHD16A",42.2814831107204,20.2236655947145,-22.0578175160059,"Young"
"TXNDC12",50.193308927412,8.62621980609681,-41.5670891213152,"Young"
"NUDT3",20.7184212553847,18.9496063266853,-1.76881492869932,"Young"
"NDUFB10",37.0071734655522,35.8425314509658,-1.16464201458641,"Young"
"CLPTM1",47.9642996280655,32.362494542128,-15.6018050859375,"Young"
"MOCS2",18.326383798163,31.0477769783727,12.7213931802097,"Young"
"TOMM40",22.5066436569905,33.8264853641068,11.3198417071163,"Young"
"PEX11B",29.9345052845503,33.729559995072,3.79505471052165,"Young"
"CYB5A",30.506527357265,30.1925940046318,-0.313933352633246,"Young"
"ADH1B",63.9182251305508,66.4800735023414,2.56184837179062,"Young"
"LDHA",21.8173050785815,20.3990721312926,-1.41823294728888,"Young"
"ALDH1A1",18.3352790561969,34.5649360573026,16.2296570011057,"Young"
"GLUD1",22.4195819055591,18.3893535874557,-4.03022831810338,"Young"
"CYB5R3",17.0245017943229,22.3033718295231,5.27887003520017,"Young"
"GSR",13.3336709476486,13.8258163108371,0.492145363188488,"Young"
"MT-CO1",48.7688272950589,42.5226479971744,-6.24617929788455,"Young"
"MT-CO2",25.555378093345,35.0323686532119,9.47699055986689,"Young"
"MT-CO3",21.7319707273701,48.8898702060627,27.1578994786926,"Young"
"SOD1",15.1402328200224,17.4123797878949,2.27214696787254,"Young"
"CP",24.168981404245,23.6980592811733,-0.470922123071635,"Young"
"F13A1",28.2702241010435,93.1112179080971,64.8409938070537,"Young"
"HPRT1",22.7463881724371,22.9407953720703,0.194407199633257,"Young"
"GOT2",16.2890201967844,14.6846876334116,-1.6043325633728,"Young"
"PGK1",11.8001829699609,13.9248729798727,2.12469000991186,"Young"
"AK1",22.634754768915,16.1244374391575,-6.51031732975741,"Young"
"MT-ATP6",35.5753868340488,35.3387335850117,-0.236653249037154,"Young"
"CA2",32.840889851116,27.4634986845394,-5.37739116657653,"Young"
"ASS1",69.6074906763532,44.0205653826091,-25.5869252937441,"Young"
"CST3",31.9046309573071,31.5679130304704,-0.336717926836691,"Young"
"CSTA",44.3430233900014,148.756628919948,104.413605529946,"Young"
"JCHAIN",35.0315328515692,41.795326196468,6.76379334489884,"Young"
"HLA-B",22.4284591601714,59.2548687079166,36.8264095477452,"Young"
"HLA-DRB1",42.3944875276293,53.365027586867,10.9705400592377,"Young"
"MB",20.7345061838477,20.0814498760133,-0.653056307834426,"Young"
"COL1A1",115.563026491902,144.088766920089,28.5257404281862,"Young"
"COL3A1",110.027052767533,146.527980542226,36.5009277746925,"Young"
"COL4A1",92.6013307443103,87.985672734446,-4.6156580098643,"Young"
"CRYAB",29.4004079887338,32.6933058775246,3.29289788879076,"Young"
"KRT14",86.8204112416447,166.519156866826,79.6987456251815,"Young"
"LMNA",39.4578128858076,41.5492615159857,2.09144863017817,"Young"
"TNNC2",55.1120350194835,69.9793369190189,14.8673018995354,"Young"
"APOE",37.8712165620575,58.8835923019048,21.0123757398473,"Young"
"LRG1",40.7713977025492,33.5855141185216,-7.1858835840276,"Young"
"FN1",28.2529124679605,61.8134244150619,33.5605119471014,"Young"
"RBP4",37.3113693468862,42.6309732383407,5.31960389145449,"Young"
"TTR",43.7934068226999,39.4819943622546,-4.3114124604453,"Young"
"PPBP",39.1521586341234,45.0242016954291,5.87204306130576,"Young"
"TFRC",64.6137083148333,73.757117443258,9.14340912842471,"Young"
"FTL",113.599046155101,173.08082607671,59.481779921609,"Young"
"FTH1",69.4832886659118,89.275639707948,19.7923510420362,"Young"
"MT2A",28.305356408212,50.0813297155372,21.7759733073252,"Young"
"MT-ND1",23.6627608047134,38.2676121403599,14.6048513356465,"Young"
"MT-ND2",36.6261875746714,52.1047219257064,15.478534351035,"Young"
"MT-ND3",35.9196555814762,41.93959457378,6.01993899230377,"Young"
"MT-ND4",34.2373290881273,47.2891163539099,13.0517872657826,"Young"
"MT-ND5",54.6539718603573,50.1750312274574,-4.47894063289984,"Young"
"MT-ATP8",31.5255636342858,30.7415249254593,-0.784038708826561,"Young"
"CAT",31.5428351787571,47.6532317957131,16.110396616956,"Young"
"ALDOA",9.02094232658261,13.6232372218555,4.60229489527292,"Young"
"CSTB",20.1669311534355,52.0810663677687,31.9141352143333,"Young"
"ANXA1",23.192514882396,183.546014746328,160.353499863932,"Young"
"SOD2",59.8506448957204,41.8465627759375,-18.0040821197829,"Young"
"KRT1",64.5837452473862,65.2932083013067,0.709463053920544,"Young"
"VWF",25.841161877948,38.456925314401,12.615763436453,"Young"
"GAPDH",15.4900136418545,15.2120835053471,-0.27793013650739,"Young"
"HLA-A",34.5418687687808,32.1281690028589,-2.41369976592191,"Young"
"CAPNS1",10.7050458821752,9.12555646993736,-1.57948941223782,"Young"
"HSPB1",29.2552046566037,28.2678703559912,-0.987334300612513,"Young"
