pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,dedup_status,merged_into,overlap_jaccard,module,Description,geneID,Count,p.adjust,ID
GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT,4.1948309029669104e-8,3.7677208473920973e-6,4.852534562211981,15,31,GO:BP,9.038461538461538,kept,NA,NA,yellow,Multicellular Organismal Movement,ACTN3/COL6A1/MYH3/MYH7/MYH8/STAC3/SYNM/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TTN,15,3.7677208473920973e-6,GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT
GOBP_SKELETAL_MUSCLE_CONTRACTION,1.2666199551802572e-7,1.0428504297650784e-5,4.841379310344828,14,29,GO:BP,8.957142857142857,redundant,GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT,0.7971014492753623,yellow,Skeletal Muscle Contraction,ACTN3/MYH3/MYH7/MYH8/STAC3/SYNM/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TTN,14,1.0428504297650784e-5,GOBP_SKELETAL_MUSCLE_CONTRACTION
GOBP_MUSCLE_ORGAN_MORPHOGENESIS,1.5243042713442274e-7,1.1584712462216127e-5,6.685714285714285,10,15,GO:BP,18.91,kept,NA,NA,yellow,Muscle Organ Morphogenesis,COL3A1/MYH7/MYL3/MYLK/MYLK2/TCAP/TNNC1/TNNI1/TPM1/TTN,10,1.1584712462216127e-5,GOBP_MUSCLE_ORGAN_MORPHOGENESIS
GOBP_STRIATED_MUSCLE_ADAPTATION,3.712882336989322e-7,2.620234106389607e-5,6.267857142857142,10,16,GO:BP,15.75,kept,NA,NA,yellow,Striated Muscle Adaptation,ACTN3/LMNA/MYH7/MYOZ1/MYOZ2/PPP3CA/TCAP/TNNC1/TNNI1/TNNT1,10,2.620234106389607e-5,GOBP_STRIATED_MUSCLE_ADAPTATION
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,9.210973487143251e-7,6.0669612035316875e-5,3.627355623100304,17,47,GO:BP,5.478756476683937,redundant,GOBP_MUSCLE_ORGAN_DEVELOPMENT,0.5230352303523035,yellow,Skeletal Muscle Organ Development,ACTA1/ACTN3/COL6A1/DES/LMOD3/MYL3/MYL6/MYL6B/MYLK2/MYOM1/MYOZ1/MYOZ2/PLEC/PPP3CA/SMYD1/STAC3/SVIL,17,6.0669612035316875e-5,GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,1.1258134085792348e-6,6.951897797976775e-5,2.507142857142857,29,116,GO:BP,3.3314917127071824,kept,NA,NA,yellow,Membraneless Organelle Assembly,ACTA1/ACTN2/CHMP1B/CHMP5/EIF6/H3-3A/LMOD2/LMOD3/MAPRE2/MYBPC1/MYBPC2/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PLEC/RPL38/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,29,6.951897797976775e-5,GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,6.934357220016342e-6,4.0300852549271445e-4,3.6947368421052635,14,38,GO:BP,5.571428571428571,kept,NA,NA,yellow,Extracellular Matrix Organization,COL15A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL6A1/DPT/LAMA2/LAMB2/LAMC1/LUM/NID1/NID2,14,4.0300852549271445e-4,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
GOBP_NEUROMUSCULAR_PROCESS,9.872795982849462e-6,5.419068017252927e-4,3.6,14,39,GO:BP,5.345714285714286,kept,NA,NA,yellow,Neuromuscular Process,ACTN3/MYH3/MYH7/MYH8/STAC3/SYNM/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TTN,14,5.419068017252927e-4,GOBP_NEUROMUSCULAR_PROCESS
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,1.9212442703405207e-5,9.102481055251448e-4,3.424390243902439,14,41,GO:BP,4.944444444444445,kept,NA,NA,yellow,Actin Filament Based Movement,ACTN4/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL6/MYL6B/MYLK2/TCAP/TNNC1/TPM1/TTN,14,9.102481055251448e-4,GOBP_ACTIN_FILAMENT_BASED_MOVEMENT
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,1.9212442703405207e-5,9.102481055251448e-4,3.424390243902439,14,41,GO:BP,4.944444444444445,redundant,GOBP_MUSCLE_TISSUE_DEVELOPMENT,0.5622222222222222,yellow,Cardiac Muscle Tissue Development,ACTN2/JPH2/LMNA/MYH7/MYL3/MYLK2/NEB/PDLIM5/PLEC/TCAP/TNNC1/TNNI1/TPM1/TTN,14,9.102481055251448e-4,GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,1.9347378761161984e-5,9.102481055251448e-4,3.621428571428571,13,36,GO:BP,5.373868903111896,redundant,GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,0.8435374149659864,yellow,Actin Mediated Cell Contraction,MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL6/MYL6B/MYLK2/TCAP/TNNC1/TPM1/TTN,13,9.102481055251448e-4,GOBP_ACTIN_MEDIATED_CELL_CONTRACTION
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,2.981812582936716e-5,0.0013391049236097614,5.348571428571429,8,15,GO:BP,10.687411598302688,kept,NA,NA,yellow,Collagen Fibril Organization,COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL6A1/DPT/LUM,8,0.0013391049236097614,GOBP_COLLAGEN_FIBRIL_ORGANIZATION
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,5.2037760484199e-5,0.0022353611894951574,4.512857142857143,9,20,GO:BP,7.6729986431478965,kept,NA,NA,yellow,Negative Regulation Of Protein Containing Complex Disassembly,CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4/TRIM54,9,0.0022353611894951574,GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY
GOBP_MUSCLE_ADAPTATION,7.409382076787485e-5,0.0030501956216108478,3.677142857142857,11,30,GO:BP,5.460724676011637,kept,NA,NA,yellow,Muscle Adaptation,ACTN3/HMOX1/LMNA/MYH7/MYOZ1/MYOZ2/PPP3CA/TCAP/TNNC1/TNNI1/TNNT1,11,0.0030501956216108478,GOBP_MUSCLE_ADAPTATION
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,1.448716057915648e-4,0.005725325860882642,3.7142857142857144,10,27,GO:BP,5.526470588235294,redundant,GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,0.7452830188679245,yellow,Regulation Of Protein Depolymerization,ACTN2/CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4/TRIM54,10,0.005725325860882642,GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION,1.5531679200529822e-4,0.0059020380962013326,4.457142857142857,8,18,GO:BP,7.46930693069307,redundant,GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,0.7833333333333333,yellow,Negative Regulation Of Actin Filament Depolymerization,CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4,8,0.0059020380962013326,GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,1.9355335060972935e-4,0.00708261890379306,3.924223602484472,9,23,GO:BP,6.019189765458422,kept,NA,NA,yellow,Actin Filament Depolymerization,ACTN2/CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4,9,0.00708261890379306,GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION
GOBP_ACTIN_FILAMENT_ORGANIZATION,2.740548311668015e-4,0.009670220471171423,2.163025210084034,22,102,GO:BP,2.6563829787234043,kept,NA,NA,yellow,Actin Filament Organization,ACTA1/ACTN1/ACTN2/CAPZA1/CAPZA2/CAPZB/CORO6/LMOD2/LMOD3/NEB/PLEC/SVIL/SYNPO/SYNPO2/SYNPO2L/TCAP/TMOD1/TMOD4/TPM1/TPM2/TPM3/TTN,22,0.009670220471171423,GOBP_ACTIN_FILAMENT_ORGANIZATION
GOBP_MYOTUBE_CELL_DEVELOPMENT,2.8468350313709014e-4,0.009698872451705002,4.68,7,15,GO:BP,8.137931034482758,kept,NA,NA,yellow,Myotube Cell Development,ACTA1/ACTN3/COL6A1/LMOD3/PLEC/PPP3CA/STAC3,7,0.009698872451705002,GOBP_MYOTUBE_CELL_DEVELOPMENT
GOBP_STRIATED_MUSCLE_CONTRACTION,3.223411802290326e-4,0.010615769535542807,2.096883116883117,23,110,GO:BP,2.5574405310713626,redundant,GOBP_MUSCLE_CONTRACTION,0.6009501187648456,yellow,Striated Muscle Contraction,ACTN3/CALM1/JPH2/LMOD3/MYH3/MYH7/MYH8/MYL3/MYLK2/RPL27/RPL34/RPL38/STAC3/SYNM/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TTN,23,0.010615769535542807,GOBP_STRIATED_MUSCLE_CONTRACTION
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,3.7448650378738604e-4,0.011935247281997982,4.011428571428572,8,20,GO:BP,6.217821782178218,redundant,GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,0.8082191780821918,yellow,Negative Regulation Of Actin Filament Polymerization,CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4,8,0.011935247281997982,GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION
GOBP_PROTEIN_DEPOLYMERIZATION,5.315706701060184e-4,0.016412244439523316,3.235023041474654,10,31,GO:BP,4.464285714285714,redundant,GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,0.5939849624060151,yellow,Protein Depolymerization,ACTN2/CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4/TRIM54,10,0.016412244439523316,GOBP_PROTEIN_DEPOLYMERIZATION
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,9.271230629983481e-4,0.027757502613405087,3.0389610389610384,10,33,GO:BP,4.071739130434783,redundant,GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,0.6470588235294118,yellow,Regulation Of Protein Containing Complex Disassembly,ACTN2/CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4/TRIM54,10,0.027757502613405087,GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY
GOBP_HEART_MORPHOGENESIS,0.0010471042875902002,0.029721992180131065,3.223469387755102,9,28,GO:BP,4.423409269442263,kept,NA,NA,yellow,Heart Morphogenesis,MYH7/MYL3/MYLK2/SYNPO2L/TCAP/TNNC1/TNNI1/TPM1/TTN,9,0.029721992180131065,GOBP_HEART_MORPHOGENESIS
GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL,0.0010829875693165166,0.029721992180131065,3.8999999999999995,7,18,GO:BP,5.909090909090909,kept,NA,NA,yellow,Cellular Response To Acid Chemical,COL1A1/COL1A2/COL3A1/COL4A1/COL6A1/GCLM/PLEC,7,0.029721992180131065,GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL
GOBP_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,0.0010829875693165166,0.029721992180131065,3.8999999999999995,7,18,GO:BP,5.909090909090909,kept,NA,NA,yellow,Regulation Of Muscle Cell Differentiation,ACTN3/LAMA2/LAMB2/LAMC1/LMOD3/NID1/SMYD1,7,0.029721992180131065,GOBP_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,0.0012709607395406024,0.03393808677475987,2.757857142857143,11,40,GO:BP,3.558655345693987,kept,NA,NA,yellow,Negative Regulation Of Supramolecular Fiber Organization,CAPZA1/CAPZA2/CAPZB/HSPG2/LMOD2/LMOD3/PFDN1/SVIL/TMOD1/TMOD4/TRIM54,11,0.03393808677475987,GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,0.00153545694363153,0.03992188053441978,3.342857142857143,8,24,GO:BP,4.653465346534653,kept,NA,NA,yellow,Negative Regulation Of Protein Polymerization,CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4,8,0.03992188053441978,GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION
GOBP_CELL_SUBSTRATE_ADHESION,0.0016726870823243632,0.04237473941888387,2.34,14,60,GO:BP,2.872670807453416,kept,NA,NA,yellow,Cell Substrate Adhesion,ACTN1/ACTN2/ACTN3/ACTN4/BCAM/COL1A1/COL3A1/ITGA7/LAMB2/LAMC1/NID1/NID2/RNF7/VWF,14,0.04237473941888387,GOBP_CELL_SUBSTRATE_ADHESION
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH,0.0019461093486821954,0.048068900912450224,2.785714285714285,10,36,GO:BP,3.5961538461538463,kept,NA,NA,yellow,Regulation Of Actin Filament Length,ACTN2/CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/NEB/SVIL/TMOD1/TMOD4,10,0.048068900912450224,GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH
GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION,0.002158662771936494,0.050918148474579136,2.3703896103896107,13,55,GO:BP,2.912980420594634,NA,NA,NA,yellow,Regulation Of Actin Filament Organization,ACTN2/CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/SYNPO/SYNPO2/SYNPO2L/TMOD1/TMOD4/TPM1,13,0.050918148474579136,GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS,0.002177150714660615,0.050918148474579136,2.1394285714285717,16,75,GO:BP,2.567883976935174,NA,NA,NA,yellow,Regulation Of Actin Filament Based Process,ACTN2/CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/MYLK2/NEB/SVIL/SYNPO/SYNPO2/SYNPO2L/TMOD1/TMOD4/TNNC1/TPM1,16,0.050918148474579136,GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS
GOBP_CARDIAC_CELL_DEVELOPMENT,0.0022160732635697396,0.050918148474579136,3.5100000000000002,7,20,GO:BP,4.994694960212201,NA,NA,NA,yellow,Cardiac Cell Development,ACTN2/LMNA/NEB/PDLIM5/PLEC/TCAP/TTN,7,0.050918148474579136,GOBP_CARDIAC_CELL_DEVELOPMENT
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,0.002337965018485014,0.05139121525755738,2.2645161290322577,14,62,GO:BP,2.75,NA,NA,NA,yellow,Protein Containing Complex Disassembly,ACTN2/CALM1/CAPZA1/CAPZA2/CAPZB/CHMP1B/CHMP5/GABARAPL2/LMOD2/LMOD3/SVIL/TMOD1/TMOD4/TRIM54,14,0.05139121525755738,GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,0.0023406930026215406,0.05139121525755738,2.911520737327189,9,31,GO:BP,3.8141112618724557,NA,NA,NA,yellow,Negative Regulation Of Cytoskeleton Organization,CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4/TRIM54,9,0.05139121525755738,GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION
GOBP_REGULATION_OF_MUSCLE_CONTRACTION,0.0025677526761909704,0.05515086182775389,2.328061224489796,13,56,GO:BP,2.8437020422618344,NA,NA,NA,yellow,Regulation Of Muscle Contraction,ACTN3/CACNB3/CALM1/JPH2/MYH7/MYL3/MYLK2/TNNC1/TNNC2/TNNI1/TNNT1/TNNT3/TPM1,13,0.05515086182775389,GOBP_REGULATION_OF_MUSCLE_CONTRACTION
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,0.002851972925195273,0.05995211170410489,2.1489795918367345,15,70,GO:BP,2.574825174825175,NA,NA,NA,yellow,Regulation Of Muscle System Process,ACTN3/CACNB3/CALM1/JPH2/LMNA/MYH7/MYL3/MYLK2/PPP3CA/TNNC1/TNNC2/TNNI1/TNNT1/TNNT3/TPM1,15,0.05995211170410489,GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS
GOBP_RESPONSE_TO_MECHANICAL_STIMULUS,0.0030472592340084247,0.06239616439085554,3.342857142857143,7,21,GO:BP,4.635467980295567,NA,NA,NA,yellow,Response To Mechanical Stimulus,COL1A1/COL6A1/MAP2K4/MAPK3/PLEC/TCAP/TTN,7,0.06239616439085554,GOBP_RESPONSE_TO_MECHANICAL_STIMULUS
GOBP_CARTILAGE_DEVELOPMENT,0.0031126314843625577,0.06239616439085554,3.7607142857142852,6,16,GO:BP,5.547058823529412,NA,NA,NA,yellow,Cartilage Development,BGN/COL1A1/COL3A1/COL6A1/LUM/MAPK3,6,0.06239616439085554,GOBP_CARTILAGE_DEVELOPMENT
GOBP_CELLULAR_COMPONENT_DISASSEMBLY,0.003157700627067588,0.06239616439085554,1.9246753246753245,19,99,GO:BP,2.258115183246073,NA,NA,NA,yellow,Cellular Component Disassembly,ACTN2/CALM1/CAPZA1/CAPZA2/CAPZB/CHMP1B/CHMP5/COL6A1/GABARAPL2/LAMC1/LMOD2/LMOD3/MAPRE2/NPLOC4/RNF7/SVIL/TMOD1/TMOD4/TRIM54,19,0.06239616439085554,GOBP_CELLULAR_COMPONENT_DISASSEMBLY
GOBP_CARDIOCYTE_DIFFERENTIATION,0.003559380296241732,0.06895426926836924,2.971428571428572,8,27,GO:BP,3.9124544033350706,NA,NA,NA,yellow,Cardiocyte Differentiation,ACTN2/LMNA/MAPK3/NEB/PDLIM5/PLEC/TCAP/TTN,8,0.06895426926836924,GOBP_CARDIOCYTE_DIFFERENTIATION
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,0.004416488633211256,0.08233001452099473,3.539495798319327,6,17,GO:BP,5.040106951871658,NA,NA,NA,yellow,Regulation Of Calcium Mediated Signaling,ACTN3/CALM1/MYOZ1/MYOZ2/PPP3CA/PPP3R1,6,0.08233001452099473,GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS,0.004416488633211256,0.08233001452099473,3.539495798319327,6,17,GO:BP,5.040106951871658,NA,NA,NA,yellow,Sensory Perception Of Light Stimulus,CLIC5/COL1A1/CRYBG3/LAMB2/LUM/PITPNA,6,0.08233001452099473,GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS
GOBP_CARDIAC_MUSCLE_CONTRACTION,0.005104956919525215,0.09340180437946136,2.347112462006079,11,47,GO:BP,2.8559463986599667,NA,NA,NA,yellow,Cardiac Muscle Contraction,CALM1/JPH2/MYH7/MYL3/MYLK2/TCAP/TNNC1/TNNI1/TNNI2/TPM1/TTN,11,0.09340180437946136,GOBP_CARDIAC_MUSCLE_CONTRACTION
GOBP_REGULATION_OF_MUSCLE_ADAPTATION,0.005401190827820442,0.09702502796157449,3.052173913043478,7,23,GO:BP,4.051724137931035,NA,NA,NA,yellow,Regulation Of Muscle Adaptation,ACTN3/LMNA/MYH7/PPP3CA/TNNC1/TNNI1/TNNT1,7,0.09702502796157449,GOBP_REGULATION_OF_MUSCLE_ADAPTATION
HALLMARK_MYOGENESIS,1.3619784755749964e-17,4.903122512069987e-16,4.089320388349515,42,103,Hallmark,7.520491803278689,kept,NA,NA,yellow,Myogenesis,ACTA1/ACTN2/ACTN3/AGL/COL15A1/COL1A1/COL3A1/COL4A2/COL6A2/COL6A3/DES/GABARAPL2/HSPB8/ITGA7/LAMA2/MYH1/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL3/MYL6B/MYLK/MYOM1/MYOM2/MYOZ1/PDLIM7/PVALB/SPEG/SSPN/SVIL/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM2/TPM3,42,4.903122512069987e-16,HALLMARK_MYOGENESIS
