row,module,n,n_pos,n_neg,auc,ci_lo,ci_hi,perm_p,q_bh,sig,border_color,border_lty,border_lw
Pre vs Post (Young),brown,30,15,15,0.7333333333333334,0.5433398655320495,0.9233268011346171,0.018,0.12266666666666666,p<.05,black,dashed,2.4
Pre vs Post (Young),yellow,30,15,15,0.7333333333333334,0.5420604337844197,0.9246062328822469,0.046,0.16984615384615384,p<.05,black,dashed,2.4
Pre vs Post (Young),green,30,15,15,0.728888888888889,0.5313705265023305,0.9264072512754473,0.016,0.12266666666666666,p<.05,black,dashed,2.4
Pre vs Post (Young),red,30,15,15,0.6133333333333334,0.4032618490085734,0.8234048176580931,0.097,0.3325714285714286,ns,grey80,solid,0.3
Pre vs Post (Young),black,30,15,15,0.5422222222222223,0.31528325812842556,0.7691611863160188,0.648,0.7679999999999999,ns,grey80,solid,0.3
Pre vs Post (Young),pink,30,15,15,0.6266666666666667,0.41729296738809674,0.8360403659452367,0.245,0.4551111111111111,ns,grey80,solid,0.3
Pre vs Post (Old),turquoise,30,15,15,0.5555555555555556,0.3360465028491477,0.7750646082619634,0.597,0.7679999999999999,ns,grey80,solid,0.3
Pre vs Post (Old),blue,30,15,15,0.7333333333333333,0.5424859580035033,0.9241807086631633,0.032,0.132,p<.05,black,dashed,2.4
Pre vs Post (Old),brown,30,15,15,0.5377777777777778,0.3191594327462789,0.7563961228092767,0.665,0.7679999999999999,ns,grey80,solid,0.3
Pre vs Post (Old),yellow,30,15,15,0.6133333333333332,0.40018821849623926,0.8264784481704274,0.194,0.4429090909090909,ns,grey80,solid,0.3
Pre vs Post (Old),green,30,15,15,0.45777777777777773,0.23923382224937895,0.6763217333061765,0.687,0.7679999999999999,ns,grey80,solid,0.3
Pre vs Post (Old),red,30,15,15,0.5155555555555554,0.2988046071689507,0.7323065039421603,0.901,0.9201702127659575,ns,grey80,solid,0.3
Pre vs Post (Old),black,30,15,15,0.6044444444444443,0.3949413503699631,0.8139475385189258,0.275,0.4714285714285714,ns,grey80,solid,0.3
Pre vs Post (Old),pink,30,15,15,0.5644444444444445,0.3485202668332924,0.7803686220555964,0.561,0.7679999999999999,ns,grey80,solid,0.3
LBM (High vs Low),turquoise,30,15,15,0.4933333333333333,0.27335563893369963,0.7133110277329671,0.945,0.945,ns,grey80,solid,0.3
LBM (High vs Low),blue,30,15,15,0.648888888888889,0.444492881549088,0.8532848962286896,0.171,0.432,ns,grey80,solid,0.3
LBM (High vs Low),brown,30,15,15,0.5422222222222222,0.3120815993238745,0.7723628451205699,0.688,0.7679999999999999,ns,grey80,solid,0.3
LBM (High vs Low),yellow,30,15,15,0.5511111111111111,0.3280747957652089,0.7741474264570135,0.645,0.7679999999999999,ns,grey80,solid,0.3
LBM (High vs Low),green,30,15,15,0.6222222222222223,0.41101854629383894,0.8334258981506055,0.233,0.4551111111111111,ns,grey80,solid,0.3
LBM (High vs Low),red,30,15,15,0.5466666666666666,0.3282467499447458,0.7650865833885875,0.71,0.7745454545454544,ns,grey80,solid,0.3
LBM (High vs Low),black,30,15,15,0.6355555555555554,0.42343003572964066,0.8476810753814704,0.203,0.4429090909090909,ns,grey80,solid,0.3
LBM (High vs Low),pink,30,15,15,0.648888888888889,0.4417272663875232,0.8560505113902545,0.157,0.41866666666666663,ns,grey80,solid,0.3
