contrast,gene,average_intensity,logFC,adj.P.Val,pi_score,sig_pi,direction
Training_Old,MYBPC1,27.979271684105505,0.15216806322155918,0.9161326329507468,0.9261056558342816,0,NS
Training_Old,PLIN5,17.483932420844976,-0.3914917701847713,0.5909265016025429,0.3653461660706493,0,NS
Training_Old,SPTBN1,20.409766083417672,0.1574222403600487,0.6615935652431485,0.7150089421408216,0,NS
Training_Old,TIAL1,20.421674988389867,0.11490418869624364,0.8322638465093714,0.87043705411012,0,NS
Training_Old,SET,19.987264136055593,0.29911703020484026,0.5287867475684075,0.3982919372408788,0,NS
Training_Old,AMPD3,24.43174839384827,0.00620368891922495,0.9954864063133828,0.9998692940501596,0,NS
Training_Old,FABP5,22.87911926835669,-0.15866410465412883,0.7752315408175143,0.7885070501019377,0,NS
Training_Old,ANK2,22.64549826278156,-0.02890262484407557,0.9812174171683822,0.9940634667706932,0,NS
Training_Old,CAP1,21.27541454145892,0.2855241837573601,0.5211750061527236,0.4110042312478479,0,NS
Training_Old,EWSR1,17.125274749561964,-0.168911895366886,0.5541385331267451,0.6283581911265791,0,NS
Training_Old,TAGLN,21.755578840205818,0.5880298793967498,0.4571502931492847,0.12691959102867947,0,NS
Training_Old,OGDH,25.110862159893188,-0.00189487400804111,0.9954864063133828,0.9999623643691188,0,NS
Training_Old,COX6A2,23.132633039662387,0.17389169388107462,0.8760527778984114,0.862001845566402,0,NS
Training_Old,ALDH6A1,19.82591405032067,-0.5220107396191764,0.21596575651249608,0.03615485218642882,-1,Down
Training_Old,BDH1,20.03636189225677,-0.32050089157936057,0.5948819335268644,0.44549858964698447,0,NS
Training_Old,COL7A1,20.12223595623488,-0.14534640196269422,0.8638644081028736,0.8687902639620343,0,NS
Training_Old,RPL18A,19.185646652492515,0.08059522606956548,0.9395802936264872,0.966981144141245,0,NS
Training_Old,CACNB1,22.688696105653616,-0.0352187970280724,0.9411232628892084,0.9865112548496988,0,NS
Training_Old,MAP2K1,21.59743553216879,0.04687360747189473,0.9022036585020758,0.9704639940147816,0,NS
Training_Old,FKBP4,20.399634406566047,-0.08819588847202553,0.8760527778984114,0.9235943496209134,0,NS
Training_Old,RPL6,20.674275128840243,0.26847953713520667,0.7076078922841695,0.6071926686234086,0,NS
Training_Old,AKAP12,16.152421302959084,0.2726845939113396,0.5325118116072927,0.43557038074706816,0,NS
Training_Old,SLC25A11,24.417483915033273,0.04492425887710993,0.959308930336594,0.9861275153634216,0,NS
