gene,pathway,go_slim_id,pattern,logFC_Training_Young,logFC_Training_Old
MSRB3,Other,OTHER,Concordant Down,-1.2055,-0.0137
PEBP4,Other,OTHER,Concordant Down,-0.6077,-0.4411
SNU13,Transcription & Chromatin,GO:0016071,Concordant Down,-0.5089,-0.1857
WBP2,Transcription & Chromatin,GO:0006325,Concordant Down,-0.382,-0.0344
MICU2,Transport,GO:0055085,Concordant Down,-0.5505,-0.0831
SLC20A2,Transport,GO:0055085,Concordant Down,-1.0441,-0.0389
SYNGR2,Transport,GO:0061024,Concordant Down,-0.2713,-0.4791
TOR1AIP1,Transport,GO:0061024,Concordant Down,-0.6167,-0.2102
UBE2I,Transport,GO:0006913,Concordant Down,-0.5001,-0.2243
GPT2,Amino Acid & Cofactor Metabolism,GO:0006520,Discordant,1.8669,-0.5924
COL6A1,Carbohydrate & Energy Metabolism,GO:0005975,Discordant,-0.7339,0.1198
NDUFV2,Carbohydrate & Energy Metabolism,GO:0006091,Discordant,-0.4516,0.0309
MYL2,Circulatory System,GO:0003013,Discordant,-0.8502,0.219
MYL3,Circulatory System,GO:0003013,Discordant,-0.8047,0.0476
PREX1,Cytoskeleton & Motility,GO:0007010,Discordant,-0.5886,0.4448
XIRP1,Cytoskeleton & Motility,GO:0007010,Discordant,-0.9143,0.4334
CAV2,DNA & Cell Cycle,GO:0140014,Discordant,-0.9511,0.3582
RPA2,DNA & Cell Cycle,GO:0032200,Discordant,-0.9608,0.0226
UBE2B,DNA & Cell Cycle,GO:0006281,Discordant,-0.6203,0.0344
DCTN5,Development,GO:0048856,Discordant,0.544,-0.1373
COL1A1,ECM & Adhesion,GO:0030198,Discordant,-1.0776,0.0287
COL3A1,ECM & Adhesion,GO:0042060,Discordant,-1.1307,0.3484
LAMC1,ECM & Adhesion,GO:0034330,Discordant,-0.8156,0.0149
NECTIN1,ECM & Adhesion,GO:0034330,Discordant,2.5396,-0.3402
NID1,ECM & Adhesion,GO:0030198,Discordant,-0.7482,0.1152
CTSG,Immune & Inflammation,GO:0098542,Discordant,-2.0981,0.0989
FTH1,Immune & Inflammation,GO:0002376,Discordant,-0.6764,0.121
DHRS11,Lipid Metabolism,GO:0006629,Discordant,-0.5968,0.1789
NDUFA6,Mitochondria & Energy,GO:0007005,Discordant,-0.5088,0.1307
NDUFS7,Mitochondria & Energy,GO:0007005,Discordant,-0.5399,0.0465
CHDH,Other,OTHER,Discordant,-0.4593,0.3919
CILP,Other,OTHER,Discordant,-0.7976,0.243
TES,Other,OTHER,Discordant,-0.5997,0.3648
TMEM143,Other,OTHER,Discordant,-0.4931,0.0541
COPS7B,Protein Homeostasis,GO:0065003,Discordant,0.8259,-0.4562
MUSTN1,Protein Homeostasis,GO:0009100,Discordant,-0.0796,0.7718
PLEKHF1,Protein Homeostasis,GO:0006914,Discordant,-0.8074,0.046
SLC25A46,Protein Homeostasis,GO:0006914,Discordant,0.8788,-0.0513
ACP1,Transcription & Chromatin,GO:0006325,Discordant,-0.3586,0.0364
CAPRIN1,Transcription & Chromatin,GO:0016071,Discordant,-0.5687,0.2791
FLT1,Transcription & Chromatin,GO:0006325,Discordant,-1.6629,0.0429
RBM3,Transcription & Chromatin,GO:0016071,Discordant,-0.6177,0.0327
SSU72,Transcription & Chromatin,GO:0016071,Discordant,-0.9348,0.0156
UBN2,Transcription & Chromatin,GO:0006325,Discordant,-0.8972,0.2348
RPL24,Translation & Ribosome,GO:0002181,Discordant,-0.1891,0.3757
UTP15,Translation & Ribosome,GO:0042254,Discordant,-1.1285,0.113
ACTN2,Transport,GO:0072659,Discordant,-0.7901,0.4934
EMD,Transport,GO:0006913,Discordant,-0.4257,0.0457
TBC1D24,Transport,GO:0016192,Discordant,0.0526,-0.4748
TOMM22,Transport,GO:0006886,Discordant,-0.747,0.1648
