gene,pattern,sort_key,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction
RPS11,Concordant Up,0.4916,0.4916,0.1915,0.002607,0.581514,0.369885
TUBB6,Concordant Up,0.4764,0.4764,0.2367,0.041123,0.579712,0.706356
MSN,Concordant Up,0.4705,0.4705,0.2478,0.001705,0.299026,0.571751
HSPB7,Concordant Up,0.4577,0.4577,0.2023,0.044546,0.676398,0.652187
ABCE1,Concordant Up,0.4528,0.4528,0.1935,0.028358,0.665408,0.598276
GLIPR2,Concordant Up,0.4474,0.4474,0.606,0.298948,0.016141,0.919928
TARS1,Concordant Up,0.4435,0.4435,0.1533,0.049039,0.764236,0.502177
FARSA,Concordant Up,0.4429,0.4429,0.0448,0.04272,0.98567,0.245461
DYNLT1,Concordant Up,0.4339,0.4339,0.2539,0.009194,0.264528,0.723366
USP9X,Concordant Up,0.416,0.416,0.1192,0.017888,0.767045,0.296478
DYNC1H1,Concordant Up,0.408,0.408,0.1197,0.004029,0.783538,0.268332
CAMK2D,Concordant Up,0.4039,0.4039,0.5425,0.128751,0.015099,0.908389
CBR1,Concordant Up,0.4004,0.4004,0.2351,0.030897,0.420306,0.796524
CALU,Concordant Up,0.3894,0.3894,0.3073,0.046739,0.199013,0.956496
ARHGAP1,Concordant Up,0.388,0.388,0.4722,0.126277,0.032159,0.964828
CCT6A,Concordant Up,0.3878,0.3878,0.1656,0.014546,0.622932,0.549759
PSME1,Concordant Up,0.3726,0.3726,0.1161,0.021515,0.818575,0.424141
DYNC1I2,Concordant Up,0.3643,0.3643,0.0893,0.027081,0.898209,0.361881
CCDC137,Concordant Down,1.6349,-1.6349,-0.2155,1e-6,0.902426,0.004064
IFT81,Concordant Down,1.4638,-1.4638,-0.0878,0,0.983188,0.0015
COL4A1,Concordant Down,1.3968,-1.3968,-0.0789,1.2e-5,0.984333,0.002523
COL1A2,Concordant Down,1.2317,-1.2317,-0.0828,0.003149,0.987199,0.054985
MYH3,Concordant Down,1.2199,-1.2199,-0.4081,0.003406,0.672077,0.286149
MSRB3,Concordant Down,1.2055,-1.2055,-0.0137,0.004227,0.999085,0.00799
SLC20A2,Concordant Down,1.0441,-1.0441,-0.0389,0.01642,0.996946,0.095884
COL4A2,Concordant Down,0.9791,-0.9791,-0.0435,0.002154,0.994763,0.040516
FAM185A,Concordant Down,0.8719,-0.8719,-0.3236,0.030424,0.485238,0.391869
FBN1,Concordant Down,0.8338,-0.8338,-0.3804,0.003677,0.442766,0.471828
CD81,Concordant Down,0.8205,-0.8205,-0.1565,0.005432,0.874663,0.11739
ADH1B,Concordant Down,0.8158,-0.8158,-0.6933,0.006515,0.037392,0.962991
SORBS1,Concordant Down,0.8092,-0.8092,-0.3001,0.048709,0.581649,0.453986
ART3,Concordant Down,0.7703,-0.7703,-0.431,7.92e-4,0.18961,0.574026
MYLK,Concordant Down,0.7665,-0.7665,-0.7396,0.004589,0.006135,0.998051
H1-0,Concordant Down,0.6743,-0.6743,-0.2363,0.001481,0.635632,0.283042
TOR1AIP1,Concordant Down,0.6167,-0.6167,-0.2102,0.0412,0.693209,0.42945
PEBP4,Concordant Down,0.6077,-0.6077,-0.4411,0.042873,0.168634,0.904631
NDUFA3,Concordant Down,0.6028,-0.6028,-0.0925,0.007026,0.94842,0.154233
COX7B,Concordant Down,0.5736,-0.5736,-0.03,0.035657,0.995928,0.180909
MICU2,Concordant Down,0.5505,-0.5505,-0.0831,0.036368,0.943938,0.198281
MT-CO3,Concordant Down,0.5278,-0.5278,-0.0733,0.040729,0.967706,0.256441
MT-ND4,Concordant Down,0.5116,-0.5116,-0.2174,0.046171,0.700618,0.631068
SNU13,Concordant Down,0.5089,-0.5089,-0.1857,0.008102,0.656987,0.388773
MAOA,Concordant Down,0.5057,-0.5057,-0.1941,0.017322,0.69977,0.497731
NFIC,Concordant Down,0.5049,-0.5049,-0.129,0.045076,0.873969,0.380755
UBE2I,Concordant Down,0.5001,-0.5001,-0.2243,0.031438,0.638183,0.630168
GNAS,Concordant Down,0.4809,-0.4809,-0.3094,0.005278,0.193136,0.789216
MGST3,Concordant Down,0.4094,-0.4094,-0.1511,0.045878,0.779695,0.568995
MAOB,Concordant Down,0.4089,-0.4089,-0.1829,0.031355,0.644192,0.634058
SYNE2,Concordant Down,0.388,-0.388,-0.4305,0.114073,0.038032,0.990936
ANXA3,Concordant Down,0.3847,-0.3847,-0.5737,0.325739,0.01238,0.859175
WBP2,Concordant Down,0.382,-0.382,-0.0344,0.033764,0.987326,0.189124
SLC25A42,Concordant Down,0.3609,-0.3609,-0.7574,0.846408,0.031184,0.826442
SYNGR2,Concordant Down,0.2713,-0.2713,-0.4791,0.525499,0.037071,0.792651
ASS1,Concordant Down,0.2462,-0.2462,-0.6464,0.841929,0.037467,0.65699
ALDH6A1,Concordant Down,0.2031,-0.2031,-0.5216,0.723033,0.036071,0.557876
PCYT2,Concordant Down,0.0878,-0.0878,-0.4805,0.950332,0.025479,0.312964
NECTIN1,Discordant,2.5396,2.5396,-0.3402,1.5e-4,0.796194,3e-5
GPT2,Discordant,1.8669,1.8669,-0.5924,5.3e-4,0.061142,1e-6
SLC25A46,Discordant,0.8788,0.8788,-0.0513,5.7e-4,0.979817,8.97e-4
COPS7B,Discordant,0.8259,0.8259,-0.4562,0.039744,0.219019,6.11e-4
DCTN5,Discordant,0.544,0.544,-0.1373,0.030388,0.848099,0.014906
TBC1D24,Discordant,0.0526,0.0526,-0.4748,0.989707,0.028882,0.211047
MUSTN1,Discordant,-0.0796,-0.0796,0.7718,0.982096,0.043355,0.088317
RPL24,Discordant,-0.1891,-0.1891,0.3757,0.699951,0.151231,0.041667
ACP1,Discordant,-0.3586,-0.3586,0.0364,0.04267,0.986575,0.098711
EMD,Discordant,-0.4257,-0.4257,0.0457,0.028974,0.980992,0.059887
NDUFV2,Discordant,-0.4516,-0.4516,0.0309,0.030325,0.993298,0.092982
CHDH,Discordant,-0.4593,-0.4593,0.3919,0.295913,0.202024,0.012611
TMEM143,Discordant,-0.4931,-0.4931,0.0541,0.039111,0.982133,0.085491
NDUFA6,Discordant,-0.5088,-0.5088,0.1307,0.028377,0.882919,0.025736
NDUFS7,Discordant,-0.5399,-0.5399,0.0465,0.030042,0.988581,0.083067
CAPRIN1,Discordant,-0.5687,-0.5687,0.2791,0.147531,0.643585,0.030816
PREX1,Discordant,-0.5886,-0.5886,0.4448,0.053062,0.153173,3.8e-4
DHRS11,Discordant,-0.5968,-0.5968,0.1789,0.109306,0.790308,0.035907
TES,Discordant,-0.5997,-0.5997,0.3648,0.266665,0.485823,0.040366
RBM3,Discordant,-0.6177,-0.6177,0.0327,0.049079,0.995938,0.128879
UBE2B,Discordant,-0.6203,-0.6203,0.0344,0.02555,0.993382,0.054117
FTH1,Discordant,-0.6764,-0.6764,0.121,0.03501,0.945272,0.052891
COL6A1,Discordant,-0.7339,-0.7339,0.1198,0.044137,0.955547,0.068074
TOMM22,Discordant,-0.747,-0.747,0.1648,0.002147,0.862622,0.002855
NID1,Discordant,-0.7482,-0.7482,0.1152,0.021734,0.950402,0.033896
ACTN2,Discordant,-0.7901,-0.7901,0.4934,0.168305,0.569347,0.030806
CILP,Discordant,-0.7976,-0.7976,0.243,0.14844,0.626583,0.035747
MYL3,Discordant,-0.8047,-0.8047,0.0476,0.028902,0.994036,0.091848
PLEKHF1,Discordant,-0.8074,-0.8074,0.046,2.48e-4,0.982567,6.12e-4
LAMC1,Discordant,-0.8156,-0.8156,0.0149,0.005905,0.999262,0.040183
MYL2,Discordant,-0.8502,-0.8502,0.219,0.010853,0.845849,0.009435
UBN2,Discordant,-0.8972,-0.8972,0.2348,0.036521,0.872458,0.031511
XIRP1,Discordant,-0.9143,-0.9143,0.4334,5.11e-4,0.328903,8e-6
SSU72,Discordant,-0.9348,-0.9348,0.0156,1e-6,0.998094,1.9e-5
CAV2,Discordant,-0.9511,-0.9511,0.3582,0.080358,0.406001,0.007269
RPA2,Discordant,-0.9608,-0.9608,0.0226,0.00179,0.997403,0.004663
COL1A1,Discordant,-1.0776,-1.0776,0.0287,0.004646,0.998286,0.035167
UTP15,Discordant,-1.1285,-1.1285,0.113,0.002219,0.9706,0.010264
COL3A1,Discordant,-1.1307,-1.1307,0.3484,0.002345,0.709089,9.25e-4
FLT1,Discordant,-1.6629,-1.6629,0.0429,4e-6,0.996468,3.07e-4
CTSG,Discordant,-2.0981,-2.0981,0.0989,0.001368,0.978241,0.001287
