"pathway","pval","padj","foldEnrichment","overlap","size","overlapGenes","database","odds_ratio","quadrant","pathway_label","ID","p.adjust","GeneRatio","geneID","direction"
"REACTOME_NEUTROPHIL_DEGRANULATION",6.76647504216793e-07,1.66895916173691e-05,1.62196489001692,73,160,NA,"Reactome",2.30504149469667,"Concordant Up","Neutrophil Degranulation","REACTOME_NEUTROPHIL_DEGRANULATION",1.66895916173691e-05,"73/591","ACTR2/AGL/ALAD/ALDOC/ANXA2/AP1M1/APEH/APRT/ARPC5/CAP1/CCT2/CCT8/CD36/CKAP4/CPPED1/CSNK2B/CST3/CTSB/DBNL/DYNC1H1/DYNC1LI1/DYNLT1/EEF1A1/GPI/GSN/HSP90AA1/HSP90AB1/HSPA8/HUWE1/IQGAP1/JUP/KPNB1/LAMP1/LAMTOR2/LGALS3/MAPK1/MIF/MVP/NME2/PA2G4/PADI2/PFKL/PKM/PPBP/PPIA/PRDX4/PSMA2/PSMA5/PSMB1/PSMB7/PSMC2/PSMC3/PSMD1/PSMD11/PSMD14/PSMD2/PTGES2/RAB5C/RAB6A/RAP1B/S100A11/S100A8/S100A9/SERPINB1/SPTAN1/TMEM63A/TUBB/TUBB4B/TXNDC5/VAPA/VAT1/VCL/VCP","Concordant Up"
"REACTOME_HEDGEHOG_LIGAND_BIOGENESIS",1.59288461174885e-06,2.47693557126946e-05,2.40484721807505,23,34,NA,"Reactome",5.51808578745198,"Concordant Up","Hedgehog Ligand Biogenesis","REACTOME_HEDGEHOG_LIGAND_BIOGENESIS",2.47693557126946e-05,"23/591","P4HB/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/VCP","Concordant Up"
"REACTOME_UCH_PROTEINASES",1.22006085564742e-06,2.47693557126946e-05,2.33881022352836,25,38,NA,"Reactome",5.08630062516988,"Concordant Up","Uch Proteinases","REACTOME_UCH_PROTEINASES",2.47693557126946e-05,"25/591","PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/UCHL1/UCHL3/UCHL5/USP15","Concordant Up"
"REACTOME_SIGNALING_BY_HEDGEHOG",1.22808860551302e-06,2.47693557126946e-05,2.19350541815171,29,47,NA,"Reactome",4.27718465796758,"Concordant Up","Signaling By Hedgehog","REACTOME_SIGNALING_BY_HEDGEHOG",2.47693557126946e-05,"29/591","P4HB/PRKACA/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/TUBA1B/TUBA4A/TUBB2A/TUBB4B/TUBB6/VCP","Concordant Up"
"REACTOME_SIGNALING_BY_INTERLEUKINS",1.34922587115012e-06,2.47693557126946e-05,1.77749576988156,51,102,NA,"Reactome",2.70185185185185,"Concordant Up","Signaling By Interleukins","REACTOME_SIGNALING_BY_INTERLEUKINS",2.47693557126946e-05,"51/591","ANXA1/ANXA2/BOLA2/CANX/CD36/CFL1/F13A1/FSCN1/HSP90AA1/HSP90B1/HSPA8/HSPA9/IL18/MAP2K1/MAP2K3/MAPK1/MIF/MSN/P4HB/PAK2/PPIA/PPP2CA/PPP2R1A/PRKACA/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/PSME2/RAP1B/RPLP0/TCP1/USP14/VIM","Concordant Up"
"REACTOME_CIRCADIAN_CLOCK",1.77685311584701e-06,2.63143485251628e-05,2.23220399008382,27,43,NA,"Reactome",4.47007978723404,"Concordant Up","Circadian Clock","REACTOME_CIRCADIAN_CLOCK",2.63143485251628e-05,"27/591","CARM1/CSNK2A1/CSNK2B/NAMPT/PPP1CA/PPP1CB/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8","Concordant Up"
"REACTOME_MAPK6_MAPK4_SIGNALING",2.11897812637366e-06,2.86522694479221e-05,2.25438487887417,26,41,NA,"Reactome",4.58643067846608,"Concordant Up","Mapk6 Mapk4 Signaling","REACTOME_MAPK6_MAPK4_SIGNALING",2.86522694479221e-05,"26/591","HSPB1/PAK1/PAK2/PRKACA/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/SEPTIN7","Concordant Up"
"REACTOME_MAPK_FAMILY_SIGNALING_CASCADES",2.88544272640543e-06,3.73905286630037e-05,1.84174260493752,43,83,NA,"Reactome",2.88366788321168,"Concordant Up","Mapk Family Signaling Cascades","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES",3.73905286630037e-05,"43/591","CALM1/CAMK2B/CAMK2D/FNTA/HSPB1/IQGAP1/LAMTOR2/MAP2K1/MAPK1/PAK1/PAK2/PPP1CB/PPP2CA/PPP2R1A/PRKACA/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/RAP1B/SEPTIN7/SPTAN1/SPTBN1/TLN1/VCL/YWHAB","Concordant Up"
"REACTOME_FORMATION_OF_PARAXIAL_MESODERM",4.48878318928044e-06,4.65337190622072e-05,2.4082200753234,21,31,NA,"Reactome",5.52631578947368,"Concordant Up","Formation Of Paraxial Mesoderm","REACTOME_FORMATION_OF_PARAXIAL_MESODERM",4.65337190622072e-05,"21/591","PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8","Concordant Up"
"REACTOME_GASTRULATION",4.48878318928044e-06,4.65337190622072e-05,2.4082200753234,21,31,NA,"Reactome",5.52631578947368,"Concordant Up","Gastrulation","REACTOME_GASTRULATION",4.65337190622072e-05,"21/591","PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8","Concordant Up"
"REACTOME_PCP_CE_PATHWAY",4.94225340641744e-06,4.87977395395306e-05,2.22186971235195,25,40,NA,"Reactome",4.40223792697291,"Concordant Up","Pcp Ce Pathway","REACTOME_PCP_CE_PATHWAY",4.87977395395306e-05,"25/591","AP2A1/AP2B1/AP2M1/CLTC/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8","Concordant Up"
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS",5.02098927737936e-06,4.87977395395306e-05,1.98838509851157,33,59,NA,"Reactome",3.37551695616212,"Concordant Up","Separation Of Sister Chromatids","REACTOME_SEPARATION_OF_SISTER_CHROMATIDS",4.87977395395306e-05,"33/591","DYNC1H1/DYNC1I2/DYNC1LI1/MAPRE1/PPP2CA/PPP2R1A/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/RPS27/TUBA1B/TUBA4A/TUBB2A/TUBB4B/TUBB6","Concordant Up"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",5.91218971476877e-06,5.4677031319558e-05,2.24525781458723,24,38,NA,"Reactome",4.52305366591081,"Concordant Up","Abc Family Proteins Mediated Transport","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",5.4677031319558e-05,"24/591","EIF2S1/EIF2S2/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/VCP","Concordant Up"
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3",9.65587026518365e-06,6.98366430807468e-05,2.33296319796954,21,32,NA,"Reactome",5.02057416267943,"Concordant Up","Transcriptional Regulation By Runx3","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3",6.98366430807468e-05,"21/591","PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8","Concordant Up"
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION",9.60170910155377e-06,6.98366430807468e-05,1.77749576988156,43,86,NA,"Reactome",2.67700729927007,"Concordant Up","Cellular Response To Starvation","REACTOME_CELLULAR_RESPONSE_TO_STARVATION",6.98366430807468e-05,"43/591","ATP6V1A/EIF2S1/EIF2S2/GCN1/LAMTOR2/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL26/RPL28/RPL29/RPL30/RPL36/RPL36AL/RPL37A/RPL3L/RPL4/RPL6/RPL7/RPL8/RPLP0/RPS11/RPS13/RPS14/RPS15A/RPS16/RPS17/RPS19/RPS2/RPS24/RPS27/RPS28/RPS3/RPS4X/RPS6/RPS8","Concordant Up"
"REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY",1.37173321609277e-05,9.69565977738299e-05,2.20985960579869,23,37,NA,"Reactome",4.32696177062374,"Concordant Up","Regulation Of Pten Stability And Activity","REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY",9.69565977738299e-05,"23/591","CSNK2A1/CSNK2B/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8","Concordant Up"
"REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION",1.44282524017119e-05,9.94058425751043e-05,2.88843062605753,13,16,NA,"Reactome",11.29815455594,"Concordant Up","Antigen Processing Ub ATP Independent Proteasomal Degradation","REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION",9.94058425751043e-05,"13/591","PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSME1/PSME2","Concordant Up"
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",1.52012784036485e-05,0.000100587182628398,1.50099642789998,76,180,NA,"Reactome",1.99507094846901,"Concordant Up","Metabolism Of Amino Acids And Derivatives","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",0.000100587182628398,"76/591","ADI1/AGMAT/AIMP1/CARNS1/CKMT2/DARS1/ECHS1/GLUD1/GRHPR/GSR/HIBCH/LARS1/MARS1/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/QARS1/RARS1/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL26/RPL28/RPL29/RPL30/RPL36/RPL36AL/RPL37A/RPL3L/RPL4/RPL6/RPL7/RPL8/RPLP0/RPS11/RPS13/RPS14/RPS15A/RPS16/RPS17/RPS19/RPS2/RPS24/RPS27/RPS28/RPS3/RPS4X/RPS6/RPS8/SARS1/SRM","Concordant Up"
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",1.5563909549146e-05,0.000100841163953842,2.03142373700749,28,49,NA,"Reactome",3.5263469508585,"Concordant Up","Antigen Processing Cross Presentation","REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",0.000100841163953842,"28/591","CD36/HLA-A/PDIA3/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/PSME1/PSME2/S100A8/S100A9","Concordant Up"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",2.38634864575205e-05,0.000107385689058842,1.82828136330674,36,70,NA,"KEGG",2.81589825119237,"Concordant Up","Reference Translation Initiation","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",0.000107385689058842,"36/591","RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL26/RPL28/RPL29/RPL30/RPL36/RPL37A/RPL4/RPL6/RPL7/RPL8/RPLP0/RPS11/RPS13/RPS14/RPS15A/RPS16/RPS17/RPS19/RPS2/RPS24/RPS27/RPS28/RPS3/RPS4X/RPS6/RPS8","Concordant Up"
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",1.96387457628849e-05,0.000113104628375134,2.26226734348562,21,33,NA,"Reactome",4.59912280701754,"Concordant Up","Apc C Cdh1 Mediated Degradation Of Cdc20 And Other Apc C Cdh1 Targeted Proteins In Late Mitosis Early G1","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",0.000113104628375134,"21/591","PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8","Concordant Up"
"REACTOME_RRNA_PROCESSING",2.54345107648054e-05,0.000142644688628693,1.77749576988156,39,78,NA,"Reactome",2.66485507246377,"Concordant Up","Rrna Processing","REACTOME_RRNA_PROCESSING",0.000142644688628693,"39/591","RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL26/RPL28/RPL29/RPL30/RPL36/RPL36AL/RPL37A/RPL3L/RPL4/RPL6/RPL7/RPL8/RPLP0/RPS11/RPS13/RPS14/RPS15A/RPS16/RPS17/RPS19/RPS2/RPS24/RPS27/RPS28/RPS3/RPS4X/RPS6/RPS8/TRMT10C","Concordant Up"
"REACTOME_PTEN_REGULATION",3.01244571195472e-05,0.000161529416623779,2.0668555463739,25,43,NA,"Reactome",3.66117000392619,"Concordant Up","Pten Regulation","REACTOME_PTEN_REGULATION",0.000161529416623779,"25/591","CSNK2A1/CSNK2B/LAMTOR2/MAPK1/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8","Concordant Up"
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",3.01244571195472e-05,0.000161529416623779,2.0668555463739,25,43,NA,"Reactome",3.66117000392619,"Concordant Up","Signaling By The B Cell Receptor Bcr","REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",0.000161529416623779,"25/591","AHCYL1/CALM1/PPIA/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/STIM1","Concordant Up"
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS",3.79951461256793e-05,0.000181792160693635,2.19573006867722,21,34,NA,"Reactome",4.24251012145749,"Concordant Up","Runx1 Regulates Transcription Of Genes Involved In Differentiation Of Hscs","REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS",0.000181792160693635,"21/591","PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8","Concordant Up"
"REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS",3.73870179093714e-05,0.000181792160693635,2.08097065742231,24,41,NA,"Reactome",3.71739807033925,"Concordant Up","Disorders Of Transmembrane Transporters","REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS",0.000181792160693635,"24/591","HK1/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/SLC16A1/VCP","Concordant Up"
"REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS",4.11441389002788e-05,0.000191885199878668,2.00934304421393,26,46,NA,"Reactome",3.4283185840708,"Concordant Up","Regulation Of Mrna Stability By Proteins That Bind Au Rich Elements","REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS",0.000191885199878668,"26/591","ANP32A/HSPA8/HSPB1/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8/TNPO1/YWHAB","Concordant Up"
"REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX",4.62831193181205e-05,0.00021167720746964,2.09653347216799,23,39,NA,"Reactome",3.78102992957746,"Concordant Up","Degradation Of Beta Catenin By The Destruction Complex","REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX",0.00021167720746964,"23/591","PPP2CA/PPP2R1A/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB3/PSMB4/PSMB7/PSMC1/PSMC2/PSMC3/PSMC4/PSMC6/PSMD1/PSMD11/PSMD14/PSMD2/PSMD8","Concordant Up"
