gene,pathway,database,cluster,theme
MYL1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
NPM1,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
TPM3,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
H1-0,chromatin remodeling,GO:BP,C1,Other
TPM2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
COL1A2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
CTSG,extracellular structure organization,GO:BP,C1,ECM & Tissue Remodeling
COL4A2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
MYL3,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
NFIC,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
VIM,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
RPS17,rRNA processing,GO:BP,C1,Other
SNRPA,RNA splicing,GO:BP,C1,Other
LGALS1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
TPM1,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
HMOX1,anatomical structure formation involved in morphogenesis,GO:BP,C1,Other
PARP1,tissue development,GO:BP,C1,Other
CALM1,system process,GO:BP,C1,Other
THRB,tissue development,GO:BP,C1,Other
MYL2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
LAMC1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
MYH3,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
COL6A1,anatomical structure formation involved in morphogenesis,GO:BP,C1,Other
COL6A2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
COL6A3,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
ACTN1,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
MYH1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
MYH7,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
XRCC6,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
MYH8,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
TNNT1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
NID1,extracellular structure organization,GO:BP,C1,ECM & Tissue Remodeling
MYL6B,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
HNRNPL,RNA splicing,GO:BP,C1,Other
RPA2,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
PFKFB1,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
DES,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
FLT1,anatomical structure formation involved in morphogenesis,GO:BP,C1,Other
ARF4,system process,GO:BP,C1,Other
RPL7,rRNA processing,GO:BP,C1,Other
TNNI1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
NCL,anatomical structure formation involved in morphogenesis,GO:BP,C1,Other
EIF2S2,translational initiation,GO:BP,C1,Other
PVALB,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
CAPN3,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
NEB,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
BGN,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
TGM2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
NME2,tissue development,GO:BP,C1,Other
HNRNPA2B1,RNA splicing,GO:BP,C1,Other
SFPQ,chromatin remodeling,GO:BP,C1,Other
LAMA2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
MYL9,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
FKBP2,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
MAPK3,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
RPL10,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
TMOD1,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
COL4A5,extracellular structure organization,GO:BP,C1,ECM & Tissue Remodeling
HNRNPH3,RNA splicing,GO:BP,C1,Other
HNRNPH1,RNA splicing,GO:BP,C1,Other
FBN1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
ACTN2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
FUS,RNA splicing,GO:BP,C1,Other
DEK,chromatin remodeling,GO:BP,C1,Other
MYH11,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
PPP1CC,chromatin remodeling,GO:BP,C1,Other
RPS19,rRNA processing,GO:BP,C1,Other
COL15A1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
CAP2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
RPL13A,negative regulation of translation,GO:BP,C1,Other
EIF1,translational initiation,GO:BP,C1,Other
RPL35,rRNA processing,GO:BP,C1,Other
TNNT3,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
CRKL,cell-substrate adhesion,GO:BP,C1,ECM & Tissue Remodeling
RPL5,rRNA processing,GO:BP,C1,Other
RPS5,translational initiation,GO:BP,C1,Other
CAPZA2,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
CAPZB,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
TNNI2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
AARS1,system process,GO:BP,C1,Other
GSK3B,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
EMD,skeletal muscle tissue development,GO:BP,C1,Muscle Structure & Myogenesis
BCAM,anatomical structure formation involved in morphogenesis,GO:BP,C1,Other
RPL14,rRNA processing,GO:BP,C1,Other
FXR1,negative regulation of translation,GO:BP,C1,Other
DUSP3,chromatin remodeling,GO:BP,C1,Other
CAV2,extracellular structure organization,GO:BP,C1,ECM & Tissue Remodeling
HSD17B4,tissue development,GO:BP,C1,Other
RPS6KA3,chromatin remodeling,GO:BP,C1,Other
LUM,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
HNRNPA3,RNA splicing,GO:BP,C1,Other
MYOM1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
HNRNPM,RNA splicing,GO:BP,C1,Other
CAPZA1,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
MYOM2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
LAMB2,extracellular structure organization,GO:BP,C1,ECM & Tissue Remodeling
HNRNPH2,RNA splicing,GO:BP,C1,Other
SH3BGR,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
EIF6,rRNA processing,GO:BP,C1,Other
EIF3E,negative regulation of translation,GO:BP,C1,Other
GABARAPL2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
MYL6,skeletal muscle tissue development,GO:BP,C1,Muscle Structure & Myogenesis
ACTB,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
RPS3A,translational initiation,GO:BP,C1,Other
PPP1CA,chromatin remodeling,GO:BP,C1,Other
PPP1CB,chromatin remodeling,GO:BP,C1,Other
RPS14,rRNA processing,GO:BP,C1,Other
SNRPD2,RNA splicing,GO:BP,C1,Other
CNBP,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
H2BC4,chromatin remodeling,GO:BP,C1,Other
RPL23,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
RPS15,rRNA processing,GO:BP,C1,Other
RPS28,rRNA processing,GO:BP,C1,Other
GRB2,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
RPS21,rRNA processing,GO:BP,C1,Other
RACK1,negative regulation of translation,GO:BP,C1,Other
TNNC1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
ACTA1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
CSNK2A1,chromatin remodeling,GO:BP,C1,Other
EIF4G2,translational initiation,GO:BP,C1,Other
RPL24,axon guidance,GO:BP,C1,Other
SRSF3,RNA splicing,GO:BP,C1,Other
H3-3A,chromatin remodeling,GO:BP,C1,Other
FBLN2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
HSPG2,anatomical structure formation involved in morphogenesis,GO:BP,C1,Other
RBM3,RNA splicing,GO:BP,C1,Other
PURA,negative regulation of translation,GO:BP,C1,Other
MYBPC1,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
SET,chromatin remodeling,GO:BP,C1,Other
CAP1,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
TAGLN,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
RPL6,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
CAV1,anatomical structure formation involved in morphogenesis,GO:BP,C1,Other
LMNB2,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
PRKCQ,axon guidance,GO:BP,C1,Other
YWHAH,HALLMARK_APICAL_JUNCTION,Hallmark,C1,Other
CALD1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
DPT,extracellular structure organization,GO:BP,C1,ECM & Tissue Remodeling
SRSF1,RNA splicing,GO:BP,C1,Other
ACTN3,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
PPP3CA,chromatin remodeling,GO:BP,C1,Other
SLC20A2,tissue development,GO:BP,C1,Other
LMOD3,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
NEXN,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
BST2,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
ASPH,system process,GO:BP,C1,Other
TRDN,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
MYBPH,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
G3BP1,chromatin remodeling,GO:BP,C1,Other
EIF3I,translational initiation,GO:BP,C1,Other
CTBP1,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
SF3B2,RNA splicing,GO:BP,C1,Other
MTM1,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
CAMK2G,system process,GO:BP,C1,Other
FHL3,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
ITGA7,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
DDX39B,chromatin remodeling,GO:BP,C1,Other
NID2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,C1,ECM & Tissue Remodeling
FLOT2,tissue development,GO:BP,C1,Other
MYBPC2,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
CAPRIN1,negative regulation of translation,GO:BP,C1,Other
PGM5,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
NECTIN1,anatomical structure formation involved in morphogenesis,GO:BP,C1,Other
NONO,RNA splicing,GO:BP,C1,Other
PCBP2,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
ELOC,negative regulation of gene expression,GO:BP,C1,Other
ELOB,negative regulation of gene expression,GO:BP,C1,Other
SF1,RNA splicing,GO:BP,C1,Other
SPEG,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
NEDD8,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
RBBP7,chromatin remodeling,GO:BP,C1,Other
FLG2,tissue development,GO:BP,C1,Other
HP1BP3,chromatin remodeling,GO:BP,C1,Other
OBSCN,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
MYOM3,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
CRYBG3,system process,GO:BP,C1,Other
ABLIM2,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
TWF2,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
LPCAT3,system process,GO:BP,C1,Other
LMOD2,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
CORO6,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
XIRP1,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
SND1,negative regulation of gene expression,GO:BP,C1,Other
HDGFL2,chromatin remodeling,GO:BP,C1,Other
MYPN,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
MDP1,chromatin remodeling,GO:BP,C1,Other
SYNPO,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
SMYD1,chromatin remodeling,GO:BP,C1,Other
SERBP1,negative regulation of translation,GO:BP,C1,Other
NPLOC4,negative regulation of gene expression,GO:BP,C1,Other
PREX1,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
UTP15,rRNA processing,GO:BP,C1,Other
PALLD,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
TTN,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
DDX1,chromatin remodeling,GO:BP,C1,Other
MYO18A,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
RABGGTA,system process,GO:BP,C1,Other
RPL3L,tissue development,GO:BP,C1,Other
NUDT16,rRNA processing,GO:BP,C1,Other
PDLIM5,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
CRELD1,tissue development,GO:BP,C1,Other
PGAM5,chromatin remodeling,GO:BP,C1,Other
PURB,negative regulation of translation,GO:BP,C1,Other
MYCBP,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
ARPC5L,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
JPH2,tissue development,GO:BP,C1,Other
CORO1B,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
PELO,tissue development,GO:BP,C1,Other
NTMT1,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
SORBS1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
NAA15,anatomical structure formation involved in morphogenesis,GO:BP,C1,Other
EIF2A,translational initiation,GO:BP,C1,Other
TRIM54,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
UBL5,RNA splicing,GO:BP,C1,Other
TMEM38A,system process,GO:BP,C1,Other
SYNPO2L,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
SSU72,chromatin remodeling,GO:BP,C1,Other
MYOZ1,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
MYOZ2,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
PDLIM7,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
PARVA,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
BABAM1,chromatin remodeling,GO:BP,C1,Other
BABAM2,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
TMOD4,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
CHMP5,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
MYOT,axon guidance,GO:BP,C1,Other
DNAJB4,regulation of nucleobase-containing compound metabolic process,GO:BP,C1,Metabolic & Redox Regulation
PACSIN3,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
AGO2,anatomical structure formation involved in morphogenesis,GO:BP,C1,Other
MYH2,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
MYH13,system process,GO:BP,C1,Other
SYNPO2,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
SNX12,negative regulation of gene expression,GO:BP,C1,Other
PACSIN2,cytoskeleton organization,GO:BP,C1,Cytoskeletal & Cell Division
PA2G4,rRNA processing,GO:BP,C1,Other
RTRAF,RNA splicing,GO:BP,C1,Other
APOBEC2,chromatin remodeling,GO:BP,C1,Other
CFL2,sarcomere organization,GO:BP,C1,Muscle Structure & Myogenesis
FNDC3A,tissue development,GO:BP,C1,Other
RTCB,RNA splicing,GO:BP,C1,Other
SNX5,system process,GO:BP,C1,Other
MYH4,HALLMARK_MYOGENESIS,Hallmark,C1,Muscle Structure & Myogenesis
ESYT2,endomembrane system organization,GO:BP,C2,Other
NACA,negative regulation of apoptotic process,GO:BP,C2,Other
MYO1C,establishment of organelle localization,GO:BP,C2,Other
FXYD1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PSMD12,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
EIF3F,cytoplasmic translation,GO:BP,C2,Other
DCTN6,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
IPO5,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PSMD14,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
BIN1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
HSPB6,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
PRMT5,endomembrane system organization,GO:BP,C2,Other
HGS,establishment of organelle localization,GO:BP,C2,Other
SURF4,endomembrane system organization,GO:BP,C2,Other
EIF3H,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
STX7,regulation of cellular localization,GO:BP,C2,Other
CYB5B,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
PSMD3,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TRAPPC3,establishment of organelle localization,GO:BP,C2,Other
SYNGR2,endomembrane system organization,GO:BP,C2,Other
SYNCRIP,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
DNAJA2,response to heat,GO:BP,C2,Other
WDR1,positive regulation of cellular component organization,GO:BP,C2,Other
RTN2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
FLNB,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
SEC22B,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
EIF3G,cytoplasmic translation,GO:BP,C2,Other
SEC31A,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2,Proteostasis & Stress Response
MFN2,response to topologically incorrect protein,GO:BP,C2,Other
RTN3,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TACC2,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
IPO7,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ACSL3,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
SNAP29,establishment of organelle localization,GO:BP,C2,Other
AP2A1,positive regulation of cellular component organization,GO:BP,C2,Other
DDAH2,negative regulation of apoptotic process,GO:BP,C2,Other
TXNDC12,negative regulation of apoptotic process,GO:BP,C2,Other
GSR,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
HPRT1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
CST3,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
CRYAB,protein stabilization,GO:BP,C2,Proteostasis & Stress Response
TFRC,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
ANXA1,negative regulation of apoptotic process,GO:BP,C2,Other
HSPB1,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
RPN1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
GNAI2,cell division,GO:BP,C2,Cytoskeletal & Cell Division
ATP1B1,protein stabilization,GO:BP,C2,Proteostasis & Stress Response
ITGB1,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
GSN,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
PTMA,negative regulation of apoptotic process,GO:BP,C2,Other
P4HB,response to endoplasmic reticulum stress,GO:BP,C2,Other
ANXA2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TUBB,cell division,GO:BP,C2,Cytoskeletal & Cell Division
PFN1,protein stabilization,GO:BP,C2,Proteostasis & Stress Response
EPRS1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
HSP90AA1,response to topologically incorrect protein,GO:BP,C2,Other
HSP90AB1,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
ANXA5,negative regulation of apoptotic process,GO:BP,C2,Other
HNRNPA1,telomere maintenance via telomere lengthening,GO:BP,C2,Other
UCHL1,establishment of organelle localization,GO:BP,C2,Other
HSPA1A,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
ARAF,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
MAPT,establishment of organelle localization,GO:BP,C2,Other
HSPA5,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
HSPA8,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
LAMP1,establishment of organelle localization,GO:BP,C2,Other
UBL4A,endomembrane system organization,GO:BP,C2,Other
EEF2,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2,Proteostasis & Stress Response
PDIA4,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
MIF,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
HSP90B1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
IDE,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
AKR1B1,negative regulation of apoptotic process,GO:BP,C2,Other
GSPT1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
EZR,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
RPS2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ATP2A2,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
YBX3,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PRKACA,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
CAPN2,positive regulation of cellular component organization,GO:BP,C2,Other
PFKL,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
LGALS3,negative regulation of apoptotic process,GO:BP,C2,Other
TCP1,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
RPL35A,cytoplasmic translation,GO:BP,C2,Other
VCL,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
RAB6A,establishment of organelle localization,GO:BP,C2,Other
CAST,negative regulation of apoptotic process,GO:BP,C2,Other
PTMS,negative regulation of apoptotic process,GO:BP,C2,Other
FLNA,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
SCP2,regulation of cellular localization,GO:BP,C2,Other
PPIB,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
HRC,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
WARS1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
RPS3,cell division,GO:BP,C2,Cytoskeletal & Cell Division
EIF4B,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
DNAJB2,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
PSMA3,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
MSN,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TARS1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2,Proteostasis & Stress Response
PLN,endomembrane system organization,GO:BP,C2,Other
CALR,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
MAP4,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
CANX,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
PSMB5,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
MAPK1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RBL1,regulation of cell cycle G1/S phase transition,GO:BP,C2,Cytoskeletal & Cell Division
EEF1D,cytoplasmic translation,GO:BP,C2,Other
MARCKS,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
PRDX5,negative regulation of apoptotic process,GO:BP,C2,Other
CLIP1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
