module,trait,cor,pval,stars,label,trait_label,xpos
MEred,VL_thick_cm,-0.2558577878202424,0.20176407477730943,,-0.26,VL Thick.,4.15
MEgreen,VL_thick_cm,-0.00618263263863628,0.961961866440568,,-0.01,VL Thick.,4.15
MEpink,VL_thick_cm,0.06026173938430739,0.813472606445208,,0.06,VL Thick.,4.15
MEturquoise,VL_thick_cm,-0.26515276962995216,0.1973257019393325,,-0.27,VL Thick.,4.15
MEblue,DXA_LBM_kg,-0.04658650512274761,0.8298250599393149,,-0.05,DXA LBM,5.15
MEblack,DXA_LBM_kg,-0.03336539459825245,0.8964401670702538,,-0.03,DXA LBM,5.15
MEmagenta,DXA_LBM_kg,0.07677824756809001,0.7496698815839244,,0.08,DXA LBM,5.15
MEbrown,DXA_LBM_kg,0.05300207076126583,0.8298250599393149,,0.05,DXA LBM,5.15
MEyellow,DXA_LBM_kg,0.08813689544602521,0.7082118907704648,,0.09,DXA LBM,5.15
MEred,DXA_LBM_kg,-0.25075721844758603,0.20176407477730943,,-0.25,DXA LBM,5.15
MEgreen,DXA_LBM_kg,0.16831844126385484,0.42967774086968424,,0.17,DXA LBM,5.15
MEpink,DXA_LBM_kg,0.12147880209108024,0.6004668646290119,,0.12,DXA LBM,5.15
MEturquoise,DXA_LBM_kg,0.0313881827328408,0.8984890770701003,,0.03,DXA LBM,5.15
MEblue,deadlift_1rm_kg,0.1976864198297754,0.33688347626368614,,0.20,Deadlift,6.300000000000001
MEblack,deadlift_1rm_kg,0.01928952786178078,0.9121082239557315,,0.02,Deadlift,6.300000000000001
MEmagenta,deadlift_1rm_kg,-0.09883198110554275,0.6704838068777833,,-0.10,Deadlift,6.300000000000001
MEbrown,deadlift_1rm_kg,0.15299555604729234,0.48907874120183065,,0.15,Deadlift,6.300000000000001
MEyellow,deadlift_1rm_kg,0.22449320352974844,0.2646808741438803,,0.22,Deadlift,6.300000000000001
MEred,deadlift_1rm_kg,-0.19497322431025033,0.34111338617259856,,-0.19,Deadlift,6.300000000000001
MEgreen,deadlift_1rm_kg,-0.13924893346743253,0.5159282517999457,,-0.14,Deadlift,6.300000000000001
MEpink,deadlift_1rm_kg,0.04674491821175988,0.8298250599393149,,0.05,Deadlift,6.300000000000001
MEturquoise,deadlift_1rm_kg,-0.3029714305591249,0.10725280580020392,,-0.30,Deadlift,6.300000000000001
MEblue,Type_I_fCSA,-0.17003832526278176,0.42967774086968424,,-0.17,Type I fCSA,7.450000000000001
MEblack,Type_I_fCSA,-0.10497292348656229,0.6606765654841903,,-0.10,Type I fCSA,7.450000000000001
MEmagenta,Type_I_fCSA,-0.05347706343542286,0.8298250599393149,,-0.05,Type I fCSA,7.450000000000001
MEbrown,Type_I_fCSA,-0.06536640763340362,0.8005127144649865,,-0.07,Type I fCSA,7.450000000000001
MEyellow,Type_I_fCSA,0.1490331780199879,0.4952995410241307,,0.15,Type I fCSA,7.450000000000001
MEred,Type_I_fCSA,-0.10297579604607857,0.6606770032537155,,-0.10,Type I fCSA,7.450000000000001
MEgreen,Type_I_fCSA,0.24388518328509684,0.21039023644187457,,0.24,Type I fCSA,7.450000000000001
MEpink,Type_I_fCSA,0.11788260375061028,0.6138723041568539,,0.12,Type I fCSA,7.450000000000001
MEturquoise,Type_I_fCSA,0.01461201926918909,0.9309403926551408,,0.01,Type I fCSA,7.450000000000001
MEblue,Type_II_fCSA,0.11334202143865126,0.6307085522766853,,0.11,Type II fCSA,8.450000000000001
MEblack,Type_II_fCSA,0.0914177448571641,0.6964546200843375,,0.09,Type II fCSA,8.450000000000001
MEmagenta,Type_II_fCSA,0.02249873965644215,0.9121082239557315,,0.02,Type II fCSA,8.450000000000001
MEbrown,Type_II_fCSA,0.1278226706519224,0.5742140116409118,,0.13,Type II fCSA,8.450000000000001
MEyellow,Type_II_fCSA,0.381732716578382,0.02830312402560615,*,0.38*,Type II fCSA,8.450000000000001
MEred,Type_II_fCSA,-0.15172825370260773,0.48907874120183065,,-0.15,Type II fCSA,8.450000000000001
MEgreen,Type_II_fCSA,-0.03551432220382149,0.8932298505273857,,-0.04,Type II fCSA,8.450000000000001
MEpink,Type_II_fCSA,0.13995088429783428,0.5159282517999457,,0.14,Type II fCSA,8.450000000000001
MEturquoise,Type_II_fCSA,-0.35185561536335674,0.04124296749573036,*,-0.35*,Type II fCSA,8.450000000000001
