"module","database","n_hubs","n_tested","n_sig","n_groups_3plus","n_assigned_hubs","pct_assigned","top1","top2","top3","top4","top1_overlap","top2_overlap","top3_overlap","top4_overlap","top1_padj","top2_padj","top3_padj","top4_padj"
"brown","GO:BP",10,2016,9,4,8,80,"Muscle Cell Development","Myofibril Assembly","Cellular Component Assembly Involved in Morphog...","Muscle Cell Differentiation",8,6,6,8,3.9803475954108e-07,1.45172598974622e-05,1.45172598974622e-05,1.45172598974622e-05
"brown","Combined",10,2795,14,4,10,100,"Muscle Cell Development","Striated Muscle Contraction","Myofibril Assembly","Cellular Component Assembly Involved in Morphog...",8,6,6,6,5.51838865534384e-07,4.46609861139382e-06,1.61014846878599e-05,1.61014846878599e-05
"turquoise","Hallmark",10,43,5,4,9,90,"Oxidative Phosphorylation","Peroxisome","Estrogen Response Late","Fatty Acid Metabolism",6,3,3,4,0.00367353358935406,0.00721342097132599,0.00721342097132599,0.00721342097132599
"turquoise","GO Slim",10,29,2,2,8,80,"Amino Acid Metabolic Process","Generation of Precursor Metabolites and Energy",NA,NA,6,6,NA,NA,6.59398549626336e-05,0.00612672633233345,NA,NA
"turquoise","KEGG",10,105,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"turquoise","Reactome",10,602,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"turquoise","GO:BP",10,2016,6,4,8,80,"Organic Acid Catabolic Process","Small Molecule Catabolic Process","Amino Acid Catabolic Process","Amino Acid Metabolic Process",7,7,5,6,8.73201402008885e-05,0.000599391082546737,0.000880964230116498,0.00114598920348853
"turquoise","Combined",10,2795,9,4,8,80,"Organic Acid Catabolic Process","Small Molecule Catabolic Process","Amino Acid Catabolic Process","Amino Acid Metabolic Process",7,7,5,6,0.000121061404693196,0.000831001029622088,0.00122137649959108,0.00127104754910732
"blue","Hallmark",10,43,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blue","GO Slim",10,29,2,2,4,40,"Microtubule-Based Movement","Chromosome Segregation",NA,NA,3,3,NA,NA,0.0237473991272331,0.0237473991272331,NA,NA
"blue","KEGG",10,105,21,4,4,40,"Env Factor Iron to Anterograde Axonal Transport","Env Factor Zn to Anterograde Axonal Transport","Variant Mutation Caused Aberrant Abeta to Anter...","Reference Rab7 Regulated Microtubule Minus End ...",3,3,3,3,0.000503648349213962,0.000503648349213962,0.000714785275764431,0.00661333244467917
"blue","Reactome",10,602,7,4,7,70,"Cilium Assembly","Antimicrobial Mechanism of Ifn Stimulated Genes","Recruitment of Numa to Mitotic Centrosomes","Interferon Signaling",4,4,3,4,0.0100835898006743,0.0207279307653162,0.0311060688402254,0.0311060688402254
"blue","GO:BP",10,2016,2,2,5,50,"Cytoskeleton Dependent Intracellular Transport","Cytoplasmic Microtubule Organization",NA,NA,4,3,NA,NA,0.0251035515196555,0.0374933419421119,NA,NA
"blue","Combined",10,2795,10,4,5,50,"Env Factor Iron to Anterograde Axonal Transport","Env Factor Zn to Anterograde Axonal Transport","Cytoskeleton Dependent Intracellular Transport","Cilium Assembly",3,3,4,4,0.0114161419757805,0.0114161419757805,0.0114161419757805,0.0114161419757805
"pink","Hallmark",10,43,1,1,9,90,"Oxidative Phosphorylation",NA,NA,NA,9,NA,NA,NA,1.51606648167452e-07,NA,NA,NA
"pink","GO Slim",10,29,1,1,8,80,"Generation of Precursor Metabolites and Energy",NA,NA,NA,8,NA,NA,NA,4.53454408584305e-05,NA,NA,NA
"pink","KEGG",10,105,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pink","Reactome",10,602,6,4,7,70,"Formation of Atp by Chemiosmotic Coupling","Cristae Formation","Mitochondrial Biogenesis","Organelle Biogenesis and Maintenance",7,7,7,7,8.50169554117115e-11,4.26694834184471e-09,7.87652360348998e-08,3.25555882930576e-06
"pink","GO:BP",10,2016,14,4,9,90,"Proton Transmembrane Transport","Proton Motive Force Driven Atp Synthesis","Atp Metabolic Process","Atp Biosynthetic Process",8,7,8,7,2.24672847651992e-06,7.01244904921495e-06,9.03824082394062e-06,9.03824082394062e-06
"pink","Combined",10,2795,22,4,8,80,"Formation of Atp by Chemiosmotic Coupling","Cristae Formation","Mitochondrial Biogenesis","Proton Transmembrane Transport",7,7,7,8,3.94721578697232e-10,1.98108315871362e-08,3.65695738733463e-07,7.78720993535861e-07
