pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,cluster,Description,geneID,Count,p.adjust,ID
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE,1.7797935729115705e-5,0.007295033228353362,3.2132805028009295,11,13,GO:BP,15.673007246376812,C2,Regulation Of Telomere Maintenance Via Telomerase,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/HNRNPA1/HNRNPU/HSP90AA1/TCP1,11,0.007295033228353362,GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE
GOBP_DNA_BIOSYNTHETIC_PROCESS,2.0055074167294465e-5,0.007295033228353362,2.798167710573058,14,19,GO:BP,8.007285974499089,C2,DNA Biosynthetic Process,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/HNRNPA1/HNRNPU/HSP90AA1/HSP90AB1/RRM2B/TCP1/VCP,14,0.007295033228353362,GOBP_DNA_BIOSYNTHETIC_PROCESS
GOBP_PROTEIN_REFOLDING,2.0055074167294465e-5,0.007295033228353362,2.798167710573058,14,19,GO:BP,8.007285974499089,C2,Protein Refolding,B2M/CRYAB/DNAJA2/DNAJA4/DNAJB2/HSP90AA1/HSPA14/HSPA1A/HSPA2/HSPA5/HSPA8/HSPB1/HSPB2/HSPB6,14,0.007295033228353362,GOBP_PROTEIN_REFOLDING
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,3.6565052061918476e-5,0.008382080640704904,2.5316755476613384,16,24,GO:BP,5.729433272394881,C2,Positive Regulation Of Protein Localization To Nucleus,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/FERMT2/FLNA/HSP90AA1/IPO5/IPO7/RAN/TCP1/TFRC/TRIM28,16,0.008382080640704904,GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS
GOBP_PROTEIN_FOLDING,4.78501114453163e-5,0.008382080640704904,1.7150060161576803,42,93,GO:BP,2.408942079710963,C2,Protein Folding,AHSA1/B2M/CALR/CANX/CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/CRYAB/DNAJA2/DNAJA4/DNAJB2/ERP44/GRPEL1/HSP90AA1/HSP90AB1/HSP90B1/HSPA14/HSPA1A/HSPA2/HSPA4/HSPA5/HSPA8/HSPB1/HSPB2/HSPB6/HYOU1/KHSRP/NUDC/P4HB/PDIA4/PFDN5/PPIA/PPIB/PPID/TBCB/TCP1/TXNDC5/UNC45B,42,0.008382080640704904,GOBP_PROTEIN_FOLDING
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,5.5840781417910224e-5,0.008382080640704904,2.233831365583533,20,34,GO:BP,4.106813996316759,C2,Cytoskeleton Dependent Intracellular Transport,ARL3/ARL8B/COPG1/DCTN1/DYNC1H1/DYNC1I2/DYNLL1/FYCO1/HNRNPU/HSPB1/KIF5B/LAMP1/MAPT/MYO1C/PAFAH1B1/RAB6A/SYNE2/TUBA1B/TUBB/UCHL1,20,0.008382080640704904,GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT
HALLMARK_MTORC1_SIGNALING,1.961777874757292e-4,0.007715975824937156,1.6779710025197239,38,86,Hallmark,2.302619047619048,C2,mTORC1 Signaling,ACACA/ACSL3/ACTR2/ATP2A2/CACYBP/CALR/CANX/CCT6A/COPS5/CYB5B/EPRS1/ETF1/GBE1/GSR/HPRT1/HSP90B1/HSPA4/HSPA5/PDAP1/PFKL/PPIA/PSMA3/PSMB5/PSMC2/PSMC4/PSMC6/PSMD12/PSMD13/PSMD14/RDH11/RPN1/SERPINH1/STIP1/TFRC/TUBA4A/UCHL5/UFM1/WARS1,38,0.007715975824937156,HALLMARK_MTORC1_SIGNALING
HALLMARK_MITOTIC_SPINDLE,3.6742742023510266e-4,0.007715975824937156,2.0615072316670893,19,35,Hallmark,3.4031479779411766,C2,Mitotic Spindle,BIN1/CLIP1/DYNC1H1/EZR/FLNA/FLNB/GSN/KIF5B/KLC1/MAPRE1/MARCKS/PAFAH1B1/PXN/SEPTIN9/SPTAN1/SPTBN1/TUBA4A/VCL/YWHAE,19,0.007715975824937156,HALLMARK_MITOTIC_SPINDLE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0033239346092304688,0.04653508452922656,1.8987566607460036,16,32,Hallmark,2.850091407678245,C2,Unfolded Protein Response,CALR/DCTN1/DNAJA4/EEF2/EIF4G1/HSP90B1/HSPA5/HYOU1/KHSRP/KIF5B/PREB/SEC31A/SRPRB/TARS1/TUBB2A/YWHAZ,16,0.04653508452922656,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,8.182353677032794e-8,3.4365885443537733e-6,3.006364712847839,19,24,KEGG,10.966911764705882,C2,Reference Rab7 Regulated Microtubule Minus End Directed Transport,ACTR1A/DCTN1/DCTN2/DCTN4/DCTN5/DCTN6/DYNC1H1/DYNC1I2/DYNC1LI1/DYNC1LI2/DYNLL1/DYNLT1/RAB7A/TUBA1B/TUBA4A/TUBB/TUBB2A/TUBB4B/TUBB6,19,3.4365885443537733e-6,KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT
