pathway,pathway_label,database,NES_Training_Young,NES_Training_Old,padj_Training_Young,padj_Training_Old,significance,set_size
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFa Signaling Via Nfkb,Hallmark,1.4,-0.828,0.2821,0.7985,NS,16
HALLMARK_UV_RESPONSE_UP,UV Response Up,Hallmark,1.158,-1.037,0.4424,0.5961,NS,42
HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,1.193,0.995,0.4424,0.6675,NS,13
GOSLIM_CILIUM_ORGANIZATION,Cilium Organization,GO Slim,1.172,0.995,0.3506,0.6554,NS,29
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,0.939,-1.18,0.7829,0.4487,NS,58
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,1.061,-1.032,0.5478,0.5961,NS,35
HALLMARK_APOPTOSIS,Apoptosis,Hallmark,1.131,0.956,0.4424,0.7028,NS,38
HALLMARK_P53_PATHWAY,p53 Pathway,Hallmark,0.729,1.339,0.9108,0.3458,NS,25
GOSLIM_RENAL_SYSTEM_PROCESS,Renal System Process,GO Slim,0.853,-1.209,0.7353,0.4338,NS,17
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,1.142,0.858,0.4424,0.7985,NS,31
GOSLIM_DIGESTION,Digestion,GO Slim,1.205,0.792,0.3506,0.7784,NS,14
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Hallmark,-0.781,-1.185,0.8666,0.4696,NS,15
GOSLIM_MITOTIC_NUCLEAR_DIVISION,Mitotic Nuclear Division,GO Slim,1.089,-0.854,0.458,0.7775,NS,41
HALLMARK_IL2_STAT5_SIGNALING,IL2 Stat5 Signaling,Hallmark,0.825,1.053,0.8596,0.5961,NS,29
GOSLIM_MUSCLE_SYSTEM_PROCESS,Muscle System Process,GO Slim,0.97,0.907,0.6701,0.7775,NS,135
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,0.889,-0.948,0.7852,0.7028,NS,35
GOSLIM_WOUND_HEALING,Wound Healing,GO Slim,0.909,-0.907,0.7353,0.7775,NS,73
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,-0.587,-1.184,0.9982,0.4362,NS,84
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,-0.669,-1.088,0.9967,0.5182,NS,64
HALLMARK_COMPLEMENT,Complement,Hallmark,0.947,0.796,0.7659,0.8686,NS,42
HALLMARK_PEROXISOME,Peroxisome,Hallmark,-0.882,-0.858,0.7852,0.7985,NS,38
GOSLIM_DNA_REPLICATION,DNA Replication,GO Slim,-0.694,1.042,0.9435,0.6477,NS,26
GOSLIM_GLYCOPROTEIN_METABOLIC_PROCESS,Glycoprotein Metabolic Process,GO Slim,0.874,-0.844,0.7353,0.7775,NS,23
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Hallmark,0.944,0.766,0.7659,0.8686,NS,20
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,0.8,0.761,0.8666,0.8714,NS,31
HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,0.766,-0.76,0.8993,0.8714,NS,32
GOSLIM_PROTEIN_FOLDING,Protein Folding,GO Slim,2.306,1.775,2.898e-8,0.003643,Sig Both,89
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,1.88,2.016,0.008952,0.005132,Sig Both,32
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,1.863,1.967,0.008952,0.006267,Sig Both,35
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,1.686,1.678,0.007031,0.006267,Sig Both,128
GOSLIM_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO Slim,1.371,2.596,0.09132,1.714e-12,Sig Old only,116
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Hallmark,-1.571,-1.821,0.141,0.02961,Sig Old only,12
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO Slim,1.505,1.826,0.09132,0.01359,Sig Old only,40
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,-1.338,-1.715,0.1307,0.005132,Sig Old only,110
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Protein Localization To Plasma Membrane,GO Slim,1.323,1.703,0.18,0.01539,Sig Old only,67
GOSLIM_RIBOSOME_BIOGENESIS,Ribosome Biogenesis,GO Slim,0.629,2.218,0.9834,3.789e-5,Sig Old only,57
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,Amino Acid Metabolic Process,GO Slim,1.165,-1.606,0.3311,0.01359,Sig Old only,99
GOSLIM_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO Slim,-1.004,-1.658,0.5938,0.02487,Sig Old only,50
GOSLIM_DETOXIFICATION,Detoxification,GO Slim,-0.886,-1.588,0.7353,0.04051,Sig Old only,51
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,Extracellular Matrix Organization,GO Slim,-1.903,1.353,0.002114,0.1872,Sig Young only,40
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Generation Of Precursor Metabolites And Energy,GO Slim,-2.153,0.909,2.337e-9,0.7775,Sig Young only,223
GOSLIM_TRNA_METABOLIC_PROCESS,Trna Metabolic Process,GO Slim,1.984,0.998,0.001092,0.6554,Sig Young only,39
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Hallmark,-1.791,-1.129,0.01342,0.4696,Sig Young only,48
GOSLIM_MITOCHONDRION_ORGANIZATION,Mitochondrion Organization,GO Slim,-2.22,0.687,1.353e-8,0.995,Sig Young only,163
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,-1.755,-1.114,0.005559,0.4696,Sig Young only,103
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,1.582,1.189,0.03726,0.4362,Sig Young only,86
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,-2.11,-0.621,7.975e-7,0.9998,Sig Young only,156
GOSLIM_MICROTUBULE-BASED_MOVEMENT,Microtubule-Based Movement,GO Slim,1.82,0.882,0.00303,0.7775,Sig Young only,48
GOSLIM_CHROMOSOME_SEGREGATION,Chromosome Segregation,GO Slim,1.638,1.031,0.02911,0.6477,Sig Young only,52
