quadrant,gene
Reversed_AgingUp_TrainingDown,AKAP1
Reversed_AgingUp_TrainingDown,FAHD1
Reversed_AgingUp_TrainingDown,SAMM50
Reversed_AgingUp_TrainingDown,DDX17
Reversed_AgingUp_TrainingDown,ARL6IP5
Reversed_AgingUp_TrainingDown,PRKAR1A
Reversed_AgingUp_TrainingDown,USO1
Reversed_AgingUp_TrainingDown,TOMM70
Reversed_AgingUp_TrainingDown,CDH13
Reversed_AgingUp_TrainingDown,DAD1
Reversed_AgingUp_TrainingDown,CLASP2
Reversed_AgingUp_TrainingDown,SOD3
Reversed_AgingUp_TrainingDown,GPHN
Reversed_AgingUp_TrainingDown,GSS
Reversed_AgingUp_TrainingDown,HSPA2
Reversed_AgingUp_TrainingDown,ABHD10
Reversed_AgingUp_TrainingDown,ACO1
Reversed_AgingUp_TrainingDown,APOE
Reversed_AgingUp_TrainingDown,FUBP1
Reversed_AgingUp_TrainingDown,TIGAR
Reversed_AgingUp_TrainingDown,NECTIN1
Reversed_AgingUp_TrainingDown,SEPTIN11
Reversed_AgingUp_TrainingDown,ARCN1
Reversed_AgingUp_TrainingDown,TTC3
Reversed_AgingUp_TrainingDown,ANXA3
Reversed_AgingUp_TrainingDown,DPP7
Reversed_AgingUp_TrainingDown,TOM1
Reversed_AgingUp_TrainingDown,SHMT1
Reversed_AgingUp_TrainingDown,SDHD
Reversed_AgingUp_TrainingDown,BCL2L13
Reversed_AgingUp_TrainingDown,PGM3
Reversed_AgingUp_TrainingDown,EIF3F
Reversed_AgingUp_TrainingDown,SAE1
Reversed_AgingUp_TrainingDown,HEBP2
Reversed_AgingUp_TrainingDown,CACNG1
Reversed_AgingUp_TrainingDown,EHD1
Reversed_AgingUp_TrainingDown,BST2
Reversed_AgingUp_TrainingDown,RALA
Reversed_AgingUp_TrainingDown,PICALM
Reversed_AgingUp_TrainingDown,IMMT
Reversed_AgingUp_TrainingDown,PCMT1
Reversed_AgingUp_TrainingDown,NT5C3A
Reversed_AgingUp_TrainingDown,NFU1
Reversed_AgingUp_TrainingDown,MAPK12
Reversed_AgingUp_TrainingDown,TXNRD1
Reversed_AgingUp_TrainingDown,COQ6
Reversed_AgingUp_TrainingDown,NOL3
Reversed_AgingUp_TrainingDown,RTN4IP1
Reversed_AgingUp_TrainingDown,CPA3
Reversed_AgingUp_TrainingDown,CPNE3
Reversed_AgingUp_TrainingDown,PRMT5
Reversed_AgingUp_TrainingDown,XPO7
Reversed_AgingUp_TrainingDown,CNBP
Reversed_AgingUp_TrainingDown,RRAS
Reversed_AgingUp_TrainingDown,PRDX1
Reversed_AgingUp_TrainingDown,DLD
Reversed_AgingUp_TrainingDown,PLGRKT
Reversed_AgingUp_TrainingDown,SPRYD4
Reversed_AgingUp_TrainingDown,METTL7A
Reversed_AgingUp_TrainingDown,STIP1
Reversed_AgingUp_TrainingDown,HNRNPK
Reversed_AgingUp_TrainingDown,MPC1
Reversed_AgingUp_TrainingDown,UFL1
Reversed_AgingUp_TrainingDown,RAB18
Reversed_AgingUp_TrainingDown,PTMS
Reversed_AgingUp_TrainingDown,PCBD1
Reversed_AgingUp_TrainingDown,TGFBI
Reversed_AgingUp_TrainingDown,ACSS1
Reversed_AgingUp_TrainingDown,RAN
Reversed_AgingUp_TrainingDown,DNM2
Reversed_AgingUp_TrainingDown,TXNDC12
Reversed_AgingUp_TrainingDown,LYRM7
