gene,quadrant,sig_cat,pathway,logFC_Aging,logFC_Training_Old
RPS10,Reversed Down,Aging,Translation & Ribosome,-0.7645,0.2609
RPL27,Reversed Down,Aging,Translation & Ribosome,-1.0883,0.0234
RPS7,Reversed Down,Aging,Translation & Ribosome,-1.2057,0.2792
S100A13,Reversed Down,Tr.(O),Transport,-0.297,0.661
CAMK2D,Reversed Down,Tr.(O),Transport,-0.5163,0.5428
CAPN3,Reversed Down,Aging,Transport,-0.5178,0.116
SNTA1,Reversed Down,Aging,Transport,-0.5402,0.0657
ARHGAP1,Reversed Down,Both,Transport,-0.5974,0.472
SPAG9,Reversed Down,Aging,Transport,-0.6156,0.1572
SQSTM1,Reversed Down,Aging,Transport,-0.6883,0.117
EMC2,Reversed Down,Aging,Transport,-0.712,0.1442
MT-CO1,Reversed Down,Aging,Transport,-0.7504,0.285
MT-ND2,Reversed Down,Aging,Transport,-0.79990000000000006,0.1426
MICOS10,Reversed Down,Aging,Transport,-1.3224,0.1603
DES,Reversed Down,Aging,Transport,-1.5323,0.21
ACTN4,Reversed Down,Aging,Transport,-1.7874,0.3673
ACTN2,Reversed Down,Aging,Transport,-1.9872,0.4942
HMGCL,Non-reversed,Aging,Amino Acid & Cofactor Metabolism,0.6641,0.0064
PCCB,Non-reversed,Aging,Amino Acid & Cofactor Metabolism,0.5024,0.0232
ECHS1,Non-reversed,Aging,Amino Acid & Cofactor Metabolism,0.4697,0.0098
SLC25A42,Non-reversed,Tr.(O),Amino Acid & Cofactor Metabolism,-0.2837,-0.7578
ACADM,Non-reversed,Aging,Carbohydrate & Energy Metabolism,0.6051,0.0962
IDH2,Non-reversed,Aging,Carbohydrate & Energy Metabolism,0.4114,0.0091
ABHD6,Non-reversed,Aging,Carbohydrate & Energy Metabolism,-0.711,-0.037
NDUFA11,Non-reversed,Aging,Carbohydrate & Energy Metabolism,-0.7806,-0.2219
MYH3,Non-reversed,Aging,Carbohydrate & Energy Metabolism,-1.4179,-0.4072
ACTN3,Non-reversed,Aging,Carbohydrate & Energy Metabolism,-2.121,-0.0167
CAP1,Non-reversed,Aging,Cytoskeleton & Motility,0.6129,0.2855
MYOM1,Non-reversed,Aging,Cytoskeleton & Motility,-0.7089,-0.0971
MYOM3,Non-reversed,Aging,Cytoskeleton & Motility,-1.3496,-0.0324
NEB,Non-reversed,Aging,Cytoskeleton & Motility,-1.5074,-0.042
PRKDC,Non-reversed,Aging,DNA & Cell Cycle,0.4019,0.0514
PLEC,Non-reversed,Aging,DNA & Cell Cycle,-0.9667,-0.1588
DDAH2,Non-reversed,Aging,Development,0.4741,0.0043
TMX2,Non-reversed,Aging,Development,-0.7634,-0.093
CRYBG3,Non-reversed,Aging,Development,-1.1896,-0.2341
FSCN1,Non-reversed,Tr.(O),ECM & Adhesion,0.1418,0.6477
MYLK,Non-reversed,Tr.(O),ECM & Adhesion,-0.3164,-0.7395
PDLIM5,Non-reversed,Aging,ECM & Adhesion,-0.5572,-0.2563
CD151,Non-reversed,Aging,ECM & Adhesion,-0.6429,-0.0864
FNDC3A,Non-reversed,Aging,ECM & Adhesion,-1.4997,-0.0114
DHRS7B,Non-reversed,Aging,Immune & Inflammation,-0.775,-0.1268
HMOX1,Non-reversed,Aging,Immune & Inflammation,-0.9461,-0.1818
ABHD11,Non-reversed,Aging,Lipid Metabolism,0.6844,0.0796
TPM4,Non-reversed,Aging,Muscle & Contractile,0.6758,0.2006
MYOM2,Non-reversed,Aging,Muscle & Contractile,-0.6942,-0.1785
MYH1,Non-reversed,Aging,Muscle & Contractile,-0.9636,-0.1246
SYNM,Non-reversed,Aging,Muscle & Contractile,-1.0625,-0.1659
TPSB2,Non-reversed,Aging,Other,0.8197,0.1098
JPT2,Non-reversed,Aging,Other,0.7351,0.4137
PDP1,Non-reversed,Aging,Other,0.5372,0.1378
SCRN3,Non-reversed,Aging,Other,-0.6059,-0.17
PVALB,Non-reversed,Aging,Other,-1.3308,-0.649
PPIA,Non-reversed,Aging,Protein Homeostasis,0.4882,0.0444
CTSB,Non-reversed,Aging,Protein Homeostasis,0.4803,0.1565
STBD1,Non-reversed,Aging,Protein Homeostasis,-0.4257,-0.0317
LRBA,Non-reversed,Aging,Protein Homeostasis,-1.7246,-0.2012
TGM2,Non-reversed,Aging,Transcription & Chromatin,0.6305,0.3827
NCL,Non-reversed,Aging,Transcription & Chromatin,0.4783,0.0187
SPEG,Non-reversed,Aging,Transcription & Chromatin,-0.8057,-0.1001
RPL35A,Non-reversed,Aging,Translation & Ribosome,-0.6945,-0.017
RPL27A,Non-reversed,Aging,Translation & Ribosome,-0.6982,-0.0126
RPS27A,Non-reversed,Aging,Translation & Ribosome,-0.9084,-0.2079
RPL34,Non-reversed,Aging,Translation & Ribosome,-1.0218,-0.1685
DPYSL2,Non-reversed,Aging,Transport,0.3856,0.0365
SYNGR2,Non-reversed,Tr.(O),Transport,-0.2699,-0.4793
VAPB,Non-reversed,Aging,Transport,-0.3976,-0.0971
EMC3,Non-reversed,Aging,Transport,-0.6766,-0.0319
MT-ND4,Non-reversed,Aging,Transport,-0.8244,-0.2177
